"locality","type_of_property","subtype_of_property","price","type_of_sale","number_of_rooms","house_area","fully_equipped_kitchen","furnished","open_fire","terrace","terrace_area","garden","garden_area","surface_of_the_land","surface_of_the_plot_of_land","number_of_facades","swimming_pool","state_of_the_building","construction_year"
2500,"apartment","apartment","280000","for sale",2,"120",1,"None",0,0,"None",1,"90",NA,"None","None",0,"as new","1998"
2930,"house","exceptional property","749000","for sale",4,"265",1,"None",0,0,"None",1,"None",2160,"None","None",0,"None","1997"
4820,"house","house","169000","for sale",3,"90",1,"None",0,1,"17",1,"100",0,"None","2",0,"good","None"
1340,"apartment","ground floor","445000","for sale",3,"125",1,"None",0,1,"22",1,"111",NA,"None","2",0,"as new","2014"
8870,"apartment","duplex","165000","for sale",2,"None",1,"None",0,1,"None",0,"None",NA,"None","2",0,"good","None"
3300,"apartment","apartment","589000","for sale",4,"270",1,"None",1,1,"100",1,"700",NA,"None","2",0,"good","1964"
3520,"house","house","313000","for sale",3,"215",0,"None",0,0,"None",1,"None",522,"None","3",0,"None","2020"
4430,"apartment","apartment","360000","for sale",3,"150",0,"None",1,1,"55",0,"None",NA,"None","3",0,"None","None"
4980,"house","house","335000","for sale",4,"160",1,"None",0,1,"None",0,"None",1790,"None","4",0,"None","2012"
1731,"house","house","380000","for sale",3,"175",1,"None",1,1,"17",1,"None",210,"None","2",0,"good","1997"
3830,"house","mixed use building","385000","for sale",0,"343",0,"None",0,0,"None",0,"None",0,"None","None",0,"good","None"
8660,"apartment","apartment","170000","for sale",1,"None",0,"None",0,1,"None",1,"None",NA,"None","None",0,"as new","1996"
6534,"apartment","apartment","275000","for sale",2,"105",0,"None",0,1,"23",0,"None",NA,"None","None",0,"as new","2017"
1860,"house","house","300000","for sale",3,"180",1,"None",0,1,"None",0,"None",195,"None","2",0,"None","1920"
8930,"apartment","apartment","197300","for sale",2,"89",1,"None",0,1,"13",0,"None",NA,"None","None",0,"None","2019"
4000,"house","house","189000","for sale",4,"None",0,"None",0,0,"None",0,"None",140,"None","2",0,"to renovate","None"
8900,"apartment","apartment","251000","for sale",3,"109",1,"None",0,1,"5",0,"None",NA,"None","None",0,"as new","None"
2640,"apartment","apartment","239900","for sale",3,"88",1,"None",0,0,"None",0,"None",NA,"None","None",0,"good","None"
3920,"apartment","apartment","284900","for sale",3,"118",0,"None",0,1,"12",0,"None",NA,"None","2",0,"as new","2018"
8970,"apartment","apartment","240000","for sale",3,"96",0,"None",0,1,"13",0,"None",NA,"None","None",0,"as new","None"
2060,"apartment","apartment","235000","for sale",1,"55",1,"None",0,1,"12",0,"None",NA,"None","4",0,"as new","2014"
2060,"apartment","apartment","240000","for sale",1,"69",1,"None",0,0,"None",0,"None",NA,"None","2",0,"as new","None"
6533,"house","country cottage","290000","for sale",4,"215",1,"None",0,1,"20",1,"950",1183,"None","3",0,"None","None"
8301,"house","house","350000","for sale",3,"181",0,"None",0,1,"None",1,"None",148,"None","2",0,"None","None"
8670,"apartment","penthouse","395000","for sale",3,"167",0,"None",0,0,"None",0,"None",NA,"None","2",0,"good","None"
7130,"house","house","135000","for sale",3,"None",0,"None",0,0,"None",0,"None",0,"None","2",0,"to be done up","None"
1651,"house","house","315000","for sale",3,"145",0,"None",0,1,"None",0,"None",170,"None","2",0,"None","1936"
3140,"apartment","apartment","308500","for sale",2,"90",0,"None",0,1,"10",1,"None",NA,"None","None",0,"None","2021"
9401,"house","house","259000","for sale",4,"230",1,"None",0,1,"30",1,"650",803,"None","4",0,"to renovate","1930"
1340,"house","house","465000","for sale",3,"188",1,"None",1,1,"23",1,"185",294,"None","2",0,"as new","2019"
8430,"apartment","apartment","120000","for sale",1,"36",1,"None",0,0,"None",0,"None",NA,"None","2",0,"good","1973"
8800,"house","house","299000","for sale",3,"152",1,"None",0,0,"None",0,"None",300,"None","3",0,"None","2020"
4141,"house","chalet","230000","for sale",3,"112",0,"None",0,0,"None",0,"None",561,"None","4",0,"None","None"
