"unitid","revenue","expenditure","enrollment","partic","women"
100654,7629.403,7494.359,1898.35294117647,361,0
100663,27347.192,27039.991,3788.8,326,0
100706,8766.303,8766.303,3331.6,975,0
100724,8332.386,8214.8,1472.8,528,0
100751,79700.469,83911.208,13139,945,0
100830,5756.282,5669.162,1151.8,285,0
100858,62673.109,79961.207,10592.8,744,0
100937,4987.903,4987.903,620.972972972973,1080,0
101028,1526.124,1511.188,371.8,77,0
101073,283.863,283.863,182.5,31,0
101143,654.374,653.195,475.4,65,0
101161,2502.748,2502.748,1196.2,195,0
101189,7094.811,7094.811,702.4,363,0
101240,506.939,506.939,1060.6,75,0
101295,1916.075,1892.75,1015,186,0
101301,468.024,468.024,349.4,83,0
101435,3956.962,3956.962,472.75,562,0
101480,10080.552,10080.552,2331,256,0
101505,326.482,326.482,1121.8,37,0
101514,311.785,306.785,1631.75,32,0
101569,1316.937,1316.937,722.142857142857,83,0
101587,7759.963,7664.434,770.423076923077,518,0
101602,693.838,693.838,389.2,91,0
101648,1263.062,1259.224,318.090909090909,100,0
101675,2656.209,2632.401,802,108,0
101693,8573.948,8541.503,441,484,0
101709,9115.659,9115.659,694.111111111111,975,0
101879,5682.45,5682.453,1964,158,0
101897,115.34,115.34,450.333333333333,19,0
101912,350.964,334.92,632,188,0
101949,683.509,683.509,334,58,0
102030,1259.338,1438.765,659,98,0
102049,16804.078,16624.584,1122.8,557,0
102058,286.208,262.412,83,36,0
102067,1474.428,1474.429,1012.4,82,0
102076,1279.518,1279.518,524,170,0
102094,17338.317,16287.234,3860.2,640,0
102234,6335.463,6211.186,487.2,525,0
102270,1570.458,1570.078,341.222222222222,114,0
102298,2041.803,1994.053,478.571428571429,220,0
102368,17501.997,16845.968,3570.8,529,0
102377,3604.739,3604.542,896.5625,273,0
102553,12862.536,12862.536,2879.83333333333,398,0
102614,5023.376,4984.266,1453,202,0
104151,49899.088,61704.736,21884.25,805,0
104160,2389.094,2389.094,990.4,220,0
104179,114623.242,74914.798,13800.4,730,0
104346,2512.469,2512.469,729.4,389,0
104425,1882.523,1882.523,694.2,111,0
104577,1207.298,1207.298,982.6,60,0
104586,5529.71,5408.211,1831.33333333333,366,0
104708,1042.86,1024.513,2717,568,0
104717,43603.397,43603.397,5887,1205,0
105145,322.689,305.321,519.8,132,0
