address,addressCity,addressState,addressStreet,addressZipcode,area,availabilityDate,badgeInfo,baths,beds,brokerName,countryCurrency,detailUrl,has3DModel,hasAdditionalAttributions,hasImage,hasVideo,id,imgSrc,info2String,info3String,isFeaturedListing,isHomeRec,isSaved,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,latLong,list,pgapt,price,providerListingId,relaxed,sgapt,shouldShowZestimateAsPrice,statusText,statusType,unformattedPrice,variableData,zestimate,zpid,builderName,hasOpenHouse,openHouseDescription,openHouseEndDate,openHouseStartDate,info6String,lotAreaString,streetViewMetadataURL,streetViewURL,best_deal
"166 Seneca Dr, Austin, TX 78737",Austin,TX,166 Seneca Dr,78737,3270,,,4.0,5,Spyglass Realty,$,https://www.zillow.com/homedetails/166-Seneca-Dr-Austin-TX-78737/299721544_zpid/,0.0,1.0,1.0,0.0,299721544,https://photos.zillowstatic.com/fp/56b971676acffdc690f4be40affece3c-p_e.jpg,Listing provided by ABOR,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 30.189247, 'longitude': -97.9931}",1.0,ForSale,"$1,033,320",,0.0,New Construction,0.0,Active,FOR_SALE,1033320.0,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sat. 11am-1pm'}",1141400,299721544,,1.0,Open House - 11:00 AM - 1:00 PM,2022-09-17T13:00:00,2022-09-17T11:00:00,,,,,-108080.0
"1609 J J Seabrook Dr #A, Austin, TX 78721",Austin,TX,1609 J J Seabrook Dr #A,78721,2000,,,4.0,4,"Compass RE Texas, LLC",$,https://www.zillow.com/homedetails/1609-J-J-Seabrook-Dr-A-Austin-TX-78721/305426433_zpid/,0.0,1.0,1.0,0.0,305426433,https://photos.zillowstatic.com/fp/d4ef659e6661b1b412bc26908f22eecf-p_e.jpg,Listing provided by ABOR,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 30.282234, 'longitude': -97.691795}",1.0,ForSale,"$750,000",,0.0,For Sale (Broker),0.0,Active,FOR_SALE,750000.0,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sat. 2-3:30pm'}",794857,305426433,,1.0,Open House - 2:00 - 3:30 PM,2022-09-17T15:30:00,2022-09-17T14:00:00,,,,,-44857.0
"11220 Sisquoc Formation Vw, Austin, TX 78754",Austin,TX,11220 Sisquoc Formation Vw,78754,1773,,,2.0,3,Keller Williams Realty,$,https://www.zillow.com/homedetails/11220-Sisquoc-Formation-Vw-Austin-TX-78754/241936100_zpid/,0.0,1.0,1.0,0.0,241936100,https://photos.zillowstatic.com/fp/4c8fcda29e7db3baa42f6949c5646628-p_e.jpg,Listing provided by ABOR,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 30.36598, 'longitude': -97.65328}",1.0,ForSale,"$445,000",,0.0,For Sale (Broker),0.0,Active,FOR_SALE,445000.0,"{'type': 'TIME_ON_INFO', 'text': '7 hours ago', 'data': {'isFresh': False}}",488400,241936100,,,,,,,,,,-43400.0
"800 W James St, Austin, TX 78704",Austin,TX,800 W James St,78704,3107,,,4.0,4,Keller Williams Realty,$,https://www.zillow.com/homedetails/800-W-James-St-Austin-TX-78704/2077914898_zpid/,0.0,1.0,1.0,0.0,2077914898,https://photos.zillowstatic.com/fp/68e1eed1f27239b887a2a2ed4cad16cf-p_e.jpg,Listing provided by ABOR,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 30.25349, 'longitude': -97.755554}",1.0,ForSale,"$3,250,000",,0.0,New Construction,0.0,Active,FOR_SALE,3250000.0,"{'type': 'DAYS_ON', 'text': '15 days on Zillow'}",3287903,2077914898,,,,,,,,,,-37903.0
"12302 Beartrap Ln, Austin, TX 78729",Austin,TX,12302 Beartrap Ln,78729,2062,,,3.0,4,Teifke Real Estate,$,https://www.zillow.com/homedetails/12302-Beartrap-Ln-Austin-TX-78729/29558207_zpid/,0.0,1.0,1.0,0.0,29558207,https://photos.zillowstatic.com/fp/b958b6e189980ceaaabf66f1b33d54cf-p_e.jpg,Listing provided by ABOR,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 30.44149, 'longitude': -97.767586}",1.0,ForSale,"$498,000",,0.0,For Sale (Broker),0.0,Active,FOR_SALE,498000.0,"{'type': 'TIME_ON_INFO', 'text': '22 hours ago', 'data': {'isFresh': False}}",535900,29558207,,,,,,,,,,-37900.0
"12001 Garden Gate Dr, Austin, TX 78725",Austin,TX,12001 Garden Gate Dr,78725,1344.0,,,2.0,3.0,Realty Executives Access,$,https://www.zillow.com/homedetails/12001-Garden-Gate-Dr-Austin-TX-78725/29465155_zpid/,0.0,1.0,1.0,0.0,29465155,https://photos.zillowstatic.com/fp/5500c361021fe85393c615f69ba88194-p_e.jpg,,https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 30.22484, 'longitude': -97.6273}",1.0,ForSale,"$198,700",,0.0,For Sale (Broker),0.0,Home for sale,FOR_SALE,198700.0,"{'type': 'DAYS_ON', 'text': '1 day on Zillow'}",232000,29465155,,,,,,Thomas Ortiz TREC #504244,,,,-33300.0
"2109 Callingwood Dr, Austin, TX 78754",Austin,TX,2109 Callingwood Dr,78754,2541,,,3.0,4,"Compass RE Texas, LLC",$,https://www.zillow.com/homedetails/2109-Callingwood-Dr-Austin-TX-78754/70354475_zpid/,0.0,1.0,1.0,0.0,70354475,https://photos.zillowstatic.com/fp/03e88eb33a9f612c0b42583ea396708b-p_e.jpg,Listing provided by ABOR,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 30.373528, 'longitude': -97.649666}",1.0,ForSale,"$499,000",,0.0,For Sale (Broker),0.0,Active,FOR_SALE,499000.0,"{'type': 'PRICE_REDUCTION', 'text': '$44,999 (Sep 8)'}",529400,70354475,,,,,,,,,,-30400.0
"6209 Thurgood Ave, Austin, TX 78721",Austin,TX,6209 Thurgood Ave,78721,1330,,,2.0,4,Luisa Mauro Real Estate,$,https://www.zillow.com/homedetails/6209-Thurgood-Ave-Austin-TX-78721/29385707_zpid/,0.0,1.0,1.0,0.0,29385707,https://photos.zillowstatic.com/fp/42dbd0b0e3877b2096ff42e3cc1c30ab-p_e.jpg,Listing provided by ABOR,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 30.262053, 'longitude': -97.67841}",1.0,ForSale,"$450,000",,0.0,For Sale (Broker),0.0,Active,FOR_SALE,450000.0,"{'type': 'PRICE_REDUCTION', 'text': '$29,999 (Aug 26)'}",479700,29385707,,,,,,,,,,-29700.0
"13108 Breve Cv, Austin, TX 78724",Austin,TX,13108 Breve Cv,78724,1480,,,2.0,3,Orchard Brokerage,$,https://www.zillow.com/homedetails/13108-Breve-Cv-Austin-TX-78724/124845165_zpid/,1.0,1.0,1.0,0.0,124845165,https://photos.zillowstatic.com/fp/278846a70cb245099433bf9feb5baf7a-p_e.jpg,Listing provided by ABOR,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 30.258726, 'longitude': -97.589645}",1.0,ForSale,"$339,000",,0.0,For Sale (Broker),0.0,Active,FOR_SALE,339000.0,"{'type': '3D_HOME', 'text': '3D Tour'}",359000,124845165,,,,,,,,,,-20000.0
"2100 Amur Dr, Austin, TX 78745",Austin,TX,2100 Amur Dr,78745,2169,,,3.0,3,"TCP Real Estate, Inc.",$,https://www.zillow.com/homedetails/2100-Amur-Dr-Austin-TX-78745/83126246_zpid/,1.0,1.0,1.0,0.0,83126246,https://photos.zillowstatic.com/fp/97ab63f095cc0f98161ee81e55433f42-p_e.jpg,Listing provided by ABOR,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'latitude': 30.213133, 'longitude': -97.80507}",1.0,ForSale,"$549,000",,0.0,For Sale (Broker),0.0,Active,FOR_SALE,549000.0,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sun. 1am-4pm'}",559900,83126246,,1.0,Open House - 1:00 AM - 4:00 PM,2022-09-18T16:00:00,2022-09-18T01:00:00,,,,,-10900.0
