room_id,host_id,room_type,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,last_modified,latitude,longitude,location,name,currency,rate_type
2318,2536,Entire home/apt,"Seattle, WA, United States",21,5,8,4,2.5,250,46:14.7,47.610819,-122.290816,0101000020E6100000D449B6BA9C925EC0416326512FCE4740,"Casa Madrona - Urban Oasis, 1 block from the Park!",USD,nightly
3335,4193,Entire home/apt,"Seattle, WA, United States",1,,4,2,1,100,08:45.3,47.529846,-122.27584,0101000020E61000006FBBD05CA7915EC04DF564FED1C34740,Sweet Seattle Urban Homestead 2 Bdr,USD,nightly
4291,35749,Private room,"Seattle, WA, United States",63,4.5,2,1,1,82,04:19.9,47.687801,-122.313427,0101000020E6100000BDAB1E300F945EC0FB93F8DC09D84740,Sunrise in Seattle Master Suite,USD,nightly
5682,8993,Entire home/apt,"Seattle, WA, United States",462,5,2,0,1,49,11:25.5,47.52398,-122.359891,0101000020E6100000FCC7427408975EC009E1D1C611C34740,"Cozy Studio, min. to downtown -WiFi",USD,nightly
6606,14942,Entire home/apt,"Seattle, WA, United States",134,4.5,2,1,1,90,12:38.4,47.654109,-122.337605,0101000020E6100000D47D00529B955EC07782FDD7B9D34740,"Fab, private seattle urban cottage!",USD,nightly
9419,30559,Private room,"Seattle, WA, United States",130,4.5,2,1,3,65,08:20.1,47.550167,-122.319366,0101000020E6100000145D177E70945EC0522B4CDF6BC64740,Glorious sun room w/ memory foambed,USD,nightly
9460,30832,Private room,"Seattle, WA, United States",401,5,2,1,1,78,45:03.9,47.60801,-122.328739,0101000020E6100000DD7A4D0F0A955EC00BD28C45D3CD4740,Downtown/Convention Ctr B&B - Nice!,USD,nightly
9531,31481,Entire home/apt,"Seattle, WA, United States",35,5,4,2,1,165,12:23.6,47.555389,-122.384739,0101000020E6100000BA9F53909F985EC071C79BFC16C74740,The Adorable Sweet Orange Craftsman,USD,nightly
9534,31481,Entire home/apt,"Seattle, WA, United States",36,5,3,2,1,95,11:31.1,47.556236,-122.385981,0101000020E610000027F8A6E9B3985EC0CE6DC2BD32C74740,The Coolest Tangerine Dream MIL! ,USD,nightly
9596,14942,Entire home/apt,"Seattle, WA, United States",76,4.5,4,1,1,115,15:01.2,47.654787,-122.33652,0101000020E6100000CB9C2E8B89955EC0486C770FD0D34740,"the down home , spacious, central and fab!",USD,nightly
9909,33360,Entire home/apt,"Seattle, WA, United States",57,5,4,2,1,135,05:07.4,47.56612,-122.372726,0101000020E61000009C1727BEDA975EC046CEC29E76C84740,Luna Park Lower - West Seattle,USD,nightly
10209,31553,Private room,"Seattle, WA, United States",36,4.5,1,0,1.5,50,12:25.3,47.553646,-122.363257,0101000020E6100000C2C2499A3F975EC0D6C743DFDDC64740,Stay here for a blast!!!!  Holiday sale,USD,nightly
10695,35749,Private room,"Seattle, WA, United States",20,5,4,1,1,109,02:32.4,47.697201,-122.313481,0101000020E6100000B6BA9C1210945EC087DEE2E13DD94740,Private 2 Rooms & 1 Bath ,USD,nightly
11012,14942,Entire home/apt,"Seattle, WA, United States",80,5,8,3,2,250,15:01.2,47.654477,-122.336464,0101000020E610000002124DA088955EC0FA7DFFE6C5D34740,"the orange house, quiet 'n central",USD,nightly
14386,39377,Private room,"Seattle, WA, United States",125,4.5,2,1,1.5,37,59:19.4,47.687246,-122.334696,0101000020E61000008786C5A86B955EC046274BADF7D74740,Quiet Cozy Upstairs BR Green Lake,USD,nightly
15108,39377,Private room,"Seattle, WA, United States",70,4.5,6,3,1.5,50,04:35.9,47.688266,-122.335856,0101000020E6100000960A2AAA7E955EC07079AC1919D84740,Green Lake Private Ground Floor BR,USD,nightly
15749,61636,Private room,"Seattle, WA, United States",17,4.5,1,1,1,100,04:34.8,47.684072,-122.326488,0101000020E610000055A2EC2DE5945EC0FE0DDAAB8FD74740,Green Lake guest room with active family,USD,nightly
17951,33360,Entire home/apt,"Seattle, WA, United States",89,5,2,0,1,72,11:25.5,47.55484,-122.385124,0101000020E6100000E73922DFA5985EC09E4143FF04C74740,"West Seattle, The Starlight Studio",USD,nightly
18042,69549,Entire home/apt,"Kirkland, WA, United States",78,4.5,2,1,1,60,56:32.6,47.685397,-122.180699,0101000020E6100000E0DA8992908B5EC065E3C116BBD74740,Lake Forbes Cottage,USD,nightly
19619,74305,Entire home/apt,"Seattle, WA, United States",76,5,4,1,1,140,58:36.5,47.614471,-122.348145,0101000020E61000000551F70148965EC093AB58FCA6CE4740,Lively Vacation Home in Seattle with Puget Sound Views,USD,nightly
20868,35749,Entire home/apt,"Seattle, WA, United States",119,4.5,6,2,1,99,04:20.7,47.695386,-122.313075,0101000020E61000007E8CB96B09945EC0520C906802D94740,"Newly Remodeled ""Boho Modern"" in Mapleleaf",USD,nightly
20927,79450,Entire home/apt,"Seattle, WA, United States",489,5,2,1,1,59,58:37.0,47.673339,-122.39512,0101000020E6100000B77F65A549995EC0880FECF82FD64740,Cottage in the Heart of Ballard,USD,nightly
20928,79450,Private room,"Seattle, WA, United States",272,5,2,1,1,45,58:36.3,47.673607,-122.393803,0101000020E610000045847F1134995EC0A7AD11C138D64740,Victorian in the Heart of Ballard,USD,nightly
23192,90437,Entire home/apt,"Seattle, WA, United States",98,5,5,1,1,77,23:04.2,47.622366,-122.315918,0101000020E6100000EF8D210038945EC0381268B0A9CF4740,Large Modern Unit - 3 blocks from the light-rail,USD,nightly
23356,91286,Entire home/apt,"Seattle, WA, United States",19,4,10,3,2,180,08:44.6,47.534188,-122.281393,0101000020E6100000B114C95702925EC034F5BA4560C44740,3bd 2bt great bargain  sleep 8-10,USD,nightly
23403,91519,Private room,"Bellevue, WA, United States",17,5,2,1,1,75,39:13.3,47.611366,-122.119342,0101000020E610000083C2A04CA3875EC073F1B73D41CE4740,"Fully furnished room ""A""",USD,nightly
24212,74305,Entire home/apt,"Seattle, WA, United States",79,4.5,6,2,1,162,59:39.2,47.614471,-122.348145,0101000020E61000000551F70148965EC093AB58FCA6CE4740,SALE 12/27★PERFECT Getaway w/ Views★,USD,nightly
25002,102684,Entire home/apt,"Seattle, WA, United States",687,5,4,1,1,70,58:37.0,47.679412,-122.37054,0101000020E6100000087767EDB6975EC04641F0F8F6D64740,"Beautiful, Private Spot in Quiet Ballard",USD,nightly
26116,110248,Entire home/apt,"Seattle, WA, United States",143,5,4,2,1,269,25:18.9,47.618298,-122.325562,0101000020E610000081B4FF01D6945EC053978C6324CF4740,2-bedroom Capitol Hill Pied-à-terre,USD,nightly
26795,114228,Entire home/apt,"Seattle, WA, United States",59,4.5,5,2,1,165,20:48.7,47.639526,-122.328379,0101000020E61000005D6C5A2904955EC08978EBFCDBD14740,Lake Union Cottage - Shore and Cityview,USD,nightly
30712,107605,Entire home/apt,"Seattle, WA, United States",85,4,3,1,1,75,05:19.6,47.678901,-122.381863,0101000020E61000005B23827170985EC0611C5C3AE6D64740,Cozy Ballard Apartment,USD,nightly
37234,160789,Entire home/apt,"Seattle, WA, United States",3,4,2,1,1,85,09:28.4,47.688048,-122.39231,0101000020E610000033F9669B1B995EC0030AF5F411D84740,Your Home Away From Home.  Private Parking onsite.,USD,nightly
38338,164430,Entire home/apt,"Kirkland, WA, United States",55,5,2,1,1,125,55:07.5,47.687503,-122.200172,0101000020E6100000CB64389ECF8C5EC071732A1900D84740,Quiet MIL in downtown Kirkland,USD,nightly
38545,165390,Entire home/apt,"Seattle, WA, United States",93,5,8,3,2.5,295,15:00.3,47.65324,-122.341553,0101000020E610000072361D01DC955EC032384A5E9DD34740,"en-suite, fireplace,chef kitchen. no car needed!",USD,nightly
41401,180441,Entire home/apt,"Seattle, WA, United States",28,5,4,1,1,95,08:45.3,47.560349,-122.314023,0101000020E610000047CCECF318945EC054AC1A84B9C74740,Home Away From Home - MIL Suite    ,USD,nightly
