"address","village","takeup_survey","age","agpop","educ","rice_inc","disaster_prob","male","default","delay","intensive","risk_averse","disaster_yes","network_obs","network_rate_presession","network_onlyone","network_onlytwo","network_twomore","network_yes","pre_takeup_rate","disaster"
"beidangxinzhi","beidang","no",59,5,1,100,50,1,1,0,1,0,0,5,1,0,0,1,1,0.63636363,"no"
"beidangxinzhi","beidang","yes",51,7,1,100,20,1,1,0,0,0,1,5,0.40000001,0,1,1,1,0.63636363,"yes"
"beidangxinzhi","beidang","yes",59,4,1,100,40,1,1,0,0,0,1,5,0.80000001,0,1,1,1,0.63636363,"yes"
"beidangxinzhi","beidang","yes",59,7,0,100,50,0,1,0,0,0,1,5,0.60000002,1,0,0,1,0.63636363,"yes"
"beidangxinzhi","beidang","yes",63,3,2,100,10,1,1,0,1,0.19999999,1,5,0.80000001,1,0,0,1,0.63636363,"yes"
"beidangxinzhi","beidang","no",59,7,2,100,50,1,1,0,0,0,1,5,0.60000002,1,0,0,1,0.63636363,"yes"
"beidangxinzhi","beidang","no",53,5,0,30,20,1,1,0,0,0,1,5,0.40000001,1,0,0,1,0.63636363,"yes"
"beidangxinzhi","beidang","no",47,4,2,100,30,1,1,0,1,0,0,5,1,0,0,1,1,0.63636363,"no"
"beidangxinzhi","beidang","yes",45,2,1,100,20,1,1,0,1,0,1,5,0.2,1,0,0,1,0.63636363,"yes"
"beidangxinzhi","beidang","yes",49,4,2,100,20,1,1,0,1,0,1,5,1,1,0,0,1,0.63636363,"yes"
"beidangxinzhi","beidang","yes",36,5,2,100,50,1,1,0,0,0,1,5,0.60000002,0,1,1,1,0.63636363,"yes"
"beilian2","beilian","yes",78,7,1,100,30,1,1,1,1,0.39999998,0,5,0,0,0,0,0,0.071428575,"no"
"beilian2","beilian","no",73,2,1,40,20,1,1,0,0,0,1,5,0.80000001,0,1,1,1,0.071428575,"yes"
"beilian2","beilian","yes",57,6,1,90,40,1,1,0,1,0.80000001,1,5,0,0,0,0,0,0.071428575,"yes"
"beilian2","beilian","yes",76,6,1,100,50,1,1,1,1,0.60000002,0,5,0.2,1,0,0,1,0.071428575,"no"
"beilian2","beilian","no",42,4,2,75,20,1,1,1,0,0,1,5,0.2,1,0,0,1,0.071428575,"yes"
"beilian2","beilian","no",58,6,2,100,50,1,1,0,0,0,1,2,0.5,0,0,0,0,0.071428575,"yes"
"beilian2","beilian","no",59,4,1,100,30,1,1,1,0,0.80000001,1,5,0.80000001,1,0,0,1,0.071428575,"yes"
"beilian2","beilian","no",34,3,1,100,30,1,1,1,1,0,0,5,0.2,1,0,0,1,0.071428575,"no"
"beilian2","beilian","no",52,2,0,100,50,1,1,0,0,0,1,5,0.40000001,0,0,0,0,0.071428575,"yes"
"beilian2","beilian","no",52,6,1,70,0,1,1,1,1,0.19999999,1,5,0.2,1,0,0,1,0.071428575,"yes"
"beilian2","beilian","no",67,2,1,100,80,1,1,0,0,0,1,5,0.40000001,0,0,0,0,0.071428575,"yes"
"beilian2","beilian","no",50,3,1,95,50,1,1,0,0,0,1,5,0.2,1,0,0,1,0.071428575,"yes"
"beilian2","beilian","no",62,2,0,100,30,1,1,1,0,0,0,5,0.2,0,0,0,0,0.071428575,"no"
"beilian2","beilian","yes",43,6,2,100,20,1,1,1,0,0,1,5,0,0,0,0,0,0.071428575,"yes"
"beilian2","beilian","no",41,12,1,90,50,1,1,0,0,0,1,5,0.80000001,0,0,0,0,0.071428575,"yes"
"beilian2","beilian","no",37,3,1,100,20,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0.071428575,"no"
"beilian2","beilian","yes",63,5,1,100,100,1,1,1,0,0,1,5,0.40000001,1,0,0,1,0.071428575,"yes"
"beilian2","beilian","no",72,10,1,100,40,1,1,1,0,0,1,5,0,0,0,0,0,0.071428575,"yes"
"beilian2","beilian","yes",53,5,1,100,0,1,1,1,0,0,1,5,0.80000001,1,0,0,1,0.071428575,"yes"
"beilian2","beilian","no",42,4,1,100,40,1,1,1,1,0,1,5,0.40000001,0,0,0,0,0.071428575,"yes"
"beilian2","beilian","no",33,4,1,70,50,1,1,1,1,0,0,5,0.2,1,0,0,1,0.071428575,"no"
"beilian2","beilian","yes",44,3,1,40,20,1,1,1,1,0,0,5,0.2,0,0,0,0,0.071428575,"no"
"beilian2","beilian","no",76,6,1,100,20,1,1,1,1,0,0,5,0.40000001,0,0,0,0,0.071428575,"no"
"beilian2","beilian","no",33,3,1,NA,20,1,1,0,1,0,0,5,0.2,1,0,0,1,0.071428575,"no"
"beilian2","beilian","no",36,5,3,90,50,1,1,0,1,0,0,5,0.2,1,0,0,1,0.071428575,"no"
"beilian2","beilian","no",48,3,NA,100,50,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0.071428575,"no"
"beilian2","beilian","no",42,4,1,100,40,1,1,0,0,0,0,5,0.40000001,0,1,1,1,0.071428575,"no"
"beilian2","beilian","no",42,4,2,40,50,1,1,0,1,0,0,5,0.2,1,0,0,1,0.071428575,"no"
"beilian2","beilian","no",48,4,1,90,40,1,1,0,0,0,1,5,0.80000001,0,0,0,0,0.071428575,"yes"
"beilian2","beilian","no",64,3,0,100,50,1,1,1,0,0,1,5,0,0,0,0,0,0.071428575,"yes"
"beilian4","beilian","yes",43,4,1,90,30,1,0,0,1,0,1,5,0.2,0,0,0,0,0.40000001,"yes"
"beilian4","beilian","no",41,4,1,100,20,1,0,1,0,0,1,5,0.40000001,1,0,0,1,0.40000001,"yes"
"beilian4","beilian","yes",60,2,1,95,50,1,0,1,0,0,0,5,0.40000001,1,0,0,1,0.40000001,"no"
"beilian4","beilian","no",50,2,4,70,30,1,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,0.40000001,NA
"beilian4","beilian","no",36,4,NA,60,40,1,0,1,1,0,1,5,0.40000001,1,0,0,1,0.40000001,"yes"
"beilian4","beilian","yes",52,5,1,85,40,1,0,0,0,0,0,1,0,0,0,0,0,0.40000001,"no"
"beilian4","beilian","no",64,4,0,100,50,1,0,1,0,0,0,5,0,0,0,0,0,0.40000001,"no"
"beilian4","beilian","no",59,6,1,90,30,1,0,0,0,0,0,5,0.60000002,0,1,1,1,0.40000001,"no"
"beilian4","beilian","no",43,3,1,80,40,1,0,1,0,0.39999998,0,5,0.2,0,0,0,0,0.40000001,"no"
"beilian4","beilian","yes",62,6,1,50,40,1,0,1,1,0.39999998,0,4,0.25,1,0,0,1,0.40000001,"no"
"beilian4","beilian","yes",67,2,1,100,40,1,0,1,0,0.80000001,0,5,0.2,0,0,0,0,0.40000001,"no"
"beilian4","beilian","yes",58,6,1,100,20,1,0,1,1,0,1,5,0.40000001,1,0,0,1,0.40000001,"yes"
"beilian4","beilian","no",40,4,1,100,20,1,0,1,1,0,1,5,0.60000002,0,1,1,1,0.40000001,"yes"
"beilian4","beilian","no",65,5,1,100,50,1,0,0,0,0,0,1,1,0,0,0,0,0.40000001,"no"
"beilian4","beilian","yes",40,5,1,100,50,1,0,1,1,0,1,5,0.40000001,0,0,0,0,0.40000001,"yes"
