"treat","age","education","black","hispanic","married","nodegree","re75","re78","id"
1,37,11,1,0,1,1,0,9930.0459,1
1,22,9,0,1,0,1,0,3595.894,2
1,30,12,1,0,0,0,0,24909.449,3
1,27,11,1,0,0,1,0,7506.146,4
1,33,8,1,0,0,1,0,289.78989,5
1,22,9,1,0,0,1,0,4056.4939,6
1,23,12,1,0,0,0,0,0,7
1,32,11,1,0,0,1,0,8472.1582,8
1,22,16,1,0,0,0,0,2164.022,9
1,33,12,0,0,1,0,0,12418.07,10
1,19,9,1,0,0,1,0,8173.9082,11
1,21,13,1,0,0,0,0,17094.641,12
1,18,8,1,0,0,1,0,0,13
1,27,10,1,0,1,1,0,18739.93,14
1,17,7,1,0,0,1,0,3023.8789,15
1,19,10,1,0,0,1,0,3228.5029,16
1,27,13,1,0,0,0,0,14581.86,17
1,23,10,1,0,0,1,0,7693.3999,18
1,40,12,1,0,0,0,0,10804.32,19
1,26,12,1,0,0,0,0,10747.35,20
1,23,11,1,0,0,1,0,0,21
1,41,14,0,0,0,0,0,5149.501,22
1,38,9,0,0,0,1,0,6408.9502,23
1,24,11,1,0,0,1,0,1991.4,24
1,33,11,1,0,0,1,7867.916,6281.4331,25
1,18,10,1,0,0,1,0,11163.17,26
1,29,11,1,0,1,1,0,9642.999,27
1,25,11,1,0,0,1,0,9897.0488,28
1,27,10,0,1,0,1,0,11142.87,29
1,17,10,1,0,0,1,0,16218.04,30
1,24,11,1,0,0,1,0,995.7002,31
1,17,10,1,0,0,1,0,0,32
1,26,11,1,0,1,1,2754.646,26372.279,33
1,48,4,1,0,0,1,0,6551.5918,34
1,25,11,1,0,1,1,0,1574.424,35
1,20,12,1,0,0,0,0,0,36
1,25,12,1,0,0,0,0,3191.7529,37
1,42,14,1,0,0,0,0,20505.93,38
1,25,5,1,0,0,1,0,6181.8799,39
1,23,12,1,0,1,0,0,5911.5508,40
1,46,8,1,0,1,1,0,3094.156,41
1,24,10,1,0,0,1,0,0,42
1,21,12,1,0,0,0,0,1254.582,43
1,19,9,0,0,0,1,0,13188.83,44
1,17,8,1,0,0,1,0,8061.4849,45
1,18,8,0,1,1,1,0,2787.96,46
1,20,11,1,0,0,1,0,3972.54,47
1,25,11,1,0,1,1,0,0,48
1,17,8,1,0,0,1,0,0,49
1,17,9,1,0,0,1,0,0,50
1,25,5,1,0,0,1,0,12187.41,51
1,23,12,1,0,0,0,0,4843.1758,52
1,28,8,1,0,0,1,0,0,53
1,31,11,1,0,1,1,0,8087.4868,54
1,18,11,1,0,0,1,0,0,55
1,25,12,1,0,0,0,0,2348.9729,56
1,30,11,1,0,1,1,0,590.7818,57
1,17,10,1,0,0,1,0,0,58
1,37,9,1,0,0,1,0,1067.506,59
1,41,4,1,0,1,1,0,7284.9858,60
1,42,14,1,0,1,0,0,13167.52,61
1,22,11,0,0,0,1,0,1048.432,62
1,17,8,1,0,0,1,0,0,63
1,29,8,1,0,0,1,0,1923.938,64
1,28,10,1,0,0,1,2836.5061,3196.571,65
1,35,10,1,0,0,1,0,4666.2358,66
1,27,11,1,0,0,1,0,549.2984,67
1,29,4,1,0,0,1,0,762.91461,68
1,28,9,1,0,0,1,0,10694.29,69
1,27,11,1,0,0,1,0,0,70
1,23,7,0,0,0,1,0,0,71
1,45,5,1,0,1,1,0,8546.7148,72
1,29,13,1,0,0,0,0,7479.6558,73
1,27,9,1,0,0,1,0,0,74
1,46,13,1,0,0,0,0,647.20459,75
1,18,6,1,0,0,1,0,0,76
1,25,12,1,0,0,0,0,11965.81,77
1,28,15,1,0,0,0,0,9598.541,78
1,31,9,1,0,0,1,1698.6071,10363.27,79
1,25,11,0,0,0,1,0,18783.35,80
1,22,12,1,0,0,0,0,18678.08,81
1,28,11,1,0,0,1,1284.079,60307.93,82
1,21,9,1,0,0,1,0,0,83
1,40,11,1,0,0,1,0,23005.6,84
1,22,11,1,0,0,1,0,6456.6968,85
1,25,12,1,0,0,0,0,0,86
1,27,9,1,0,1,1,934.44537,1773.423,87
1,23,10,1,0,1,1,936.4386,11233.26,88
1,29,10,1,0,0,1,4398.9502,0,89
1,18,12,1,0,0,0,0,2321.1069,90
1,38,12,0,0,0,0,0,4941.8491,91
1,27,13,1,0,0,0,0,0,92
1,27,8,1,0,0,1,0,0,93
1,38,11,1,0,0,1,0,0,94
1,23,8,0,1,0,1,0,3881.2839,95
1,26,11,1,0,0,1,0,17230.961,96
1,42,9,1,0,1,1,3058.531,1294.4091,97
1,21,12,0,0,0,0,0,8048.603,98
1,25,8,1,0,0,1,0,0,99
1,31,11,1,0,1,1,0,14509.93,100
1,17,10,1,0,0,1,0,0,101
1,19,8,1,0,0,1,2657.0569,9970.6807,102
1,29,14,1,0,0,0,679.6734,17814.98,103
1,25,11,1,0,0,1,0,0,104
1,21,12,1,0,0,0,0,9983.7842,105
1,44,11,1,0,0,1,0,0,106
1,19,10,1,0,0,1,385.27411,8124.7148,107
1,25,12,0,0,0,0,0,5587.5029,108
1,18,10,1,0,0,1,798.9079,9737.1543,109
1,18,9,1,0,0,1,0,4482.8452,110
1,19,9,1,0,0,1,798.9079,17685.18,111
1,18,9,1,0,0,1,3287.375,5010.3418,112
1,26,11,1,0,1,1,1392.853,1460.36,113
1,42,12,1,0,0,0,0,2456.1531,114
1,25,10,1,0,0,1,0,0,115
1,31,9,0,1,0,1,0,26817.6,116
1,24,10,1,0,0,1,0,0,117
1,26,10,1,0,0,1,0,9265.7881,118
1,20,12,1,0,0,0,377.5686,1652.637,119
1,19,10,0,0,0,1,5324.1089,13829.62,120
1,25,11,1,0,0,1,0,485.2298,121
1,23,8,0,0,1,1,1713.15,4232.3091,122
1,31,12,0,0,0,0,2611.218,2484.5491,123
1,18,11,1,0,0,1,0,4814.627,124
1,19,11,1,0,0,1,0,7458.105,125
1,43,9,1,0,0,1,0,0,126
1,27,13,1,0,0,0,0,34099.281,127
1,26,11,0,0,0,1,2226.2661,13385.86,128
1,29,10,0,1,0,1,8853.6738,5112.0142,129
1,17,9,1,0,0,1,0,1953.2679,130
1,30,11,1,0,0,1,0,0,131
1,17,10,1,0,0,1,156.9491,10641.24,132
1,20,12,0,0,1,0,8644.1563,11656.51,133
1,17,9,1,0,0,1,375.10471,3621.707,134
1,18,12,1,0,0,0,562.65698,0,135
1,21,11,0,1,0,1,1395.39,0,136
1,30,11,1,0,0,1,1913.0341,0,137
1,18,11,0,1,0,1,5491.5352,2454.5,138
1,20,12,1,0,0,0,9227.5586,0,139
1,20,6,0,1,1,1,10802.98,4488.4951,140
1,20,10,1,0,0,1,11073.09,0,141
1,25,8,1,0,0,1,37431.66,2346.8279,142
1,17,9,0,0,0,1,1618.15,6011.021,143
1,18,10,0,1,0,1,2589.042,0,144
1,19,9,0,1,0,1,6511.124,7913.3862,145
1,19,11,1,0,0,1,192.7995,661.19238,146
1,27,10,0,1,0,1,421.3024,3075.8621,147
1,18,12,0,1,0,0,535.55328,1115.86,148
1,22,11,1,0,0,1,606.96088,317.8952,149
