id,hh_income,female,ranking,earnings,school,college
1,81163.44761,0,0.26035503,44384.53176,1,1
2,90638.30116,1,0.307692308,55584.9095,1,1
3,81513.59355,1,0.668639053,53891.41682,1,0
4,91345.06235,1,0.171597633,63096.06161,1,1
5,94570.50291,1,0.278106509,54222.67527,1,1
6,88909.93071,1,0.402366864,42370.78075,1,0
7,97849.36445,0,0.082840237,67230.47096,1,1
8,88053.47605,0,0.769230769,36945.56151,1,0
9,96183.29314,1,0.100591716,74466.51967,1,0
10,84690.42684,1,0.053254438,87148.62398,1,1
11,81869.35718,1,0.301775148,40136.12052,1,1
12,104697.4737,1,0.940828402,27080.888,1,1
13,87510.16924,1,0.455621302,45965.24154,1,0
14,87757.61986,1,0.372781065,47830.93225,1,1
15,91984.34728,0,0.035502959,78867.76053,1,0
16,75755.35168,0,0.568047337,47927.05729,1,0
17,109594.8834,0,0.355029586,58249.35063,1,1
18,86257.49764,1,0.349112426,55538.10771,1,1
19,95055.23499,0,0.106508876,55234.67941,1,0
20,80991.04456,0,0.266272189,64236.26753,1,1
21,84516.7135,1,0.763313609,38986.51749,1,0
22,100983.1047,1,0.396449704,58618.07894,1,1
23,93845.60213,1,0.366863905,29513.12931,1,0
24,69197.9644,0,0.136094675,52140.13514,1,1
25,85153.75132,1,0.982248521,36986.63414,1,0
26,90854.15405,0,0.272189349,69568.77454,1,1
27,81477.82128,0,0.615384615,67062.15032,1,1
28,74763.273,0,0.934911243,33123.20497,1,1
29,95606.19108,1,0.289940828,62056.59118,1,1
30,84556.06561,1,0.686390533,33782.10802,1,0
31,77233.53503,0,0.852071006,29676.22012,1,1
32,75666.03512,1,0.875739645,33125.70707,1,0
33,90320.33232,1,0.792899408,35604.81461,1,0
34,87138.99197,1,0.360946746,45203.3019,1,0
35,81228.7236,0,0.75739645,47430.60312,1,0
36,91874.68767,0,0.414201183,52328.73267,1,0
37,73364.66162,1,0.798816568,51002.3698,1,0
38,77109.85952,0,0.313609467,48677.21379,1,1
39,103759.0429,0,0.621301775,47888.32404,1,0
40,83252.86848,1,0.656804734,46622.43893,1,1
41,81500.72802,0,0.816568047,41889.5907,1,0
42,77893.96144,0,0.337278107,50575.89074,1,0
43,84573.77095,0,0.899408284,46821.06885,1,0
44,87660.0397,0,0.869822485,31475.63011,1,0
45,102098.8678,0,0.556213018,55962.87462,1,0
46,92797.18844,0,0.047337278,96871.96414,1,1
47,73969.07807,0,0.159763314,70435.70879,1,0
48,92741.42057,1,0.343195266,41046.24097,1,1
49,67124.76104,1,0.076923077,78504.91386,1,1
50,85868.55956,1,0.704142012,45455.33816,1,0
51,97280.5185,1,0.50887574,59547.98599,1,1
52,81784.58666,0,0.071005917,86470.56509,1,0
53,99999.85187,0,0.177514793,57055.12117,1,0
54,101408.3867,1,0.059171598,90348.88846,1,1
55,102976.0199,0,0.644970414,34449.36968,1,0
56,87086.6108,0,0.088757396,83048.597,1,1
57,78949.86824,0,0.905325444,40220.10359,1,0
58,84701.5079,1,0.514792899,27921.41078,1,0
59,84121.56242,1,0.331360947,69521.53814,1,0
60,87329.24954,1,0.893491124,45727.03546,1,0
61,86256.35674,0,0.479289941,50848.66304,1,1
62,92046.53265,0,0.698224852,50639.20154,1,0
63,93941.96558,1,0.550295858,45645.97247,1,1
64,75966.57272,0,0.437869822,42551.19216,1,0
65,98324.56647,1,0.834319527,46928.41726,1,1
66,92621.30143,1,0.25443787,53948.80772,1,0
67,74831.05208,1,0.201183432,54296.76753,1,0
68,86466.41485,0,0.284023669,45207.39657,1,0
69,102176.5834,0,0.017751479,84084.3967,1,1
70,82845.19135,0,0.710059172,49791.32896,1,1
71,85592.09716,1,0.674556213,36867.11348,1,0
72,96700.26499,0,0.923076923,38227.6525,1,1
73,92963.89216,0,0.112426036,57721.50171,1,1
74,82639.82488,1,0.810650888,38117.10271,1,1
75,86171.52366,1,0.99408284,30402.76445,1,0
76,82225.95819,0,0.573964497,42484.71974,1,1
77,83144.71414,1,0.585798817,42938.85853,1,0
78,93202.39688,0,0.142011834,67656.69319,1,1
79,73483.18544,0,0.49112426,47427.92029,1,1
80,86823.20748,0,0.74556213,41461.23805,1,0
81,80592.46519,0,0.857988166,35046.9804,1,1
82,107488.0274,1,0.408284024,63447.39235,1,0
83,83886.16705,0,0.680473373,37505.68671,1,1
84,86554.35291,0,0.183431953,62263.55022,1,1
85,76233.56394,1,0.579881657,35160.61871,1,0
86,98612.38382,0,0.538461538,57018.81174,1,1
87,86976.54964,0,0.822485207,28676.76643,1,1
88,100676.9966,1,0.662721893,41302.45678,1,1
89,83101.01949,1,0.165680473,50300.0615,1,1
90,95954.59182,1,0.118343195,53645.90512,1,1
91,97620.23342,1,0.224852071,63312.25707,1,0
92,98338.40037,1,0.485207101,54163.46674,1,0
93,91410.92347,0,0.946745562,38627.13402,1,0
94,107796.1427,1,0.976331361,30427.54377,1,1
95,80661.88648,0,0.378698225,57229.043,1,0
96,83235.52031,1,0.846153846,32223.74333,1,1
97,73815.36515,0,0.911242604,16649.18051,1,1
98,94056.53002,0,0.73964497,56381.04289,1,1
99,69887.89328,0,0.828402367,38191.15634,1,0
100,85304.44667,0,0.952662722,29219.20477,1,0
101,93912.06305,0,0.24852071,61229.1114,1,1
102,91034.50529,1,0.639053254,50954.32198,1,0
103,91162.5741,0,0.295857988,55595.75847,1,1
104,92964.30493,1,0.49704142,47665.32161,1,0
105,82082.17073,1,0.775147929,46318.48367,1,0
106,106701.9322,0,0.863905325,46816.60701,1,1
107,84932.15761,0,0.692307692,36432.0408,1,1
108,94695.65397,0,0.124260355,59726.42744,1,1
109,91641.72133,1,0.887573964,39480.28802,1,1
110,94093.70878,1,0.627218935,54991.72874,1,1
111,89189.51858,1,0.00591716,98530.85109,1,0
112,95655.08839,0,0.964497041,29422.58776,1,0
113,81792.62657,0,0.591715976,37421.7277,1,0
114,85169.07254,1,0.24260355,55554.34382,1,0
115,77608.23087,0,0.917159763,36779.03252,1,1
116,87351.04958,0,0.094674556,77291.01626,1,0
117,70894.38061,1,0.390532544,50195.22195,1,1
118,92389.76497,1,0.781065089,30624.78229,1,1
119,93118.68245,0,0.426035503,60908.09329,1,1
120,79812.21677,1,0.01183432,78868.70748,1,1
121,80968.49284,1,0.420118343,57105.78629,1,1
122,91086.55777,1,0.065088757,68577.31794,1,1
123,88185.99785,1,0.130177515,63837.21946,1,1
124,82268.24766,1,0.473372781,58161.75325,1,0
125,85848.07992,0,0.727810651,42962.42266,1,0
126,90904.17305,1,0.520710059,53636.27084,1,1
127,91066.57883,0,0.189349112,73423.60177,1,0
128,79951.69087,1,0.029585799,75126.57613,1,1
129,89957.30888,0,0.526627219,51657.84994,1,0
130,87887.46603,1,0.597633136,43611.08564,1,1
131,105719.6791,0,0.325443787,46704.74205,1,0
132,72406.42908,1,0.881656805,22591.82363,1,0
133,94521.21689,1,0.230769231,58116.33225,1,1
134,89236.88916,0,0.384615385,52543.26,1,1
135,73530.77445,1,0.786982249,54170.49001,1,0
136,85986.38291,1,0.236686391,61541.22632,1,1
137,86066.68134,0,0.153846154,50651.46335,1,0
138,88953.86471,0,0.609467456,38260.58487,1,1
139,82076.4073,1,0.467455621,48251.84594,1,1
140,100683.8181,0,0.319526627,53314.15644,1,0
141,97238.04405,0,0.958579882,19611.66798,1,0
142,98175.70406,0,0.544378698,45380.62749,1,0
143,95873.60291,0,0.633136095,25894.08292,1,1
144,81651.22462,1,0.650887574,51110.19998,1,1
145,78906.30179,1,0.431952663,52405.44076,1,1
146,99855.95719,0,0.715976331,39412.89088,1,0
147,88183.94018,1,0.461538462,48296.08056,1,1
148,89409.35272,1,1,27446.19567,1,1
149,86954.31675,1,0.218934911,63484.6951,1,1
150,79119.52083,0,0.603550296,48079.09746,1,0
151,92638.07512,1,0.562130178,62141.46726,1,0
152,90563.14342,0,0.50295858,55244.30937,1,1
153,82508.81571,0,0.532544379,43911.86659,1,0
154,81802.96396,1,0.970414201,42513.15663,1,0
155,83682.05002,1,0.207100592,38401.61759,1,0
156,90531.4715,0,0.023668639,78373.67856,1,1
157,81784.34641,1,0.928994083,29613.92509,1,0
158,83872.53243,0,0.213017751,78906.23219,1,1
159,87153.76562,1,0.75147929,46635.85626,1,1
160,90181.30537,0,0.443786982,61134.60618,1,1
161,86983.6156,0,0.147928994,49545.42763,1,1
162,94292.58729,0,0.041420118,86082.77526,1,1
163,83421.71477,1,0.449704142,33379.17847,1,1
164,84731.01963,0,0.804733728,50703.9975,1,0
165,85525.86944,1,0.721893491,44274.79034,1,0
166,87004.99363,0,0.195266272,71980.74845,1,0
167,86578.24518,1,0.733727811,28615.41159,1,1
168,74394.64922,1,0.98816568,37481.29385,1,1
169,72182.25359,0,0.840236686,36053.49498,1,1
1,67460.14915,1,0.139784946,62393.93794,2,0
2,91569.70851,1,0.575268817,52885.22339,2,0
3,87492.29719,0,0.790322581,21678.19254,2,0
4,90608.67513,0,0.698924731,39838.73122,2,1
5,87241.06545,1,0.069892473,87748.10679,2,1
6,84123.84886,1,0.672043011,46439.73005,2,1
7,82285.68854,1,0.38172043,50446.63273,2,1
8,85195.41635,0,0.225806452,65624.27667,2,1
9,77509.00008,0,0.478494624,55418.38346,2,1
10,97813.41482,1,0.091397849,87989.57789,2,1
11,93664.83295,0,0.505376344,60802.37261,2,0
12,74626.50892,1,0.801075269,26083.34325,2,0
13,88516.84915,1,0.483870968,46670.05073,2,0
14,66909.40764,1,0.586021505,49156.04899,2,0
15,86347.27299,1,0.85483871,39804.7614,2,1
16,97176.3242,1,0.043010753,80520.15195,2,1
17,78524.88384,1,0.086021505,62346.84403,2,1
18,108540.4213,1,0.155913978,48647.51186,2,0
19,98578.32432,1,0.333333333,48737.02186,2,1
20,98000.44858,1,0.892473118,36896.62318,2,1
21,89185.57023,0,0.215053763,63776.16875,2,1
22,84952.31043,1,0.897849462,20618.77322,2,1
23,82446.7177,0,0.403225806,38084.61823,2,1
24,75765.77888,1,0.462365591,64096.19654,2,1
25,84871.4542,1,0.059139785,69847.5556,2,0
26,81513.5477,0,0.88172043,35011.70807,2,0
27,93314.53544,1,0.301075269,62535.6226,2,0
28,92596.1321,1,0.161290323,71616.52048,2,1
29,99040.25454,1,0.467741935,34287.64608,2,0
30,78505.05173,0,0.865591398,21711.83437,2,1
31,109123.3415,0,0.768817204,44533.74361,2,0
32,85822.0293,1,0.274193548,43769.10393,2,1
33,72148.84933,0,0.849462366,35216.0332,2,1
34,79650.64707,1,0.258064516,61597.81741,2,1
35,88397.79065,0,0.456989247,65338.9595,2,1
36,85098.0879,0,0.247311828,56515.56973,2,1
37,82810.03186,0,0.344086022,54975.26258,2,0
38,95844.40399,0,0.370967742,58188.41433,2,1
39,81062.24185,1,0.983870968,30382.04818,2,1
40,86610.79513,0,0.182795699,58788.90737,2,1
41,82187.52466,0,0.693548387,35397.76729,2,1
42,72451.14819,0,0.704301075,43626.30028,2,0
43,84288.39561,1,0.930107527,33581.82057,2,1
44,91979.20201,0,0.827956989,30497.63608,2,1
45,77983.32924,0,0.107526882,64607.07972,2,0
46,83603.30436,1,0.349462366,54868.02767,2,0
47,93950.21462,1,0.440860215,58611.42937,2,1
48,78531.9794,0,0.521505376,43340.17794,2,0
49,82981.33727,0,0.397849462,62197.69274,2,1
50,86311.14187,0,0.940860215,42969.06337,2,1
51,96540.44251,0,0.5,51808.22842,2,1
52,97161.03583,0,0.919354839,30049.81714,2,0
53,66924.85746,1,0.978494624,24987.14581,2,0
54,72785.11435,1,0.822580645,45338.7266,2,1
55,83932.39884,0,0.129032258,67116.12248,2,1
56,102225.5907,1,0.435483871,43546.77234,2,0
57,84220.92522,0,0.408602151,56674.75335,2,0
58,91589.52225,0,0.715053763,33986.27921,2,0
59,91071.15284,1,0.446236559,46099.79735,2,1
60,80752.70034,1,0.752688172,37838.58861,2,1
61,95639.88543,0,0.150537634,62054.03204,2,1
62,73949.95712,1,0.887096774,44383.65906,2,0
63,97769.59579,0,0.209677419,52499.46719,2,1
64,70270.82368,0,0.994623656,26361.04048,2,1
65,85157.71627,1,0.376344086,41745.62978,2,0
66,75444.70661,1,0.870967742,29528.31474,2,0
67,78802.86485,1,0.424731183,61184.97263,2,1
68,78471.23624,1,0.11827957,62978.67857,2,1
69,84130.98535,1,0.709677419,45015.71637,2,1
70,82270.41866,0,0.102150538,67965.91651,2,1
71,90925.0391,0,0.543010753,55373.24083,2,1
72,82720.88771,0,0.650537634,37802.32988,2,0
73,89225.16526,0,0.774193548,29653.76988,2,1
74,93915.72182,0,0.338709677,66132.01069,2,1
75,89733.69027,0,0.284946237,39439.50388,2,0
76,100382.0226,1,0.35483871,48942.01574,2,0
77,95560.06033,0,0.956989247,59897.94201,2,1
78,72493.94251,1,0.682795699,24519.67185,2,0
79,77079.46012,0,0.295698925,60581.6049,2,0
80,87354.75578,1,0.741935484,46194.82213,2,0
81,81543.07773,1,0.634408602,37447.19068,2,0
82,89947.29232,0,0.962365591,27738.04358,2,0
83,82948.11211,0,0.193548387,59150.34677,2,1
84,96404.53165,1,0.021505376,65691.01362,2,1
85,98341.74985,1,0.817204301,47332.17265,2,1
86,76243.04203,1,0.317204301,65330.8875,2,0
87,89099.27371,1,0.322580645,57299.06342,2,0
88,93143.47169,0,0.392473118,53630.50104,2,1
89,88059.5772,0,0.569892473,48697.41993,2,0
90,101058.1362,1,0.14516129,51713.88332,2,0
91,87210.53659,1,0.811827957,21313.05124,2,0
92,96269.36197,1,0.61827957,34450.29146,2,1
93,87884.86395,0,0.666666667,61476.02551,2,0
94,67222.24,1,0.688172043,47969.54705,2,1
95,91598.0437,1,0.220430108,48954.10018,2,0
96,83292.70482,1,0.23655914,59865.48713,2,1
97,87594.31201,0,0.806451613,35894.84554,2,1
98,88655.70654,1,0.02688172,78415.92886,2,0
99,81589.72978,0,0.172043011,66754.26509,2,1
100,94612.04101,0,0.494623656,50040.80796,2,0
101,91435.93149,1,0.365591398,53626.48525,2,0
102,83697.84707,1,0.623655914,38045.87833,2,0
103,80071.16167,0,0.591397849,43939.87138,2,1
104,96239.21246,0,0.279569892,63967.98587,2,1
105,77564.57881,1,0.844086022,28812.5058,2,1
106,82251.11887,1,0.419354839,55678.30639,2,0
107,86052.46152,0,0.177419355,68424.25481,2,1
108,88359.33001,0,0.725806452,52594.11172,2,1
109,80575.47706,0,0.048387097,83806.88818,2,1
110,90484.81783,1,0.096774194,75425.26929,2,1
111,79808.03958,1,0.52688172,48557.62102,2,0
112,89129.6918,1,0.908602151,13423.62035,2,0
113,82596.23906,0,0.112903226,47923.16786,2,0
114,95748.58308,0,0.913978495,26150.72001,2,1
115,81096.40813,1,0.747311828,32214.16929,2,1
116,95702.69806,1,0.311827957,55683.21248,2,1
117,86942.91265,0,0.612903226,28797.83235,2,1
118,75334.34522,1,0.26344086,54088.11702,2,1
119,78650.59329,0,0.010752688,81312.35349,2,1
120,77164.13117,0,0.537634409,48554.12721,2,0
121,83707.05263,1,0.241935484,38149.63102,2,1
122,101488.9728,1,0.596774194,31462.30418,2,1
123,68554.26112,0,0.924731183,24628.44839,2,0
124,103031.2393,0,0.661290323,48678.74176,2,1
125,78978.19853,1,0.860215054,22125.56396,2,0
126,81018.8211,1,0.564516129,36810.50686,2,1
127,82502.91233,1,0.73655914,42807.92337,2,0
128,82678.16845,0,0.387096774,54293.01471,2,1
129,79968.91773,0,0.559139785,39018.0725,2,1
130,85522.30192,1,0.795698925,22280.01483,2,0
131,97195.87357,0,0.607526882,40117.72714,2,0
132,86900.93228,1,0.64516129,40368.39765,2,1
133,74429.15306,0,0.510752688,28936.07638,2,1
134,97296.49442,1,0.231182796,75735.95271,2,0
135,71973.56949,1,0.833333333,27220.3194,2,1
136,92096.3371,1,0.967741935,34311.82029,2,1
137,89163.54834,0,0.489247312,50214.13935,2,1
138,73011.61244,0,0.580645161,33377.14959,2,1
139,87173.30587,1,0.602150538,51026.97702,2,0
140,89225.26407,0,0.306451613,55325.02977,2,0
141,86111.82144,0,0.268817204,55035.14454,2,1
142,77239.7149,0,0.080645161,79122.25836,2,0
143,84129.84217,0,0.075268817,84534.82041,2,0
144,84130.50405,0,0.779569892,39017.90033,2,1
145,79013.04204,1,0.532258065,36643.9625,2,0
146,100178.7651,0,0.935483871,28986.47332,2,1
147,102078.6097,0,0.016129032,104365.6931,2,1
148,95075.41299,1,0.123655914,59623.68172,2,1
149,79775.93061,1,0.97311828,43960.98329,2,1
150,93857.17039,0,0.655913978,39112.95749,2,1
151,95890.35961,1,0.553763441,24292.04801,2,0
152,100075.6465,1,0.731182796,37163.47541,2,1
153,73637.76613,1,0.188172043,50014.46494,2,1
154,105608.0137,1,0.451612903,62403.53647,2,0
155,82464.26827,0,0.430107527,65389.77767,2,1
156,83105.52202,1,0.784946237,50602.30721,2,0
157,88165.41071,1,0.629032258,35604.08783,2,1
158,86422.36862,0,0.290322581,64153.7558,2,1
159,98637.9294,1,0.166666667,56599.38442,2,0
160,80969.26664,1,0.032258065,72757.61656,2,1
161,81157.66999,0,0.327956989,76885.70637,2,0
162,85027.17914,1,0.413978495,35698.40359,2,1
163,89691.00227,1,0.946236559,28291.24925,2,1
164,77984.57668,0,0.064516129,67434.93127,2,0
165,95056.70788,0,0.47311828,56443.29333,2,1
166,67842.34198,0,1,32439.85305,2,0
167,92387.41535,1,0.005376344,82378.98779,2,0
168,91550.04998,0,0.76344086,39387.19403,2,1
169,74254.9734,0,0.053763441,89541.83129,2,0
170,93864.38089,0,0.204301075,60124.3532,2,0
171,88897.95903,0,0.252688172,63145.48156,2,0
172,92049.80453,1,0.720430108,41612.07875,2,1
173,104934.9053,1,0.758064516,37743.07013,2,0
174,86131.53165,1,0.838709677,33219.05856,2,0
175,79241.18432,1,0.198924731,61871.99893,2,1
176,74598.39611,1,0.677419355,38219.11848,2,1
177,95590.12274,0,0.134408602,33758.57542,2,1
178,105078.7664,0,0.548387097,57557.16281,2,1
179,79107.3538,1,0.037634409,80279.69102,2,1
180,80183.19966,0,0.876344086,37227.8146,2,1
181,73065.12118,0,0.989247312,22107.24024,2,1
182,71857.95887,1,0.903225806,30799.43221,2,0
183,104024.0103,1,0.360215054,60676.36511,2,1
184,85328.08917,0,0.516129032,47884.74411,2,0
185,98021.08382,0,0.951612903,40044.0667,2,0
186,80270.91864,0,0.639784946,46548.45307,2,0
1,85873.51631,1,0.594339623,31999.7702,3,1
2,97082.53534,0,0.905660377,36066.45635,3,1
3,88439.18967,0,0.320754717,49609.17506,3,0
4,83305.24507,0,0.896226415,41621.3554,3,0
5,93871.48256,0,0.141509434,66013.96569,3,0
6,81648.97428,0,0.735849057,39729.20201,3,1
7,97459.21996,1,0.952830189,47260.52179,3,1
8,99641.18637,0,0.933962264,35653.7565,3,1
9,88595.08746,0,0.801886792,34778.83863,3,1
10,88377.30292,0,0.660377358,37719.15325,3,0
11,98285.92095,1,0.773584906,52288.58381,3,1
12,93737.57873,0,0.377358491,55891.73432,3,1
13,79820.85734,0,0.179245283,62804.44668,3,0
14,91434.78594,0,0.556603774,59767.37934,3,1
15,82921.13412,1,0.726415094,30324.46843,3,1
16,84947.94174,0,0.924528302,27628.53941,3,1
17,99859.72321,1,0.264150943,49892.39782,3,0
18,88191.85379,1,0.830188679,35080.16456,3,1
19,79718.88807,0,0.70754717,30425.40932,3,0
20,88824.79244,1,0.066037736,83721.53929,3,0
21,81325.60692,1,0.452830189,50990.96596,3,0
22,88845.95115,0,0.91509434,29164.5954,3,0
23,96313.06832,0,0.698113208,58645.08664,3,1
24,83004.62513,0,0.518867925,41116.82791,3,0
25,67614.56302,1,0.103773585,61612.76833,3,0
26,83611.38392,0,0.169811321,76755.94138,3,1
27,85210.91546,1,0.509433962,51724.75919,3,0
28,92643.46393,0,0.490566038,63202.92947,3,0
29,83395.16194,1,0.018867925,94734.51407,3,1
30,82870.49925,0,0.858490566,58948.56109,3,1
31,91909.15428,0,0.981132075,33281.02467,3,0
32,79755.26241,0,0.58490566,57552.81983,3,1
33,70561.61316,1,0.990566038,24966.58667,3,0
34,95492.78058,0,0.009433962,72597.90977,3,1
35,81795.81176,0,0.216981132,56733.30499,3,0
36,99843.31962,0,0.132075472,63591.42301,3,0
37,76922.38112,1,0.716981132,48228.88714,3,0
38,100494.549,0,0.424528302,48916.259,3,0
39,94695.45068,0,0.839622642,33771.1366,3,0
40,87351.75948,0,0.622641509,44834.28009,3,1
41,73008.78634,0,0.29245283,66533.58099,3,1
42,75936.16008,0,0.301886792,51101.50221,3,0
43,82114.11799,1,0.943396226,38522.34845,3,1
44,75354.03884,0,0.113207547,70452.31079,3,1
45,78523.20299,1,0.367924528,56558.1775,3,1
46,104324.6624,0,0.349056604,52834.83844,3,0
47,87336.76993,1,0.962264151,34473.68935,3,1
48,82129.20612,1,0.283018868,60479.74104,3,1
49,82532.06422,0,0.037735849,83535.26883,3,1
50,76156.05945,0,0.811320755,33755.01786,3,0
51,110213.1132,0,0.254716981,62868.00504,3,1
52,87615.85948,1,0.056603774,80772.33578,3,1
53,84864.32981,1,0.971698113,31800.94713,3,0
54,79090.91145,0,0.79245283,23834.82128,3,0
55,87378.08588,1,0.41509434,49792.08875,3,0
56,75890.55406,1,0.226415094,70459.3464,3,1
57,75992.80298,1,0.745283019,34450.54838,3,1
58,75308.41021,0,0.330188679,32839.50951,3,1
59,80532.32781,1,0.273584906,48457.27033,3,1
60,89038.40836,1,0.849056604,45524.00533,3,0
61,83745.77738,0,0.877358491,45736.8766,3,1
62,89140.15404,0,0.20754717,58759.71322,3,1
63,86646.96209,0,0.566037736,46900.4444,3,1
64,74471.46126,1,0.528301887,41702.57991,3,0
65,82130.54695,0,0.094339623,76327.02242,3,0
66,90576.92246,0,0.047169811,86487.3152,3,1
67,83177.35534,0,0.669811321,53028.18979,3,0
68,94022.27184,1,0.339622642,52633.08361,3,0
69,86960.57503,1,1,37729.35664,3,1
70,80005.08146,1,0.188679245,52386.76592,3,1
71,75621.08156,1,0.867924528,28142.37131,3,0
72,86420.75089,0,0.160377358,56121.81185,3,0
73,91802.24756,1,0.471698113,36969.9448,3,0
74,87678.55236,0,0.764150943,34965.9414,3,1
75,96258.96547,1,0.443396226,54673.97267,3,1
76,93983.46859,1,0.783018868,34608.14091,3,0
77,91153.36418,0,0.386792453,56177.15468,3,1
78,97504.3046,0,0.679245283,41131.65104,3,1
79,76868.82666,1,0.886792453,31971.83015,3,0
80,78059.99116,0,0.537735849,47776.60505,3,0
81,88389.15572,1,0.641509434,30169.37823,3,0
82,80176.24358,0,0.245283019,58956.17961,3,0
83,89935.58244,1,0.028301887,68964.16025,3,1
84,81786.06744,0,0.688679245,48146.04092,3,1
85,80482.07527,1,0.632075472,42228.88646,3,0
86,92422.3536,0,0.08490566,76168.23561,3,1
87,82802.34809,1,0.311320755,42513.2974,3,0
88,83719.37544,0,0.5,56250.62505,3,1
89,99151.26642,1,0.820754717,43290.97563,3,0
90,95264.00201,1,0.235849057,70476.21998,3,1
91,96267.73525,0,0.075471698,67689.48432,3,0
92,76195.86123,1,0.650943396,52600.91304,3,1
93,83215.89162,1,0.613207547,39882.62984,3,1
94,85643.145,0,0.603773585,34933.44083,3,1
95,84526.78069,0,0.150943396,46771.2576,3,0
96,92384.19874,0,0.547169811,55856.7445,3,0
97,81789.68318,1,0.433962264,55842.9903,3,1
98,94955.7622,0,0.122641509,57165.37435,3,0
99,94800.97358,0,0.198113208,61729.26134,3,0
100,96596.83409,1,0.405660377,61555.6521,3,0
101,88644.0142,1,0.358490566,77259.49409,3,0
102,82839.80584,1,0.462264151,68180.15244,3,1
103,65568.84709,1,0.396226415,52073.78477,3,1
104,91857.76008,0,0.481132075,52767.47028,3,1
105,95998.36909,1,0.575471698,38030.85397,3,1
106,71233.33242,0,0.754716981,27567.43165,3,0
1,98909.66371,0,0.164772727,73500.58968,4,0
2,72074.23342,0,0.784090909,32704.77356,4,0
3,88708.7237,1,0.363636364,45292.47099,4,0
4,73969.31119,0,0.471590909,48868.66747,4,0
5,87912.92167,1,0.590909091,44136.55114,4,0
6,91092.34574,0,0.835227273,29132.79403,4,1
7,84396.02643,0,0.698863636,33157.85317,4,1
8,81373.51657,0,0.4375,34049.78843,4,0
9,83451.77834,1,1,33525.11147,4,0
10,80913.27584,1,0.676136364,32206.92124,4,1
11,87024.38823,0,0.448863636,61529.93691,4,0
12,104738.5931,0,0.693181818,42986.27341,4,1
13,80161.07088,1,0.659090909,45417.88978,4,0
14,108938.9594,1,0.545454545,47773.84986,4,0
15,96417.34873,1,0.767045455,48028.43341,4,1
16,89055.04632,0,0.085227273,78816.68354,4,1
17,87662.87201,0,0.943181818,17785.90764,4,1
18,92015.63122,1,0.914772727,30440.76649,4,0
19,86576.61033,0,0.102272727,58069.48048,4,1
20,85390.05096,1,0.954545455,22699.25599,4,1
21,99909.8634,0,0.335227273,52617.33832,4,1
22,96477.03887,0,0.931818182,39013.41553,4,1
23,87816.03755,1,0.079545455,72835.97303,4,1
24,84892.30997,1,0.107954545,55164.63192,4,0
25,99530.12571,1,0.125,51533.66139,4,1
26,85643.41221,1,0.505681818,68902.49632,4,0
27,91434.27167,0,0.625,33718.84803,4,0
28,86067.89153,1,0.329545455,46482.00273,4,1
29,83778.41756,0,0.198863636,56128.59869,4,1
30,80169.37091,1,0.443181818,51287.76241,4,1
31,83054.11186,1,0.875,44093.74313,4,1
32,79612.2359,1,0.886363636,41384.14399,4,1
33,80851.95322,1,0.818181818,38285.47995,4,1
34,93902.89303,0,0.323863636,60743.46174,4,1
35,83213.75791,0,0.215909091,70984.52006,4,0
36,86526.90121,1,0.585227273,33325.57043,4,0
37,78302.16142,1,0.6875,35270.3642,4,0
38,97177.77973,0,0.176136364,64779.45542,4,0
39,86767.38163,0,0.295454545,65121.69644,4,1
40,95568.25881,0,0.852272727,28592.64457,4,1
41,78625.44387,0,0.75,37532.62128,4,0
42,82028.18175,0,0.977272727,38353.62581,4,0
43,84043.97267,0,0.267045455,58026.85718,4,0
44,99351.96328,1,0.130681818,76402.1962,4,1
45,106485.9913,1,0.357954545,58973.34769,4,0
46,77669.58775,1,0.340909091,52873.25013,4,1
47,93829.12125,0,0.534090909,57171.60332,4,1
48,102547.6856,0,0.022727273,71519.40483,4,0
49,94159.91823,1,0.272727273,66461.83527,4,1
50,82186.39288,0,0.551136364,45433.4571,4,0
51,93222.26559,1,0.8125,45546.59787,4,1
52,84100.2276,0,0.426136364,43381.49153,4,1
