"sl_no","gender","ssc_p","ssc_b","hsc_p","hsc_b","hsc_s","degree_p","degree_t","workex","etest_p","specialisation","mba_p","status","salary"
1,"M",59.96,"Others",42.16,"Others","Science",61.26,"Sci&Tech","No",54.48,"Mkt&HR",65.48,"Not Placed",NA
2,"F",63,"Others",68,"Others","Commerce",61,"Comm&Mgmt","Yes",54.48,"Mkt&Fin",71.49,"Placed",240000
3,"F",55.68,"Central",60,"Others","Science",65,"Comm&Mgmt","No",95.65,"Mkt&Fin",60.78,"Placed",270000
4,"M",85.8,"Central",73.6,"Central","Commerce",73.3,"Comm&Mgmt","No",96.8,"Mkt&Fin",55.5,"Placed",425000
5,"M",67,"Others",60,"Others","Science",66,"Comm&Mgmt","No",62,"Mkt&HR",53.49,"Placed",265000
6,"F",73,"Central",56,"Central","Science",66,"Comm&Mgmt","Yes",60,"Mkt&Fin",61.58,"Placed",210000
7,"M",58,"Central",70,"Central","Commerce",61,"Comm&Mgmt","No",54,"Mkt&Fin",52.21,"Not Placed",NA
8,"M",54,"Others",49.8,"Central","Arts",60,"Comm&Mgmt","Yes",85,"Mkt&HR",58.52,"Not Placed",NA
9,"F",73,"Others",70.4,"Others","Science",68,"Sci&Tech","Yes",65,"Mkt&Fin",63.08,"Placed",393000
10,"M",62,"Central",81,"Central","Commerce",65,"Comm&Mgmt","No",77,"Mkt&HR",65.99,"Placed",240000
11,"F",64,"Others",70.2,"Central","Commerce",61,"Comm&Mgmt","No",50,"Mkt&Fin",62.5,"Not Placed",NA
12,"M",64,"Others",80,"Others","Science",65,"Sci&Tech","Yes",69,"Mkt&Fin",57.65,"Placed",5e+05
13,"M",67,"Others",63,"Central","Science",60.9,"Others","No",60,"Mkt&HR",55.03,"Placed",225000
14,"M",63,"Central",78.33,"Central","Commerce",65,"Comm&Mgmt","No",87.5,"Mkt&Fin",61.26,"Placed",270000
15,"M",62,"Central",60.33,"Others","Science",64.21,"Sci&Tech","No",63,"Mkt&HR",60.02,"Not Placed",NA
16,"F",69,"Others",62,"Others","Commerce",69,"Comm&Mgmt","Yes",67,"Mkt&HR",62.35,"Placed",240000
17,"M",63.4,"Others",68,"Others","Commerce",60,"Comm&Mgmt","No",55,"Mkt&HR",56.81,"Placed",240000
18,"M",67,"Others",62,"Central","Science",64.27,"Comm&Mgmt","No",58.1,"Mkt&Fin",52.64,"Placed",220000
19,"F",74.9,"Central",73.2,"Central","Commerce",76,"Comm&Mgmt","Yes",65,"Mkt&Fin",67.28,"Placed",3e+05
20,"M",58,"Others",60,"Others","Science",72,"Sci&Tech","No",74,"Mkt&Fin",53.62,"Placed",275000
21,"F",65,"Central",63,"Central","Commerce",75,"Comm&Mgmt","No",60,"Mkt&HR",56.7,"Placed",240000
22,"F",69,"Others",71.4,"Others","Science",68,"Comm&Mgmt","No",80.4,"Mkt&HR",69.03,"Placed",230000
23,"F",82,"Central",70,"Central","Commerce",65,"Others","No",67,"Mkt&Fin",62.48,"Placed",250000
24,"F",87,"Central",74,"Central","Commerce",78,"Comm&Mgmt","No",82,"Mkt&Fin",73.52,"Placed",252000
25,"M",56.28,"Others",60,"Others","Science",65,"Sci&Tech","No",80,"Mkt&Fin",61.87,"Not Placed",NA
26,"M",82,"Others",90,"Others","Commerce",83,"Comm&Mgmt","No",80,"Mkt&HR",73.52,"Placed",2e+05
27,"M",80,"Central",53,"Central","Science",77.72,"Sci&Tech","No",86.5,"Mkt&Fin",74.49,"Not Placed",NA
28,"M",64,"Central",63,"Central","Arts",61,"Comm&Mgmt","Yes",80,"Mkt&HR",59.81,"Placed",360000
29,"F",46,"Central",55,"Central","Commerce",55,"Comm&Mgmt","No",76,"Mkt&HR",64.95,"Not Placed",NA
30,"F",59,"Others",52,"Others","Commerce",50.8,"Comm&Mgmt","No",67,"Mkt&HR",56.11,"Not Placed",NA
31,"M",63,"Others",62,"Others","Commerce",68,"Comm&Mgmt","No",64,"Mkt&Fin",62.46,"Placed",250000
32,"F",62,"Central",66.6,"Central","Arts",57,"Comm&Mgmt","No",55,"Mkt&Fin",64.27,"Not Placed",NA
33,"M",64,"Others",71.4,"Others","Commerce",65,"Comm&Mgmt","No",68,"Mkt&HR",62.28,"Placed",3e+05
34,"M",59,"Others",61,"Others","Commerce",60,"Comm&Mgmt","No",57,"Mkt&Fin",56.81,"Not Placed",NA
35,"M",52.6,"Central",82,"Central","Commerce",66.4,"Comm&Mgmt","No",71.2,"Mkt&Fin",51.58,"Not Placed",NA
36,"F",77,"Others",64,"Others","Commerce",69,"Comm&Mgmt","Yes",57.5,"Mkt&Fin",55.47,"Placed",260000
37,"F",73.96,"Others",79,"Others","Commerce",67,"Comm&Mgmt","No",72.15,"Mkt&Fin",63.08,"Placed",280000
38,"M",56,"Others",49.8,"Others","Commerce",67.25,"Comm&Mgmt","No",50.48,"Mkt&Fin",67.2,"Not Placed",NA
39,"M",53,"Central",63,"Others","Science",60,"Comm&Mgmt","Yes",70,"Mkt&Fin",53.2,"Placed",250000
40,"F",77.8,"Central",65.5,"Central","Commerce",72,"Comm&Mgmt","No",89,"Mkt&Fin",67.05,"Placed",280000
41,"M",82,"Others",89.83,"Others","Commerce",73,"Comm&Mgmt","Yes",68.71,"Mkt&Fin",62.14,"Placed",340000
42,"F",84,"Others",75,"Others","Science",69,"Sci&Tech","Yes",62,"Mkt&HR",62.36,"Placed",210000
43,"F",67,"Central",53,"Central","Commerce",72,"Sci&Tech","Yes",74.4,"Mkt&HR",59.24,"Not Placed",NA
44,"M",70,"Central",63,"Others","Science",70,"Sci&Tech","Yes",55,"Mkt&Fin",62,"Placed",3e+05
45,"M",56.6,"Others",74.66,"Others","Science",66,"Sci&Tech","No",60,"Mkt&HR",56.09,"Placed",231000
46,"M",62,"Central",72,"Central","Commerce",65,"Comm&Mgmt","No",67,"Mkt&Fin",56.49,"Placed",216000
47,"M",64.6,"Central",83.83,"Others","Commerce",71.72,"Comm&Mgmt","No",86,"Mkt&Fin",59.75,"Placed",218000
48,"F",52.58,"Others",54.6,"Central","Commerce",50.2,"Comm&Mgmt","Yes",76,"Mkt&Fin",65.33,"Not Placed",NA
49,"M",58,"Central",62,"Others","Science",65,"Sci&Tech","Yes",75,"Mkt&Fin",66.46,"Not Placed",NA
50,"F",62,"Central",63,"Central","Commerce",61,"Comm&Mgmt","Yes",67,"Mkt&Fin",62.5,"Placed",940000
51,"F",40.89,"Others",51,"Others","Commerce",58,"Comm&Mgmt","No",56.39,"Mkt&HR",58.32,"Not Placed",NA
52,"F",74.9,"Others",56,"Others","Science",75.5,"Comm&Mgmt","Yes",64,"Mkt&Fin",62.92,"Placed",2e+05
53,"F",54,"Central",77.6,"Others","Commerce",69.2,"Comm&Mgmt","No",95.65,"Mkt&Fin",66.94,"Not Placed",NA
54,"M",59.96,"Others",51,"Others","Commerce",60,"Comm&Mgmt","No",55,"Mkt&HR",64.74,"Placed",940000
55,"F",77,"Others",61,"Others","Commerce",68,"Comm&Mgmt","Yes",57.5,"Mkt&Fin",61.31,"Placed",3e+05
56,"M",58,"Others",61,"Others","Commerce",56,"Sci&Tech","No",58,"Mkt&HR",60.02,"Placed",250000
57,"M",66,"Central",78,"Others","Commerce",66,"Sci&Tech","Yes",58,"Mkt&HR",60.64,"Placed",231000
58,"M",61,"Others",51,"Others","Science",53,"Comm&Mgmt","No",74,"Mkt&HR",59.08,"Not Placed",NA
59,"M",52,"Others",54.6,"Others","Commerce",55,"Comm&Mgmt","No",55,"Mkt&HR",62.77,"Not Placed",NA
60,"M",84.2,"Others",73.4,"Central","Science",68,"Sci&Tech","No",62,"Mkt&Fin",66.04,"Placed",3e+05
61,"F",80,"Others",69.4,"Others","Science",72,"Sci&Tech","No",93,"Mkt&Fin",68.2,"Placed",260000
62,"M",88,"Central",72,"Central","Commerce",73.43,"Comm&Mgmt","Yes",75,"Mkt&Fin",55.5,"Placed",3e+05
63,"F",58,"Central",64,"Central","Commerce",64,"Comm&Mgmt","No",67,"Mkt&Fin",56.7,"Not Placed",NA
64,"F",77.8,"Central",64,"Central","Science",64.2,"Sci&Tech","No",75.5,"Mkt&HR",72.14,"Not Placed",NA
65,"M",87,"Others",61,"Others","Science",62,"Sci&Tech","No",59,"Mkt&HR",66.53,"Not Placed",NA
66,"M",65,"Central",78.33,"Others","Commerce",66,"Comm&Mgmt","No",73,"Mkt&Fin",62.28,"Placed",350000
67,"M",77.44,"Central",89.7,"Others","Commerce",59,"Comm&Mgmt","Yes",88.56,"Mkt&Fin",71.77,"Placed",411000
68,"F",77.4,"Others",60,"Others","Science",64.74,"Sci&Tech","Yes",92,"Mkt&Fin",63.62,"Placed",3e+05
69,"F",64,"Others",62,"Others","Science",61,"Sci&Tech","No",55,"Mkt&HR",57.29,"Not Placed",NA
70,"M",52,"Central",64,"Central","Commerce",59.79,"Comm&Mgmt","No",75,"Mkt&HR",53.2,"Not Placed",NA
71,"F",75.4,"Others",60.5,"Central","Science",84,"Sci&Tech","No",98,"Mkt&Fin",65.25,"Placed",240000
72,"M",60.8,"Central",68.4,"Central","Commerce",64.6,"Comm&Mgmt","Yes",82.66,"Mkt&Fin",64.34,"Placed",940000
73,"F",84,"Central",79,"Others","Science",61,"Sci&Tech","Yes",68,"Mkt&Fin",68.63,"Placed",240000
74,"F",76,"Central",89.7,"Others","Arts",77.25,"Comm&Mgmt","Yes",68,"Mkt&Fin",70.48,"Placed",3e+05
75,"F",65,"Central",66.8,"Others","Science",65,"Comm&Mgmt","No",72,"Mkt&HR",69.28,"Placed",3e+05
76,"M",62,"Central",58,"Central","Commerce",54.38,"Comm&Mgmt","No",61.28,"Mkt&HR",62.65,"Not Placed",NA
77,"M",70,"Others",73,"Others","Commerce",72,"Comm&Mgmt","No",50,"Mkt&Fin",61.29,"Placed",250000
78,"F",67,"Central",67,"Others","Commerce",66,"Comm&Mgmt","No",78,"Mkt&Fin",66.94,"Not Placed",NA
79,"M",55,"Central",67,"Central","Commerce",61,"Comm&Mgmt","No",60,"Mkt&Fin",54.97,"Not Placed",NA
80,"F",63,"Central",66,"Others","Commerce",64,"Comm&Mgmt","No",86,"Mkt&Fin",69.03,"Not Placed",NA
81,"F",80.92,"Others",76,"Others","Science",85,"Sci&Tech","No",59.32,"Mkt&HR",68.53,"Placed",2e+05
82,"M",66.5,"Central",62.5,"Central","Commerce",60.9,"Comm&Mgmt","No",93.4,"Mkt&Fin",55.03,"Placed",3e+05
83,"M",52,"Central",63,"Central","Commerce",64,"Comm&Mgmt","No",63,"Mkt&Fin",62.65,"Not Placed",NA
84,"F",69.5,"Others",63,"Others","Science",68,"Comm&Mgmt","No",55,"Mkt&HR",60.23,"Placed",250000
85,"M",69.8,"Others",79,"Others","Commerce",72,"Sci&Tech","Yes",71,"Mkt&Fin",60.98,"Placed",231000
86,"M",60,"Others",62,"Others","Science",72,"Comm&Mgmt","No",59,"Mkt&Fin",56.94,"Placed",240000
87,"F",74,"Others",63.16,"Others","Commerce",65,"Comm&Mgmt","Yes",65,"Mkt&HR",69.76,"Not Placed",NA
88,"F",86.5,"Others",64.2,"Others","Science",67.4,"Sci&Tech","No",59,"Mkt&Fin",59.69,"Placed",240000
89,"M",63,"Others",67,"Others","Commerce",65.6,"Comm&Mgmt","No",50,"Mkt&HR",57.69,"Placed",240000
90,"F",84,"Others",79,"Others","Commerce",85,"Comm&Mgmt","No",95,"Mkt&Fin",72.78,"Placed",2e+05
91,"M",76,"Central",80,"Central","Science",78,"Sci&Tech","Yes",97,"Mkt&HR",70.48,"Placed",276000
92,"F",67,"Others",71.4,"Others","Science",69,"Sci&Tech","No",61,"Mkt&HR",68.81,"Placed",3e+05
93,"M",51,"Central",44,"Central","Commerce",57,"Comm&Mgmt","No",64,"Mkt&Fin",51.45,"Not Placed",NA
94,"M",77.67,"Central",60,"Others","Commerce",56,"Comm&Mgmt","No",75.5,"Mkt&HR",67.13,"Placed",240000
95,"M",49,"Others",39,"Central","Science",65,"Others","No",63,"Mkt&Fin",51.21,"Not Placed",NA
96,"M",43,"Others",54,"Others","Commerce",55,"Comm&Mgmt","No",74,"Mkt&HR",59.08,"Not Placed",NA
97,"F",87,"Central",73.4,"Central","Science",65,"Sci&Tech","No",58,"Mkt&HR",58.78,"Placed",360000
98,"M",82,"Central",64,"Central","Science",66,"Sci&Tech","Yes",67,"Mkt&Fin",62.14,"Placed",252000
99,"M",67,"Central",74,"Central","Commerce",65,"Comm&Mgmt","Yes",67,"Mkt&HR",62.28,"Placed",252000
100,"M",44,"Central",58,"Central","Arts",55,"Comm&Mgmt","Yes",64.25,"Mkt&HR",58.54,"Not Placed",NA
101,"M",85,"Others",64,"Others","Science",78,"Comm&Mgmt","No",60,"Mkt&Fin",68.53,"Placed",240000
102,"M",61.8,"Others",47,"Others","Commerce",54.38,"Comm&Mgmt","No",57,"Mkt&Fin",56.13,"Not Placed",NA
103,"F",56.6,"Others",51,"Others","Science",57,"Comm&Mgmt","No",78,"Mkt&HR",56.11,"Not Placed",NA
104,"F",59.6,"Central",61.12,"Others","Science",72.11,"Sci&Tech","No",89.69,"Mkt&Fin",67.69,"Not Placed",NA
105,"F",74.9,"Central",56,"Central","Science",77.25,"Comm&Mgmt","Yes",66,"Mkt&Fin",65.04,"Placed",3e+05
106,"M",89.4,"Others",64,"Others","Science",72,"Sci&Tech","Yes",72,"Mkt&HR",63.23,"Placed",350000
107,"M",69,"Others",70.4,"Others","Science",69,"Sci&Tech","Yes",80.4,"Mkt&HR",68.07,"Not Placed",NA
108,"F",60.23,"Central",65,"Central","Commerce",60,"Comm&Mgmt","No",58,"Mkt&HR",62.21,"Not Placed",NA
109,"M",77.8,"Others",74,"Others","Science",72,"Comm&Mgmt","Yes",96.8,"Mkt&Fin",68.2,"Placed",2e+05
110,"M",73,"Central",63,"Others","Science",64,"Sci&Tech","Yes",65,"Mkt&HR",60.11,"Placed",260000
111,"M",65,"Others",62,"Others","Commerce",69,"Comm&Mgmt","Yes",74,"Mkt&HR",58.87,"Placed",380000
112,"F",73,"Central",56,"Others","Science",70,"Sci&Tech","Yes",65,"Mkt&Fin",61.58,"Placed",250000
113,"F",66.5,"Central",66,"Others","Science",66,"Comm&Mgmt","No",55.5,"Mkt&Fin",69.28,"Placed",260000
114,"F",48,"Central",51,"Central","Commerce",58,"Comm&Mgmt","Yes",60,"Mkt&HR",58.79,"Not Placed",NA
115,"F",67,"Others",62,"Central","Science",71.93,"Sci&Tech","No",55,"Mkt&Fin",64.66,"Placed",3e+05
116,"F",87,"Others",65,"Others","Science",81,"Comm&Mgmt","Yes",88,"Mkt&Fin",72.78,"Placed",260000
117,"F",55,"Central",67,"Others","Commerce",70,"Others","No",62,"Mkt&Fin",68.81,"Not Placed",NA
118,"M",58,"Others",61,"Others","Commerce",61,"Comm&Mgmt","No",58,"Mkt&HR",53.94,"Placed",250000
119,"F",84,"Central",79,"Others","Commerce",61,"Comm&Mgmt","Yes",72.15,"Mkt&Fin",72.14,"Placed",690000
120,"M",45,"Others",39,"Others","Science",79,"Sci&Tech","No",85,"Mkt&Fin",51.58,"Not Placed",NA
121,"F",69,"Central",62,"Central","Science",66,"Sci&Tech","No",75,"Mkt&HR",67.99,"Not Placed",NA
122,"F",73,"Others",57,"Others","Science",65,"Comm&Mgmt","No",84,"Mkt&HR",64.95,"Placed",280000
123,"M",60.4,"Central",65,"Others","Commerce",60,"Comm&Mgmt","No",68,"Mkt&HR",58.54,"Placed",220000
124,"F",69,"Central",66,"Central","Science",65,"Comm&Mgmt","Yes",64,"Mkt&Fin",65.52,"Placed",3e+05
125,"M",73,"Others",58,"Others","Commerce",56,"Comm&Mgmt","No",84,"Mkt&HR",52.64,"Placed",3e+05
126,"M",69,"Central",63,"Others","Science",65,"Sci&Tech","No",68,"Mkt&Fin",68.07,"Placed",3e+05
127,"M",63,"Central",70,"Central","Commerce",64,"Comm&Mgmt","Yes",87.5,"Mkt&HR",55.14,"Placed",233000
128,"F",56.28,"Others",62.83,"Others","Commerce",59.79,"Comm&Mgmt","No",60,"Mkt&HR",57.29,"Not Placed",NA
129,"M",80,"Central",77,"Central","Science",77.48,"Sci&Tech","No",92,"Mkt&HR",68.03,"Placed",276000
130,"F",63.3,"Central",78.33,"Others","Commerce",74,"Comm&Mgmt","No",80,"Mkt&Fin",74.56,"Not Placed",NA
131,"M",63,"Central",67,"Central","Commerce",74,"Comm&Mgmt","No",82,"Mkt&Fin",60.44,"Not Placed",NA
132,"M",85,"Central",70,"Central","Science",78,"Comm&Mgmt","Yes",88,"Mkt&Fin",76.18,"Placed",650000
133,"M",84,"Others",79,"Others","Science",68,"Sci&Tech","Yes",84,"Mkt&Fin",66.69,"Placed",3e+05
134,"M",66.5,"Central",71,"Central","Arts",66,"Comm&Mgmt","No",69,"Mkt&Fin",61.26,"Placed",220000
135,"F",74,"Others",73,"Others","Commerce",73,"Comm&Mgmt","Yes",80,"Mkt&Fin",67.69,"Placed",210000
136,"M",67,"Others",63,"Others","Science",64,"Sci&Tech","No",60,"Mkt&Fin",61.87,"Not Placed",NA
137,"M",54,"Central",82,"Others","Commerce",63,"Sci&Tech","No",50,"Mkt&Fin",59.47,"Not Placed",NA
138,"F",47,"Central",45.83,"Central","Commerce",58,"Comm&Mgmt","No",76,"Mkt&HR",65.49,"Not Placed",NA
