"as_of_year","respondent_id","agency_name","agency_abbr","agency_code","loan_type_name","loan_type","loan_purpose_name","loan_purpose","owner_occupancy_name","owner_occupancy","preapproval_name","preapproval","action_taken_name","state_abbr","applicant_ethnicity_name","applicant_ethnicity","co_applicant_ethnicity_name","co_applicant_ethnicity","applicant_race_name_1","applicant_race_1","co_applicant_race_name_1","co_applicant_race_1","applicant_sex_name","applicant_sex","co_applicant_sex_name","co_applicant_sex","applicant_income_000s","population","minority_population","hud_median_family_income","tract_to_msamd_income","number_of_owner_occupied_units","number_of_1_to_4_family_units"
2017,"0000000047","Office of the Comptroller of the Currency","OCC",1,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was not requested",2,"Application denied by financial institution","IN","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,66,6691,3.77999997138977,53400,97.1900024414062,1867,2723
2017,"0000000196","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","FL","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,29,3714,38.1300010681152,59800,83.5599975585938,1047,1390
2017,"0000000303","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TN","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,62,672,7.8899998664856,47900,72.5999984741211,263,374
2017,"0000000803","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","OH","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,162,3715,0.810000002384186,56100,118.76000213623,1191,1641
2017,"0000000803","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","KY","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,78,3368,4.01000022888184,47800,113.029998779297,899,1348
2017,"0000000803","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","WV","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,31,3351,10.5900001525879,53800,80.3899993896484,973,1473
2017,"0000000948","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was not requested",2,"Application denied by financial institution","NM","Hispanic or Latino",1,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,70,4534,44.7700004577637,61900,124.819999694824,1262,1729
2017,"0000001027","Office of the Comptroller of the Currency","OCC",1,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was requested",1,"Application denied by financial institution","NY","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,93,6154,31.8799991607666,62500,109.970001220703,1137,2042
2017,"0000001148","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was not requested",2,"Application denied by financial institution","CT","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Female",2,"Female",2,139,4730,3.74000000953674,84000,100.959999084473,1580,2030
2017,"0000001467","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TX","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Female",2,"Male",1,134,10569,16.4300003051758,66700,120.419998168945,2933,4120
2017,"0000001682","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","KY","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Female",2,"Male",1,78,2704,0,47800,110.089996337891,882,1261
2017,"0000002551","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","","Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",6,"Female",2,"Male",1,47,NA,NA,NA,NA,NA,NA
2017,"0000003025","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","NY","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,98,5860,2.34999990463257,68000,101.790000915527,1905,2389
2017,"0000003130","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","OK","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,34,NA,NA,NA,NA,NA,NA
2017,"0000003413","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was not requested",2,"Application denied by financial institution","CT","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,69,4729,16.2800006866455,84900,99.5,1598,1988
2017,"0000004142","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was requested",1,"Application denied by financial institution","CA","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,132,6525,34.5900001525879,79300,122.699996948242,1629,2300
2017,"0000004166","Office of the Comptroller of the Currency","OCC",1,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TX","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,NA,5885,50.939998626709,72400,121.209999084473,748,1038
2017,"0000004239","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","NC","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,487,4238,6.30000019073486,67700,191.550003051758,1349,1851
2017,"0000004281","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was not requested",2,"Application denied by financial institution","","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,44,NA,NA,NA,NA,NA,NA
2017,"0000004360","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","IN","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Female",2,"Male",1,104,2452,49.5099983215332,57200,73.2699966430664,504,1515
2017,"0000004365","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was not requested",2,"Application denied by financial institution","IN","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,26,4200,2.45000004768372,68400,99.75,1492,1900
