"Player","FirstName","LastName","Pos","Age","Tm","G","GS","MP_per_game","FG_per_game","FGA_per_game","FG._per_game","X3P_per_game","X3PA_per_game","X3P._per_game","X2P_per_game","X2PA_per_game","X2P._per_game","eFG._per_game","FT_per_game","FTA_per_game","FT._per_game","ORB_per_game","DRB_per_game","TRB_per_game","AST_per_game","STL_per_game","BLK_per_game","TOV_per_game","PF_per_game","PTS_per_game","Season.S.1","PER_advanced","TS._advanced","X3PAr_advanced","FTr_advanced","ORB._advanced","DRB._advanced","TRB._advanced","AST._advanced","STL._advanced","BLK._advanced","TOV._advanced","USG._advanced","OWS_advanced","DWS_advanced","WS_advanced","WS.48_advanced","OBPM_advanced","DBPM_advanced","BPM_advanced","VORP_advanced","MP_totals","FG_totals","FGA_totals","FG._totals","X3P_totals","X3PA_totals","X3P._totals","X2P_totals","X2PA_totals","X2P._totals","eFG._totals","FT_totals","FTA_totals","FT._totals","ORB_totals","DRB_totals","TRB_totals","AST_totals","STL_totals","BLK_totals","TOV_totals","PF_totals","PTS_totals","Salary","Height","Weight","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER"
"Precious Achiuwa","Precious","Achiuwa","C",23,"TOR",55,12,20.7,3.6,7.3,0.485,0.5,2,0.269,3,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6,0.9,0.6,0.5,1.1,1.9,9.2,"2022-23",15.2,0.554,0.267,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1,1140,196,404,0.485,29,108,0.269,167,296,0.564,0.521,87,124,0.702,100,228,328,50,31,30,59,102,508,2.84016,"6-8",225,"Nigeria","2020","1","20"
"Steven Adams","Steven","Adams","C",29,"MEM",42,42,27,3.7,6.3,0.597,0,0,0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,"2022-23",17.5,0.564,0.004,0.49,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,1.3,2.1,3.4,0.144,-0.3,0.9,0.6,0.7,1133,157,263,0.597,0,1,0,157,262,0.599,0.597,47,129,0.364,214,271,485,97,36,46,79,98,361,17.926829,"6-11",265,"New Zealand","2013","1","12"
"Bam Adebayo","Bam","Adebayo","C",25,"MIA",75,75,34.6,8,14.9,0.54,0,0.2,0.083,8,14.7,0.545,0.541,4.3,5.4,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,"2022-23",20.1,0.592,0.011,0.361,8,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,0.137,0.8,0.8,1.5,2.3,2598,602,1114,0.54,1,12,0.083,601,1102,0.545,0.541,324,402,0.806,184,504,688,240,88,61,187,208,1529,30.35178,"6-9",255,"USA","2017","1","14"
"Jarrett Allen","Jarrett","Allen","C",24,"CLE",68,68,32.6,5.9,9.2,0.644,0,0.1,0.1,5.9,9.1,0.653,0.645,2.4,3.3,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3,"2022-23",19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,5.5,4,9.5,0.205,1.3,1,2.4,2.4,2220,403,626,0.644,1,10,0.1,402,616,0.653,0.645,162,221,0.733,221,445,666,113,54,84,93,153,969,20,"6-10",243,"USA","2017","1","22"
"Deandre Ayton","Deandre","Ayton","C",24,"PHO",67,67,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,0.592,2.3,3,0.76,2.6,7.4,10,1.7,0.6,0.8,1.8,2.8,18,"2022-23",19.9,0.617,0.027,0.225,9.2,27.5,18.1,9.2,0.9,2.3,11,22.9,3.3,3,6.2,0.147,0.9,0,0.9,1.5,2035,522,887,0.589,7,24,0.292,515,863,0.597,0.592,152,200,0.76,172,495,667,115,37,53,120,190,1203,30.91375,"6-11",250,"Bahamas","2018","1","1"
"Udoka Azubuike","Udoka","Azubuike","C",23,"UTA",36,4,10,1.6,2,0.819,0,0,0,1.6,2,0.819,0.819,0.2,0.6,0.35,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,3.5,"2022-23",16.1,0.774,0,0.278,9.5,26.1,17.9,4.3,0.8,3.5,18.2,11.5,0.6,0.4,1,0.134,-1.2,0.5,-0.6,0.1,359,59,72,0.819,0,0,0,59,72,0.819,0.819,7,20,0.35,31,88,119,11,6,15,18,34,125,2.17488,"7-0",270,"Nigeria","2020","1","27"
"Marvin Bagley III","Marvin","Bagley III","C",23,"DET",42,25,23.6,4.8,9.1,0.529,0.5,1.6,0.288,4.4,7.5,0.579,0.554,1.9,2.6,0.75,2.2,4.2,6.4,0.9,0.5,0.7,1.1,1.9,12,"2022-23",17.2,0.587,0.173,0.283,10.2,20.2,15.1,5.9,0.9,2.7,9.7,20.4,1.3,0.7,2,0.095,0.3,-1.2,-0.9,0.3,990,202,382,0.529,19,66,0.288,183,316,0.579,0.554,81,108,0.75,94,175,269,36,19,30,46,81,504,NA,"6-11",235,"USA","2018","1","2"
"Mo Bamba","Mo","Bamba","C",24,"LAL",49,7,15.7,2.4,4.9,0.485,1,2.5,0.387,1.4,2.4,0.59,0.585,0.8,1.3,0.661,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6,"2022-23",15.7,0.602,0.515,0.257,8.5,24.2,16.4,8.7,0.8,5.3,10.1,16.6,1.1,1.1,2.2,0.139,-0.2,0.7,0.5,0.5,769,117,241,0.485,48,124,0.387,69,117,0.59,0.585,41,62,0.661,58,167,225,46,13,43,30,105,323,10.3,"7-0",231,"USA","2018","1","6"
"Darius Bazley","Darius","Bazley","C",22,"PHO",43,1,14.3,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3,0.485,0.508,0.9,1.6,0.543,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1,5.2,"2022-23",13.1,0.524,0.29,0.383,5.8,18.5,12.1,8.3,1.7,5.1,11.2,16.4,0.1,0.9,1,0.078,-2,1,-1,0.2,616,83,183,0.454,20,53,0.377,63,130,0.485,0.508,38,70,0.543,34,104,138,38,22,34,27,44,224,4.264628,"6-8",208,"USA","2019","1","23"
"Khem Birch","Khem","Birch","C",30,"TOR",20,0,8.1,1,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,"2022-23",9.4,0.629,0.063,0.156,5.2,12.8,8.7,5.8,1.5,3,19,11.1,0.1,0.2,0.2,0.072,-4.6,1.1,-3.5,-0.1,162,19,32,0.594,1,2,0.5,18,30,0.6,0.609,4,5,0.8,8,17,25,7,5,5,8,24,43,6.6675,"6-9",233,"Canada","Undrafted","Undrafted","Undrafted"
"Goga Bitadze","Goga","Bitadze","C",23,"ORL",38,1,12,1.8,3.3,0.552,0.2,0.7,0.231,1.7,2.6,0.636,0.576,0.6,1.1,0.548,1.6,2,3.6,1,0.4,0.7,0.6,1.7,4.4,"2022-23",17.1,0.582,0.208,0.336,15,18.7,16.8,12.1,1.7,5.3,13.3,15.4,0.8,0.6,1.3,0.141,-0.8,1.1,0.3,0.3,457,69,125,0.552,6,26,0.231,63,99,0.636,0.576,23,42,0.548,61,76,137,39,16,26,22,64,167,5.37752,"7-0",250,"Georgia","2019","1","18"
