"Marital.status","Application.order","Course","Daytime.evening.attendance.","Previous.qualification","Previous.qualification..grade.","Mother.s.qualification","Father.s.qualification","Mother.s.occupation","Father.s.occupation","Admission.grade","Displaced","Educational.special.needs","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","International","Curricular.units.1st.sem..credited.","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..evaluations.","Curricular.units.1st.sem..approved.","Curricular.units.1st.sem..grade.","Curricular.units.1st.sem..without.evaluations.","Curricular.units.2nd.sem..credited.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..evaluations.","Curricular.units.2nd.sem..approved.","Curricular.units.2nd.sem..grade.","Curricular.units.2nd.sem..without.evaluations.","Unemployment.rate","Inflation.rate","GDP","Target"
"Single",5,171,1,"Secondary education",122,19,12,"Personal Services, Security and Safety Workers and Sellers","Unskilled worker",127.3,1,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Dropout"
"Single",5,9070,1,"Secondary education",122,37,37,"Unskilled worker","Unskilled worker",124.8,1,0,0,0,1,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,"Dropout"
"Single",4,9254,1,"Secondary education",119,37,37,"Unskilled worker","Unskilled worker",113.1,1,0,0,0,1,0,22,0,0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",1,9238,1,"Secondary education",138,1,19,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",123,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,"Dropout"
"Single",1,9773,1,"Secondary education",127,19,37,"Unskilled worker","Intermediate Level Technicians and Professions",120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",1,9130,1,"Some higher education",120,4,4,"Intermediate Level Technicians and Professions","Other",120,0,0,1,0,0,0,20,1,2,6,13,3,11.6666666666667,0,1,6,11,3,12,0,12.4,0.5,1.79,"Dropout"
"Single",5,9773,1,"Secondary education",126,3,3,"Other","Other",121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9773,1,"Secondary education",120,1,38,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121.4,0,0,0,0,0,0,20,0,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,"Dropout"
"Single",1,9991,0,"Secondary education",133.1,37,37,"Unskilled worker","Unskilled worker",109.7,0,0,0,1,0,0,29,0,0,5,0,0,0,0,0,5,0,0,0,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9130,1,"Some higher education",129,3,3,"Other","Other",155.3,1,0,0,1,0,0,27,0,0,6,9,5,13,0,5,11,13,10,12.9,0,12.4,0.5,1.79,"Dropout"
"Divorced",1,9500,1,"Secondary education dropout",133.1,1,1,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11,0,13.9,-0.3,0.79,"Dropout"
"Single",3,9147,1,"Secondary education",125,1,38,"Other","Skilled Workers in Industry, Construction and Craftsmen",120.1,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,"Dropout"
"Single",1,171,1,"Secondary education",141,19,19,"Personal Services, Security and Safety Workers and Sellers","Other",135.8,1,0,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",4,9254,1,"Secondary education",118,38,37,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",111.7,1,0,0,1,1,0,18,0,0,6,12,3,11.6666666666667,0,0,6,12,1,12,0,12.4,0.5,1.79,"Dropout"
"Single",3,9147,1,"Secondary education",120,19,19,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.3333333333333,0,0,5,11,3,10.8571428571429,0,10.8,1.4,1.74,"Dropout"
"Single",6,9853,1,"Secondary education",114,19,19,"Unskilled worker","Unskilled worker",110.2,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,"Dropout"
"Single",1,9991,0,"Higher education",140,3,3,"Other","Other",155.7,1,0,0,1,1,0,35,0,0,1,1,0,0,1,0,5,0,0,0,0,10.8,1.4,1.74,"Dropout"
"Single",1,9500,1,"Secondary education",133.1,1,1,"Administrative staff","Other",100.8,0,0,0,1,1,0,24,0,0,7,18,0,0,0,0,7,7,0,0,0,13.9,-0.3,0.79,"Dropout"
"Single",1,9130,1,"Secondary education",133.1,1,1,"Administrative staff","Other",100,0,0,0,1,0,0,26,1,0,6,7,2,12,1,0,6,6,0,0,0,8.9,1.4,3.51,"Dropout"
"Single",1,9085,1,"Some higher education",130,38,38,"Unskilled worker","Unskilled worker",128.8,0,0,0,1,0,0,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,"Dropout"
