FIPS,state,county,low_access_pop,low_access_change,pct_low_access_pop,children_low_access,pct_children_low_access,grocery_stores,grocery_stores_per_1000,snap_stores,snap_stores_per_1000,fastfood,fastfood_per_1000,deaths,population,mortality_rate,votes_dem_2012,votes_dem_2016,total_votes_2012,total_votes_2016,per_dem_2012,per_dem_2016,diff_2016,per_point_diff_2012,per_point_diff_2016
1001,AL,Autauga,17496.69304,-5.056025704,0.320622547,4616.97148,0.084604854,4,0.072208683,42.16666667,0.760911409,36,0.649878148,1540,165675,922.5,6354,5908,23909,24661,0.265757664,0.23956855,12202,-0.460579698,-0.494789343
1003,AL,Baldwin,30561.26443,-13.20489108,0.167674893,7007.972675,0.03844936,29,0.14491957,198.0833333,0.949752992,132,0.659633903,6017,598548,782.4,18329,18409,84988,94090,0.215665741,0.195653098,54371,-0.55823175,-0.577861622
1005,AL,Barbour,6069.523628,6.067799405,0.221055601,1031.927776,0.037583413,5,0.185963477,35.16666667,1.354387316,22,0.818239298,871,80277,917.2,5873,4848,11459,10390,0.512522908,0.466602502,583,0.029147395,-0.056111646
1007,AL,Bibb,969.378841,-7.224695844,0.042303244,232.6426702,0.010152419,5,0.222162979,19.58333333,0.864873618,5,0.222162979,717,67644,988.7,2200,1874,8391,8748,0.262185675,0.214220393,4859,-0.468478131,-0.555441244
1009,AL,Blount,3724.428242,140.5688567,0.064973801,910.686113,0.015887201,6,0.103951905,47.08333333,0.815945746,21,0.363831667,1793,173065,884.8,2961,2150,23980,25384,0.123477898,0.084699023,20658,-0.741451209,-0.813819729
1011,AL,Bullock,4141.900365,1.269364948,0.379503424,616.7153899,0.056506816,2,0.185804534,11.08333333,1.069613331,3,0.2787068,359,32153,989.6,4058,3530,5318,4701,0.763068823,0.750904063,2391,0.528018052,0.508615188
1013,AL,Butler,1304.328756,-0.266928936,0.062268046,264.1401156,0.012609926,3,0.147812377,25.83333333,1.291795846,17,0.837603469,796,60691,978.2,4367,3716,9483,8685,0.460508278,0.427864134,1175,-0.075292629,-0.135290731
1015,AL,Calhoun,27785.98677,-10.08106093,0.234338518,6167.764487,0.05201704,27,0.232927292,135.5833333,1.18298709,103,0.888574485,4292,348188,1055.9,15500,13197,46240,47376,0.335207612,0.278558764,19606,-0.319463668,-0.41383823
1017,AL,Chambers,7131.505717,5.679910836,0.208432141,1595.35385,0.046627323,7,0.205423172,37.5,1.108057796,26,0.763000352,1317,102328,962.5,6853,5763,14562,13778,0.470608433,0.418275512,2040,-0.051023211,-0.148062128
1019,AL,Cherokee,103.5224989,30.36417718,0.00398332,18.74760093,7.21E-04,5,0.192034413,32.33333333,1.256883706,15,0.576103238,1016,77938,992,2126,1524,9761,10503,0.217805553,0.1451014,7285,-0.549943653,-0.693611349
1021,AL,Chilton,1469.89911,0.907628202,0.033680066,337.0499231,0.007722886,6,0.136577815,53.83333333,1.225127633,20,0.455259384,1487,131659,1017.2,3391,2909,17434,18255,0.19450499,0.159353602,12159,-0.603361248,-0.666064092
1023,AL,Choctaw,2702.895199,3.469851514,0.195028155,557.5538692,0.040230455,3,0.22517451,15.33333333,1.18012263,6,0.45034902,536,39837,953.4,3785,3109,7965,7268,0.475204018,0.427765548,993,-0.045825487,-0.136626307
1025,AL,Clarke,5712.926332,12.88893586,0.221148389,1523.27705,0.058966324,5,0.20044097,41,1.680878977,26,1.042293045,856,74638,885.7,6317,5712,13827,12936,0.456859767,0.441558442,1397,-0.082881319,-0.107993197
1027,AL,Clay,642.7409199,-13.46723068,0.046134146,143.2278427,0.010280494,3,0.22136954,13.25,0.982063445,4,0.295159386,544,40560,968.5,1770,1234,6640,6572,0.266566265,0.187766281,3996,-0.456626506,-0.608034084
1029,AL,Cleburne,789.5351429,437.5979499,0.052734113,188.5216706,0.012591616,2,0.132625995,11.41666667,0.764987045,8,0.530503979,602,45118,1041.4,971,684,6302,6532,0.15407807,0.104715248,5054,-0.682005712,-0.773729333
1031,AL,Coffee,10486.08598,-7.979015862,0.209940057,2569.549716,0.051444497,5,0.098214461,45.16666667,0.881713713,34,0.667858335,1487,152797,836,4899,4194,19715,20513,0.248490997,0.204455711,11631,-0.493989348,-0.567006289
1033,AL,Colbert,11095.6663,16.55661203,0.203859526,2607.221979,0.047902219,10,0.183341584,75.75,1.397189022,52,0.953376235,2181,163305,999.7,9160,7296,23374,24626,0.391888423,0.296272233,9422,-0.204115684,-0.382603752
1035,AL,Conecuh,3558.35944,-4.493610993,0.269002074,694.9691778,0.052537736,2,0.157853197,15.66666667,1.263950518,7,0.552486188,515,38209,962.8,3551,3069,7013,6543,0.506345359,0.469050894,344,0.016683302,-0.052575271
1037,AL,Coosa,2828.930334,-0.292974746,0.245162521,500.4463765,0.043369995,1,0.091861106,4,0.378036102,1,0.091861106,407,32590,935.8,2188,1780,5243,5223,0.417318329,0.340800306,1596,-0.160213618,-0.305571511
1039,AL,Covington,3769.122248,13.0462781,0.09980464,783.9709878,0.020759195,6,0.158252888,54.66666667,1.45941232,24,0.633011552,1593,113553,984.5,3155,2379,15415,15818,0.204670775,0.15039828,10843,-0.583392799,-0.685484891
1041,AL,Crenshaw,5278.966487,-1.948776512,0.379617898,1278.332947,0.091926718,3,0.214638334,18.41666667,1.323702053,5,0.357730557,547,41843,1007.5,2048,1663,6411,6252,0.319450944,0.265994882,2848,-0.355326782,-0.455534229
1043,AL,Cullman,5900.270202,-6.276302149,0.073380969,1433.057497,0.017822768,15,0.184526812,81.66666667,0.990247077,53,0.651994735,2899,243982,986,4855,3730,33178,37278,0.146331907,0.100059016,29004,-0.695490988,-0.778046033
1045,AL,Dale,14036.97012,1.372216539,0.27933713,4144.065574,0.082467326,8,0.161668418,52.16666667,1.059738079,34,0.687090777,1483,148899,892.4,5283,4408,18551,18617,0.284782492,0.236772842,9390,-0.421648429,-0.504377719
1047,AL,Dallas,7640.056868,-1.869353577,0.17435091,1941.888555,0.04431512,8,0.191795929,48.08333333,1.201842965,19,0.455515332,1578,124814,1105.6,14599,12826,20936,18730,0.697315629,0.684783769,7042,0.397162782,0.375974373
1049,AL,DeKalb,2679.852662,0,0.037686547,890.0090642,0.012516124,14,0.197002744,82,1.156558533,43,0.605079856,2371,213011,997.5,5235,3682,23842,26086,0.219570506,0.141148509,18097,-0.548653636,-0.693743771
1051,AL,Elmore,15064.36659,0.352141038,0.189959605,3210.949788,0.040489638,10,0.123491856,74.83333333,0.91484411,45,0.555713351,2306,243373,931.2,8940,8436,35440,36905,0.252257336,0.228586912,19183,-0.4876693,-0.519794066
