treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
1,37,11,1,0,1,1,0,0,9930.0458984375
1,22,9,0,1,0,1,0,0,3595.8940429688
1,30,12,1,0,0,0,0,0,24909.44921875
1,27,11,1,0,0,1,0,0,7506.1459960938
1,33,8,1,0,0,1,0,0,289.7898864746
1,22,9,1,0,0,1,0,0,4056.4938964844
1,23,12,1,0,0,0,0,0,0
1,32,11,1,0,0,1,0,0,8472.158203125
1,22,16,1,0,0,0,0,0,2164.0219726563
1,33,12,0,0,1,0,0,0,12418.0703125
1,19,9,1,0,0,1,0,0,8173.908203125
1,21,13,1,0,0,0,0,0,17094.640625
1,18,8,1,0,0,1,0,0,0
1,27,10,1,0,1,1,0,0,18739.9296875
1,17,7,1,0,0,1,0,0,3023.87890625
1,19,10,1,0,0,1,0,0,3228.5029296875
1,27,13,1,0,0,0,0,0,14581.8603515625
1,23,10,1,0,0,1,0,0,7693.3999023438
1,40,12,1,0,0,0,0,0,10804.3203125
1,26,12,1,0,0,0,0,0,10747.349609375
1,23,11,1,0,0,1,0,0,0
1,41,14,0,0,0,0,0,0,5149.5009765625
1,38,9,0,0,0,1,0,0,6408.9501953125
1,24,11,1,0,0,1,0,0,1991.4000244141
1,18,10,1,0,0,1,0,0,11163.169921875
1,29,11,1,0,1,1,0,0,9642.9990234375
1,25,11,1,0,0,1,0,0,9897.048828125
1,27,10,0,1,0,1,0,0,11142.8701171875
1,17,10,1,0,0,1,0,0,16218.0400390625
1,24,11,1,0,0,1,0,0,995.7001953125
1,17,10,1,0,0,1,0,0,0
1,48,4,1,0,0,1,0,0,6551.591796875
1,25,11,1,0,1,1,0,0,1574.4239501953
1,20,12,1,0,0,0,0,0,0
1,25,12,1,0,0,0,0,0,3191.7529296875
1,42,14,1,0,0,0,0,0,20505.9296875
1,25,5,1,0,0,1,0,0,6181.8798828125
1,23,12,1,0,1,0,0,0,5911.55078125
1,46,8,1,0,1,1,0,0,3094.1560058594
1,24,10,1,0,0,1,0,0,0
1,21,12,1,0,0,0,0,0,1254.58203125
1,19,9,0,0,0,1,0,0,13188.830078125
1,17,8,1,0,0,1,0,0,8061.4848632813
1,18,8,0,1,1,1,0,0,2787.9599609375
1,20,11,1,0,0,1,0,0,3972.5400390625
1,25,11,1,0,1,1,0,0,0
1,17,8,1,0,0,1,0,0,0
1,17,9,1,0,0,1,0,0,0
1,25,5,1,0,0,1,0,0,12187.41015625
1,23,12,1,0,0,0,0,0,4843.17578125
1,28,8,1,0,0,1,0,0,0
1,31,11,1,0,1,1,0,0,8087.4868164063
1,18,11,1,0,0,1,0,0,0
1,25,12,1,0,0,0,0,0,2348.9729003906
1,30,11,1,0,1,1,0,0,590.7817993164
1,17,10,1,0,0,1,0,0,0
1,37,9,1,0,0,1,0,0,1067.5059814453
1,41,4,1,0,1,1,0,0,7284.9858398438
1,42,14,1,0,1,0,0,0,13167.51953125
1,22,11,0,0,0,1,0,0,1048.4320068359
1,17,8,1,0,0,1,0,0,0
1,29,8,1,0,0,1,0,0,1923.9379882813
1,35,10,1,0,0,1,0,0,4666.2358398438
1,27,11,1,0,0,1,0,0,549.2984008789
1,29,4,1,0,0,1,0,0,762.9146118164
1,28,9,1,0,0,1,0,0,10694.2900390625
1,27,11,1,0,0,1,0,0,0
1,23,7,0,0,0,1,0,0,0
