address,village,takeup_survey,age,agpop,educ,rice_inc,disaster_prob,male,default,delay,intensive,risk_averse,disaster_yes,network_rate_preintensive,network_rate_presession,network_rate_presimple,knowledge_network,network_onlyone,network_onlytwo,network_twomore,network_yes,pre_takeup_rate,id_fake
beidangxinzhi,beidang,0,47,4,2,100,30,1,1,0,1,0,0,.60000002,1,.39999998,.60000002,0,0,1,1,.63636363,1
beidangxinzhi,beidang,1,59,4,1,100,40,1,1,0,0,0,1,.40000001,.80000001,.40000001,.55000001,0,1,1,1,.63636363,2
beidangxinzhi,beidang,1,45,2,1,100,20,1,1,0,1,0,1,.2,.2,0,.80000001,1,0,0,1,.63636363,3
beidangxinzhi,beidang,1,51,7,1,100,20,1,1,0,0,0,1,.40000001,.40000001,0,.40000001,0,1,1,1,.63636363,4
beidangxinzhi,beidang,1,59,7,0,100,50,0,1,0,0,0,1,.2,.60000002,.40000004,.60000002,1,0,0,1,.63636363,5
beidangxinzhi,beidang,1,49,4,2,100,20,1,1,0,1,0,1,.2,1,.80000001,.52000004,1,0,0,1,.63636363,6
beidangxinzhi,beidang,0,59,5,1,100,50,1,1,0,1,0,0,.60000002,1,.39999998,.60000002,0,0,1,1,.63636363,7
beidangxinzhi,beidang,0,53,5,0,30,20,1,1,0,0,0,1,.2,.40000001,.2,.70000005,1,0,0,1,.63636363,8
beidangxinzhi,beidang,1,63,3,2,100,10,1,1,0,1,.19999999,1,.2,.80000001,.60000002,.40000001,1,0,0,1,.63636363,9
beidangxinzhi,beidang,0,59,7,2,100,50,1,1,0,0,0,1,.2,.60000002,.40000004,.60000002,1,0,0,1,.63636363,10
beidangxinzhi,beidang,1,36,5,2,100,50,1,1,0,0,0,1,.40000001,.60000002,.20000002,.66666669,0,1,1,1,.63636363,11
beilian2,beilian,0,34,3,1,100,30,1,1,1,1,0,0,.2,.2,0,.80000001,1,0,0,1,.071428575,12
beilian2,beilian,0,72,10,1,100,40,1,1,1,0,0,1,0,0,0,,0,0,0,0,.071428575,13
beilian2,beilian,0,48,3,,100,50,1,1,0,0,0,0,,,,,,,,,.071428575,14
beilian2,beilian,0,67,2,1,100,80,1,1,0,0,0,1,0,.40000001,.40000001,.60000002,0,0,0,0,.071428575,15
beilian2,beilian,0,64,3,0,100,50,1,1,1,0,0,1,0,0,0,,0,0,0,0,.071428575,16
beilian2,beilian,0,42,4,2,40,50,1,1,0,1,0,0,.2,.2,0,1,1,0,0,1,.071428575,17
beilian2,beilian,0,33,3,1,,20,1,1,0,1,0,0,.2,.2,0,1,1,0,0,1,.071428575,18
beilian2,beilian,0,58,6,2,100,50,1,1,0,0,0,1,0,.5,.5,1,0,0,0,0,.071428575,19
beilian2,beilian,1,53,5,1,100,0,1,1,1,0,0,1,.2,.80000001,.60000002,.60000002,1,0,0,1,.071428575,20
beilian2,beilian,0,37,3,1,100,20,1,1,0,0,0,0,,,,,,,,,.071428575,21
beilian2,beilian,0,52,2,0,100,50,1,1,0,0,0,1,0,.40000001,.40000001,.80000001,0,0,0,0,.071428575,22
beilian2,beilian,0,48,4,1,90,40,1,1,0,0,0,1,0,.80000001,.80000001,.45000002,0,0,0,0,.071428575,23
beilian2,beilian,0,59,4,1,100,30,1,1,1,0,.80000001,1,.2,.80000001,.60000002,.64999998,1,0,0,1,.071428575,24
beilian2,beilian,0,73,2,1,40,20,1,1,0,0,0,1,.40000001,.80000001,.40000001,.75,0,1,1,1,.071428575,25
beilian2,beilian,0,42,4,1,100,40,1,1,0,0,0,0,.40000001,.40000001,0,.89999998,0,1,1,1,.071428575,26
beilian2,beilian,1,44,3,1,40,20,1,1,1,1,0,0,0,.2,.2,.2,0,0,0,0,.071428575,27
beilian2,beilian,1,63,5,1,100,100,1,1,1,0,0,1,.2,.40000001,.2,.30000001,1,0,0,1,.071428575,28
