"id","age","female","performance","retreat","sales"
1,44,0,91.69,FALSE,2227589.95615299
2,50,1,69.55,TRUE,1954302.63062331
3,46,0,47.98,TRUE,1531698.4216582
4,44,1,98.37,FALSE,2211417.73569619
5,47,0,66.1,TRUE,1825702.33942541
6,38,1,64.24,TRUE,1750706.37260175
7,50,1,84.5,FALSE,2192988.36418631
8,49,1,84.11,FALSE,2057114.29065422
9,41,1,84.36,FALSE,2200783.49481148
10,55,1,88.44,FALSE,2215192.80275737
11,44,1,83.12,FALSE,2007301.79772288
12,48,0,89.63,FALSE,2137801.92548921
13,44,0,87.11,FALSE,2056495.96732096
14,49,1,73.95,TRUE,1946314.79681
15,49,0,51.83,TRUE,1515802.46759002
16,52,0,77.21,TRUE,1971699.41366582
17,43,1,83.61,FALSE,2155792.22291506
18,45,0,88.68,FALSE,2155810.21712515
19,50,1,87.83,FALSE,2171081.72371629
20,46,1,72.57,TRUE,2051246.20593646
21,58,0,83.32,FALSE,2091991.23820038
22,44,1,82.58,FALSE,2061115.28121233
23,40,1,65.37,TRUE,1832605.23922583
24,54,0,86.08,FALSE,2165515.46809194
25,60,0,93.72,FALSE,2210683.7124175
26,46,1,62.52,TRUE,1675791.23098862
27,44,1,89.9,FALSE,2190385.595569
28,41,1,75.48,TRUE,2099504.61889064
29,45,1,88.96,FALSE,2162376.84541075
30,34,0,47.42,TRUE,1557304.94151985
31,47,0,83.1,FALSE,2110998.17772877
32,51,0,86.28,FALSE,2114635.14751244
33,50,0,83.47,FALSE,2172897.24140777
34,45,1,95,FALSE,2204797.77613009
35,55,1,91.32,FALSE,2099786.19971359
36,42,1,97.81,FALSE,2199795.5641154
37,62,1,92.86,FALSE,2184903.65815367
38,49,0,80.33,FALSE,2014308.34646572
39,41,1,82.96,FALSE,1919421.30804654
40,46,0,90.36,FALSE,2054219.40404035
41,44,1,88.05,FALSE,2185497.96741523
42,45,1,80.11,FALSE,2025428.06406977
43,54,1,89.59,FALSE,2199164.46448735
44,43,1,89.31,FALSE,2274312.45734782
45,36,0,90.74,FALSE,2158689.55433297
46,43,0,92.1,FALSE,2201126.44461911
47,50,0,83.79,FALSE,2120792.73119346
48,39,1,83.41,FALSE,2041326.38131485
49,46,0,96.08,FALSE,2173900.87558135
50,49,1,84.6,FALSE,2025662.42688236
51,53,1,90.76,FALSE,2176591.05875636
52,42,0,89.81,FALSE,2207365.22804106
53,50,1,78.13,TRUE,1988803.57729697
54,50,1,62.82,TRUE,1754937.949314
55,43,0,29.04,TRUE,1389454.56149028
56,51,0,87.07,FALSE,2155419.60928277
57,52,0,91.23,FALSE,2155472.02348767
58,39,1,75.84,TRUE,2013036.49744846
59,46,0,85.77,FALSE,2129327.6259746
60,54,0,75.33,TRUE,1983883.2229625
61,48,1,91.05,FALSE,2207994.76008451
62,46,1,68.23,TRUE,1891998.62311944
63,42,1,75.06,TRUE,1979292.42232887
64,46,0,82.8,FALSE,2078551.63917855
65,51,0,81.46,FALSE,2047102.59668275
66,41,1,60.62,TRUE,1720585.7395004
67,35,1,77.97,TRUE,2026312.75988486
68,50,1,93.27,FALSE,2279704.03383183
69,49,0,80.69,FALSE,1848498.60166104
70,41,0,78.39,TRUE,2064498.15020249
71,46,0,78.26,TRUE,2062608.97806546
72,54,1,93.12,FALSE,2239878.71288659
73,41,0,78.32,TRUE,2060176.75161356
74,51,0,55.05,TRUE,1703632.97043493
75,43,1,59.31,TRUE,1702658.75807961
76,55,0,63.15,TRUE,1815900.25499442
77,50,0,82.02,FALSE,2159678.24943301
78,47,0,78.63,TRUE,2029005.41078986
79,43,0,91.58,FALSE,2178820.16903747
80,47,0,76.18,TRUE,2057058.51190491
81,47,0,70.03,TRUE,1882717.93644544
82,30,1,27.03,TRUE,1368299.00008466
83,41,1,50.56,TRUE,1593973.09301379
84,55,1,83.39,FALSE,2103261.37576931
85,49,1,91.01,FALSE,2133414.19163167
86,39,1,51.43,TRUE,1551496.84189936
87,46,0,66.44,TRUE,1866204.32735745
88,29,0,83.09,FALSE,2022816.34724152
89,49,1,73.92,TRUE,1945934.54351509
90,49,0,83.49,FALSE,2189497.92459415
91,38,1,71.89,TRUE,1948288.85755418
92,42,0,88.51,FALSE,2128128.5660286
93,58,0,71.87,TRUE,1991982.14085196
94,41,1,67.82,TRUE,1954076.8485752
95,56,0,76.16,TRUE,2072189.3940709
96,40,1,78.7,TRUE,1997648.91365515
97,44,1,85.5,FALSE,2069183.35008404
98,50,1,90.77,FALSE,2203508.27039698
99,37,0,55.08,TRUE,1608476.42633719
100,50,0,74.77,TRUE,1960776.51930483
101,50,0,55.6,TRUE,1653593.34153298
102,54,1,92.03,FALSE,2281027.26227414
103,44,0,71.85,TRUE,1941090.61705321
104,30,1,59.96,TRUE,1728616.85751264
105,44,1,75.68,TRUE,2042170.84012555
106,51,0,78.62,TRUE,2068291.9938816
107,50,0,87.17,FALSE,2108584.47165429
108,34,1,57.87,TRUE,1698492.61406977
109,41,1,73.65,TRUE,1976324.80202917
110,51,0,85.26,FALSE,2073197.85132383
111,45,1,94.2,FALSE,2260203.45187012
112,50,0,85.33,FALSE,2173705.09202536
113,43,1,70.65,TRUE,2006087.70932342
114,38,0,50.18,TRUE,1625071.41569808
