"customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"5448-VWNAM","Female",0,"No","Yes",19,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Mailed check",75.9,1375.6,0
"4183-MYFRB","Female",0,"No","No",21,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",90.05,1862.9,0
"0334-GDDSO","Male",1,"No","No",3,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",81.35,233.7,1
"1095-JUDTC","Female",1,"No","No",47,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",95.05,4504.55,1
"6650-BWFRT","Female",0,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",117.15,8529.5,0
"9659-ZTWSM","Male",1,"Yes","No",66,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",107.35,7051.95,0
"8138-EALND","Male",0,"No","No",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.75,311.6,0
"7481-ATQQS","Female",1,"No","No",49,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",90.85,4515.85,1
"8731-WBBMB","Female",0,"Yes","No",26,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",81.9,2078.55,0
"3597-YASZG","Female",1,"Yes","No",70,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",104.45,7349.35,0
"7508-DQAKK","Female",0,"No","No",64,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",86.4,5442.05,0
"0193-ESZXP","Female",1,"Yes","No",58,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",105.5,6205.5,1
"2959-EEXWB","Female",0,"Yes","Yes",45,"No","No phone service","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",50.9,2333.85,0
"5439-WIKXB","Male",1,"Yes","No",41,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.55,3851.45,0
