data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
CPS1,0,45,11,0,0,1,1,21516.67,25243.551,25564.67
CPS1,0,21,14,0,0,0,0,3175.9709,5852.5649,13496.08
CPS1,0,38,12,0,0,1,0,23039.02,25130.76,25564.67
CPS1,0,48,6,0,0,1,1,24994.369,25243.551,25564.67
CPS1,0,18,8,0,0,1,1,1669.295,10727.61,9860.8691
CPS1,0,22,11,0,0,1,1,16365.76,18449.27,25564.67
CPS1,0,48,10,0,0,1,1,16804.631,16354.6,18059.301
CPS1,0,18,11,0,0,0,1,1144.212,3620.032,15739.27
CPS1,0,48,9,0,0,1,1,25862.32,25243.551,25564.67
CPS1,0,45,12,0,0,1,0,25862.32,0,3924.842
CPS1,0,34,14,0,0,1,0,25862.32,23746.84,25564.67
CPS1,0,16,10,0,0,0,1,1026.656,1224.5811,6847.7852
CPS1,0,53,10,0,0,1,1,25862.32,25243.551,25564.67
CPS1,0,19,12,0,0,0,0,867.9552,4386.29,8777.6963
CPS1,0,27,12,0,0,1,0,25862.32,19047.24,19214.881
CPS1,0,32,10,0,0,1,1,20427.32,23374.449,9179.6367
CPS1,0,27,12,0,0,1,0,20983.75,14822.08,25564.67
CPS1,0,46,7,0,0,1,1,19171.43,1317.677,0
CPS1,0,24,13,0,0,0,0,20830.92,25243.551,23903.711
CPS1,0,22,13,0,0,0,0,11036.55,10351.65,6556.6729
CPS1,0,49,10,0,0,1,1,391.85339,0,0
CPS1,0,17,10,0,0,0,1,0,0,4755.3242
CPS1,0,29,14,0,0,1,0,21499.029,22586.711,20923.131
CPS1,0,28,16,0,0,1,0,16500.949,0,10267.24
CPS1,0,46,12,0,0,1,0,24814.109,24967.84,19339.01
CPS1,0,26,17,1,0,1,0,0,0,4753.8462
CPS1,0,49,12,0,0,0,0,25862.32,25243.551,25564.67
CPS1,0,51,10,0,0,1,1,25862.32,25243.551,25564.67
CPS1,0,51,10,0,0,1,1,22923.42,21725.561,10348.52
CPS1,0,27,11,0,0,1,1,17022.109,18123.439,18490.789
CPS1,0,23,13,0,0,0,0,19098.93,21014.811,0
CPS1,0,27,10,0,0,1,1,7952.6641,9755.4678,13105.96
CPS1,0,38,10,0,0,1,1,25862.32,25243.551,25564.67
CPS1,0,32,8,0,0,0,1,7186.5908,6149.7578,8414.1748
CPS1,0,34,14,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,26,18,0,0,1,0,20971.99,21883.109,25564.67
CPS1,0,21,13,0,0,0,0,8638.4072,8176.4028,6753.21
CPS1,0,39,8,0,1,0,1,13499.35,16383.24,16461.869
CPS1,0,17,8,1,0,0,1,0,451.16129,0
CPS1,0,22,11,0,1,1,1,17466.859,17779.689,14438.87
CPS1,0,21,12,0,1,0,0,0,0,0
CPS1,0,44,9,0,1,1,1,15390.04,14886.53,12634.56
CPS1,0,26,10,0,1,1,1,17125.949,17446.689,13518.24
CPS1,0,54,4,0,1,1,1,13350.44,13180.35,13741.38
CPS1,0,42,12,0,1,1,0,21663.609,22013.811,19941.92
CPS1,0,25,12,0,0,0,0,8105.4868,11869.84,6170.9858
CPS1,0,20,13,0,0,0,0,317.40121,214.8387,0
CPS1,0,44,11,0,0,1,1,25862.32,25243.551,25564.67
CPS1,0,33,12,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,40,12,0,0,1,0,25862.32,14494.45,25564.67
CPS1,0,25,16,0,0,1,0,21048.4,22916.131,23574.17
CPS1,0,33,12,0,0,0,0,12694.09,13046.08,11264.71
CPS1,0,52,13,1,0,0,0,19827.779,19668.48,18437.59
CPS1,0,54,14,0,0,1,0,24686.76,25243.551,25564.67
CPS1,0,27,15,0,0,0,0,19200.811,19303.26,18207.07
CPS1,0,51,10,0,0,1,1,7488.3179,7888.1611,6148.8198
CPS1,0,42,12,0,0,1,0,6502.8071,15241.02,15468.84
CPS1,0,50,10,0,0,1,1,25862.32,25243.551,25564.67
CPS1,0,47,10,0,0,1,1,15282.28,13964.52,9043.6865
CPS1,0,28,12,0,0,1,0,24224.369,11019.44,20055.711
CPS1,0,33,12,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,33,13,0,0,1,0,21146.369,18732.15,22254.561
CPS1,0,55,16,0,0,1,0,25862.32,24627.68,25564.67
CPS1,0,38,12,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,39,16,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,27,17,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,16,9,0,0,0,1,378.13849,467.2742,4306.0952
CPS1,0,35,12,0,0,1,0,6645.833,3331.79,0
CPS1,0,35,12,0,0,1,0,22421.85,21093.58,23590.43
CPS1,0,45,12,0,0,1,0,25862.32,25243.551,0
CPS1,0,51,11,0,0,1,1,18270.16,21637.84,20267.02
CPS1,0,27,16,0,0,0,0,11316.73,1761.677,5532.6079
CPS1,0,28,14,0,0,1,0,0,0,18719.84
CPS1,0,35,18,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,39,10,0,0,1,1,18534.66,0,21496.49
CPS1,0,33,12,0,0,0,0,25862.32,25243.551,25564.67
CPS1,0,52,16,0,0,1,0,25862.32,25241.76,12429.16
CPS1,0,22,13,0,0,0,0,5023.5601,6819.3389,13943.83
CPS1,0,25,12,0,0,1,0,20070.73,11117.9,19003.561
CPS1,0,28,16,0,0,1,0,25013.961,22710.24,0
CPS1,0,27,16,0,0,1,0,16888.881,16200.63,17295.311
CPS1,0,30,13,0,0,0,0,8362.1514,7990.21,8590.0254
CPS1,0,28,15,0,0,0,0,9672.9004,8085.0972,14348.73
CPS1,0,24,12,0,0,1,0,19083.26,18270.24,22261.949
CPS1,0,29,11,1,0,0,1,14743.48,14954.56,13714.78
CPS1,0,49,7,1,0,0,1,16444.131,16028.76,15965.36
CPS1,0,22,12,0,0,1,0,13352.4,14358.39,17051.49
CPS1,0,30,16,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,45,12,0,0,1,0,24185.189,25243.551,0
CPS1,0,44,12,0,0,1,0,24669.131,24418.211,25564.67
CPS1,0,21,12,0,0,0,0,11465.63,1953.2419,25564.67
CPS1,0,26,13,0,0,1,0,11661.56,4142.8062,18650.391
CPS1,0,25,16,0,0,1,0,18822.68,20112.48,20986.67
CPS1,0,45,8,0,0,1,1,16883,15316.21,17010.109
CPS1,0,19,9,0,0,0,1,3311.1609,10525.31,1693.475
CPS1,0,55,9,0,0,1,1,12609.84,12349.65,12201.59
CPS1,0,22,12,0,0,1,0,12423.71,13035.34,17482.98
CPS1,0,37,18,0,0,1,0,0,16735.939,25564.67
CPS1,0,38,12,0,0,1,0,25862.32,25243.551,25298.68
CPS1,0,29,13,0,0,1,0,17962.561,11590.55,2639.22
CPS1,0,43,8,0,0,1,1,21044.48,25243.551,1301.877
CPS1,0,51,10,0,0,1,1,25862.32,19817.08,4.4331799
CPS1,0,25,14,0,0,1,0,11769.32,11624.56,13903.93
CPS1,0,52,12,0,0,1,0,20776.07,20808.92,10394.33
CPS1,0,26,14,0,0,1,0,22886.199,24523.84,25564.67
CPS1,0,37,18,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,36,12,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,27,14,0,0,1,0,6395.0469,18513.73,21258.57
CPS1,0,21,11,0,0,1,1,20817.211,25243.551,25564.67
CPS1,0,44,12,0,0,1,0,22686.35,0,19081.881
CPS1,0,49,17,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,32,0,0,0,0,1,4559.2139,3976.3059,7246.771
CPS1,0,23,12,0,0,1,0,16593.029,17622.15,22872.25
CPS1,0,46,12,0,0,1,0,18636.551,18214.74,20485.721
CPS1,0,17,10,0,0,0,1,0,1536.097,19808.92
CPS1,0,26,12,0,0,1,0,19067.58,24849.68,22545.67
CPS1,0,27,12,0,0,1,0,19637.73,8178.1938,25564.67
CPS1,0,30,15,0,0,1,0,23871.711,25243.551,25564.67
CPS1,0,23,12,0,0,0,0,23826.641,24942.77,25523.289
CPS1,0,22,12,0,0,1,0,13540.49,21766.74,25564.67
CPS1,0,30,18,0,0,1,0,23127.189,23580.34,25564.67
CPS1,0,32,14,0,0,1,0,20145.18,15941.03,25564.67
CPS1,0,27,14,0,0,0,0,15576.17,24706.449,25564.67
CPS1,0,18,12,0,0,0,0,4729.6699,3328.21,12602.05
CPS1,0,33,18,0,0,0,0,0,0,25564.67
CPS1,0,22,11,0,0,0,1,5325.2871,1061.661,0
CPS1,0,23,16,0,0,0,0,2358.957,0,3270.209
CPS1,0,51,10,0,0,1,1,19030.359,17532.631,0
CPS1,0,21,15,0,0,0,0,2470.635,5116.7422,10890.84
CPS1,0,18,12,0,0,0,0,9065.5273,9338.3232,7972.335
CPS1,0,53,10,0,0,1,1,0,0,0
CPS1,0,21,12,0,0,0,0,4055.6819,1867.306,0
CPS1,0,32,16,0,0,1,0,22525.689,22712.029,25564.67
CPS1,0,41,12,0,0,1,0,25862.32,24745.84,25564.67
CPS1,0,48,12,0,0,0,0,25862.32,25243.551,25564.67
CPS1,0,25,18,0,0,0,0,2351.1201,211.2581,25564.67
CPS1,0,23,16,0,0,0,0,913.01831,8675.9033,14265.97
CPS1,0,30,12,0,0,1,0,0,0,0
CPS1,0,22,12,0,0,1,0,1806.444,7114.7422,0
CPS1,0,44,10,0,0,1,1,5940.4971,2739.1941,2167.825
CPS1,0,17,11,0,0,0,1,2447.124,3267.3391,7942.7798
CPS1,0,23,12,0,0,0,0,331.11609,0,594.04608
CPS1,0,47,8,0,0,1,1,25168.74,22651.16,24401.699
CPS1,0,54,12,0,0,1,0,0,0,0
CPS1,0,49,8,0,0,1,1,11408.81,3709.5481,19136.561
CPS1,0,36,18,0,0,1,0,23742.4,25243.551,25564.67
CPS1,0,33,14,0,0,1,0,24951.26,23277.77,25564.67
CPS1,0,43,15,0,0,1,0,19386.949,25207.74,22579.66
CPS1,0,37,10,0,0,0,1,17235.67,18397.35,0
CPS1,0,48,12,0,0,0,0,16536.211,16605.24,16713.09
CPS1,0,54,12,0,0,0,0,0,0,0
CPS1,0,28,16,0,0,0,0,92.085541,0,626.55609
CPS1,0,35,3,0,0,1,1,19620.1,20361.34,15347.67
CPS1,0,55,12,0,0,1,0,14696.46,3134.855,0
CPS1,0,53,7,0,0,1,1,22308.211,21521.471,10159.37
CPS1,0,25,12,0,0,1,0,19888.52,17756.42,14422.61
CPS1,0,30,8,0,0,1,1,18691.41,15543.58,22984.561
CPS1,0,44,5,0,0,0,1,12764.62,9442.1611,6224.1841
CPS1,0,44,6,0,0,1,1,25862.32,15217.74,25564.67
CPS1,0,20,10,0,0,0,1,3814.6919,5234.9028,5021.3149
CPS1,0,49,9,0,0,1,1,17147.5,12747.1,12683.33
CPS1,0,55,8,0,0,1,1,5619.1768,5449.7422,23559.391
CPS1,0,51,16,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,24,16,0,0,0,0,9692.4932,16012.65,7326.5679
CPS1,0,54,10,0,0,1,1,25055.1,25243.551,22154.08
CPS1,0,32,16,1,0,0,0,17135.75,1031.226,0
CPS1,0,19,4,0,1,1,1,2298.22,1786.7419,11607.54
CPS1,0,36,18,0,0,0,0,0,0,0
CPS1,0,55,10,0,0,1,1,0,0,0
CPS1,0,25,12,0,0,1,0,8679.5518,17666.9,17465.25
CPS1,0,26,18,0,0,1,0,0,8414.5156,22867.82
CPS1,0,19,13,0,0,0,0,5060.7861,5182.9839,16382.08
CPS1,0,52,11,0,0,1,1,25862.32,25243.551,23290.449
CPS1,0,19,12,0,0,0,0,4335.8569,4687.0649,21407.82
CPS1,0,17,11,0,0,0,1,43.10387,0,14911.74
CPS1,0,23,10,0,0,1,1,10595.71,1462.694,11861.71
CPS1,0,44,12,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,28,12,0,0,1,0,13095.74,4998.5811,9376.1748
CPS1,0,49,8,0,0,1,1,17911.619,23684.18,9464.8389
CPS1,0,54,10,0,0,1,1,14522.09,8738.5654,8486.584
CPS1,0,22,11,0,0,0,1,5656.4028,0,3895.2871
CPS1,0,33,13,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,40,12,0,0,0,0,20468.461,6205.2578,22680.15
CPS1,0,47,12,0,0,1,0,25862.32,20522.471,24505.141
CPS1,0,21,12,0,0,0,0,9792.415,2169.8711,14998.92
CPS1,0,17,10,0,0,0,1,0,0,1384.63
CPS1,0,16,9,0,0,0,1,0,1346.323,6705.9229
CPS1,0,40,12,0,0,1,0,15435.1,12927.92,13061.63
CPS1,0,36,12,0,0,1,0,25241.23,25243.551,25564.67
CPS1,0,51,12,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,46,9,0,0,1,1,25062.939,25166.561,25097.711
CPS1,0,33,18,0,0,1,0,23421.08,25243.551,18505.57
CPS1,0,28,13,0,0,1,0,24771.01,21333.48,14323.6
CPS1,0,27,11,0,0,1,1,14267.38,12829.45,18693.24
CPS1,0,33,12,0,0,0,0,25862.32,25243.551,21944.24
CPS1,0,26,12,0,0,1,0,16822.26,19978.211,20015.811
CPS1,0,24,12,0,0,1,0,16103.21,8922.9678,16470.74
CPS1,0,28,8,0,0,1,1,16450,18300.68,23494.369
CPS1,0,36,12,0,0,1,0,23912.85,23274.189,25378.48
CPS1,0,42,12,0,0,1,0,21473.561,22060.35,23426.4
CPS1,0,16,10,0,0,0,1,0,0,1399.407
CPS1,0,53,14,0,0,1,0,22995.91,16304.47,0
CPS1,0,52,10,0,0,1,1,17329.711,16193.47,20247.811
CPS1,0,22,12,0,0,0,0,0,0,0
CPS1,0,55,14,0,0,1,0,25862.32,25243.551,25564.67
CPS1,0,26,14,0,0,1,0,9927.6055,13396.98,10757.85
CPS1,0,38,12,0,0,1,0,2400.1021,0,0
