,user_id,signup_month,month,spend,treatment
0,0,0,1,500,False
1,0,0,2,483,False
2,0,0,3,478,False
3,0,0,4,470,False
4,0,0,5,448,False
5,0,0,6,435,False
6,0,0,7,471,False
7,0,0,8,412,False
8,0,0,9,432,False
9,0,0,10,427,False
10,0,0,11,401,False
11,0,0,12,387,False
12,1,6,1,499,True
13,1,6,2,502,True
14,1,6,3,494,True
15,1,6,4,458,True
16,1,6,5,460,True
17,1,6,6,441,True
18,1,6,7,539,True
19,1,6,8,527,True
20,1,6,9,505,True
21,1,6,10,511,True
22,1,6,11,499,True
23,1,6,12,470,True
24,2,6,1,486,True
25,2,6,2,464,True
26,2,6,3,443,True
27,2,6,4,476,True
28,2,6,5,426,True
29,2,6,6,470,True
30,2,6,7,534,True
31,2,6,8,504,True
32,2,6,9,561,True
33,2,6,10,510,True
34,2,6,11,471,True
35,2,6,12,440,True
36,3,6,1,504,True
37,3,6,2,475,True
38,3,6,3,457,True
39,3,6,4,495,True
40,3,6,5,442,True
41,3,6,6,447,True
42,3,6,7,529,True
43,3,6,8,513,True
44,3,6,9,533,True
45,3,6,10,491,True
46,3,6,11,510,True
47,3,6,12,463,True
48,4,1,1,514,True
49,4,1,2,546,True
50,4,1,3,548,True
51,4,1,4,552,True
52,4,1,5,531,True
53,4,1,6,527,True
54,4,1,7,515,True
55,4,1,8,534,True
56,4,1,9,507,True
57,4,1,10,553,True
58,4,1,11,506,True
59,4,1,12,478,True
60,5,0,1,485,False
61,5,0,2,475,False
62,5,0,3,472,False
63,5,0,4,479,False
64,5,0,5,451,False
65,5,0,6,464,False
66,5,0,7,439,False
67,5,0,8,471,False
68,5,0,9,401,False
69,5,0,10,417,False
70,5,0,11,411,False
71,5,0,12,433,False
72,6,3,1,520,True
73,6,3,2,503,True
74,6,3,3,477,True
75,6,3,4,549,True
76,6,3,5,525,True
77,6,3,6,554,True
78,6,3,7,513,True
79,6,3,8,463,True
80,6,3,9,519,True
81,6,3,10,516,True
82,6,3,11,510,True
83,6,3,12,512,True
84,7,0,1,503,False
85,7,0,2,510,False
86,7,0,3,489,False
87,7,0,4,452,False
88,7,0,5,435,False
89,7,0,6,406,False
90,7,0,7,435,False
91,7,0,8,376,False
92,7,0,9,395,False
93,7,0,10,394,False
94,7,0,11,374,False
95,7,0,12,418,False
96,8,3,1,476,True
97,8,3,2,496,True
98,8,3,3,468,True
99,8,3,4,522,True
100,8,3,5,559,True
101,8,3,6,534,True
102,8,3,7,537,True
103,8,3,8,498,True
104,8,3,9,504,True
105,8,3,10,515,True
106,8,3,11,522,True
107,8,3,12,482,True
108,9,8,1,493,True
109,9,8,2,444,True
110,9,8,3,450,True
111,9,8,4,456,True
112,9,8,5,448,True
113,9,8,6,422,True
114,9,8,7,417,True
115,9,8,8,417,True
116,9,8,9,504,True
117,9,8,10,463,True
118,9,8,11,459,True
119,9,8,12,475,True
120,10,0,1,480,False
121,10,0,2,454,False
122,10,0,3,515,False
123,10,0,4,452,False
124,10,0,5,473,False
125,10,0,6,424,False
126,10,0,7,474,False
127,10,0,8,450,False
128,10,0,9,379,False
129,10,0,10,401,False
130,10,0,11,362,False
131,10,0,12,370,False
132,11,4,1,474,True
133,11,4,2,463,True
134,11,4,3,491,True
135,11,4,4,427,True
136,11,4,5,532,True
137,11,4,6,541,True
138,11,4,7,534,True
139,11,4,8,503,True
140,11,4,9,507,True
141,11,4,10,523,True
142,11,4,11,523,True
143,11,4,12,456,True
144,12,1,1,492,True
145,12,1,2,583,True
146,12,1,3,560,True
147,12,1,4,516,True
148,12,1,5,532,True
149,12,1,6,562,True
150,12,1,7,542,True
151,12,1,8,568,True
152,12,1,9,510,True
153,12,1,10,462,True
154,12,1,11,517,True
155,12,1,12,477,True
156,13,0,1,461,False
157,13,0,2,540,False
158,13,0,3,486,False
159,13,0,4,464,False
160,13,0,5,465,False
161,13,0,6,453,False
162,13,0,7,463,False
163,13,0,8,459,False
164,13,0,9,405,False
165,13,0,10,410,False
166,13,0,11,383,False
167,13,0,12,378,False
168,14,1,1,497,True
169,14,1,2,593,True
170,14,1,3,582,True
171,14,1,4,533,True
172,14,1,5,576,True
173,14,1,6,531,True
174,14,1,7,525,True
175,14,1,8,512,True
176,14,1,9,484,True
177,14,1,10,517,True
178,14,1,11,493,True
179,14,1,12,503,True
180,15,2,1,470,True
181,15,2,2,486,True
182,15,2,3,590,True
183,15,2,4,570,True
184,15,2,5,576,True
185,15,2,6,583,True
186,15,2,7,541,True
187,15,2,8,555,True
188,15,2,9,474,True
189,15,2,10,479,True
190,15,2,11,491,True
191,15,2,12,525,True
192,16,1,1,468,True
193,16,1,2,596,True
194,16,1,3,564,True
195,16,1,4,522,True
196,16,1,5,532,True
197,16,1,6,521,True
198,16,1,7,530,True
199,16,1,8,527,True
200,16,1,9,499,True
201,16,1,10,486,True
202,16,1,11,457,True
203,16,1,12,505,True
204,17,7,1,468,True
205,17,7,2,443,True
206,17,7,3,444,True
207,17,7,4,501,True
208,17,7,5,442,True
209,17,7,6,443,True
210,17,7,7,467,True
211,17,7,8,509,True
212,17,7,9,485,True
213,17,7,10,504,True
214,17,7,11,466,True
215,17,7,12,445,True
216,18,0,1,534,False
217,18,0,2,498,False
218,18,0,3,472,False
219,18,0,4,485,False
220,18,0,5,485,False
221,18,0,6,408,False
222,18,0,7,431,False
223,18,0,8,431,False
224,18,0,9,422,False
225,18,0,10,409,False
226,18,0,11,378,False
227,18,0,12,340,False
228,19,0,1,527,False
229,19,0,2,473,False
230,19,0,3,480,False
231,19,0,4,432,False
232,19,0,5,423,False
233,19,0,6,430,False
234,19,0,7,445,False
235,19,0,8,458,False
236,19,0,9,387,False
237,19,0,10,397,False
238,19,0,11,393,False
239,19,0,12,391,False
240,20,0,1,519,False
241,20,0,2,497,False
242,20,0,3,472,False
243,20,0,4,464,False
244,20,0,5,471,False
245,20,0,6,470,False
246,20,0,7,466,False
247,20,0,8,445,False
248,20,0,9,404,False
249,20,0,10,400,False
250,20,0,11,397,False
251,20,0,12,322,False
252,21,0,1,460,False
253,21,0,2,500,False
254,21,0,3,465,False
255,21,0,4,432,False
256,21,0,5,431,False
257,21,0,6,418,False
258,21,0,7,427,False
259,21,0,8,445,False
260,21,0,9,393,False
261,21,0,10,468,False
262,21,0,11,410,False
263,21,0,12,388,False
264,22,0,1,466,False
265,22,0,2,502,False
266,22,0,3,459,False
267,22,0,4,462,False
268,22,0,5,451,False
269,22,0,6,434,False
270,22,0,7,434,False
271,22,0,8,439,False
272,22,0,9,431,False
273,22,0,10,460,False
274,22,0,11,412,False
275,22,0,12,356,False
276,23,0,1,512,False
277,23,0,2,451,False
278,23,0,3,398,False
279,23,0,4,471,False
280,23,0,5,459,False
281,23,0,6,446,False
282,23,0,7,414,False
283,23,0,8,371,False
284,23,0,9,402,False
285,23,0,10,383,False
286,23,0,11,395,False
287,23,0,12,375,False
288,24,5,1,498,True
289,24,5,2,470,True
290,24,5,3,473,True
