"id","female","city","age","logins","mandalorian","unsubscribe"
1,1,1,53,7,0,0
2,1,1,48,10,1,0
3,0,1,45,6,1,1
4,1,1,51,10,1,1
5,1,1,45,8,0,0
6,1,0,40,0,1,1
7,0,1,55,5,0,0
8,1,1,43,1,0,0
9,0,1,63,3,1,0
10,1,1,53,9,1,0
11,0,1,52,0,1,1
12,0,1,48,0,0,1
13,1,1,39,10,1,0
14,1,0,44,4,0,0
15,0,1,52,9,0,0
16,0,1,40,2,1,0
17,1,1,60,2,0,1
18,1,1,49,2,1,0
19,1,1,49,1,1,0
20,0,1,40,3,1,0
21,0,1,56,4,1,1
22,0,1,46,1,0,1
23,0,1,43,10,1,1
24,0,1,40,7,1,1
25,1,1,30,9,1,0
26,1,1,54,3,1,0
27,0,1,40,8,1,0
28,0,1,37,2,0,0
29,0,1,36,5,1,1
30,1,1,57,6,1,0
31,1,1,47,10,0,1
32,0,1,46,2,1,1
33,1,0,47,1,1,1
34,0,1,47,10,1,1
35,0,0,52,4,1,1
36,0,1,47,10,1,0
37,1,1,41,2,1,0
38,0,1,51,0,0,0
39,0,1,51,8,1,1
40,1,1,39,10,1,0
41,1,1,44,10,1,0
42,0,1,45,1,1,0
43,0,1,37,4,0,0
44,0,0,37,0,1,0
45,0,1,39,2,1,0
46,1,1,50,2,1,0
47,0,1,38,0,1,1
48,0,1,46,10,1,0
49,1,1,53,6,1,1
50,1,1,51,0,0,0
51,1,1,38,0,1,0
52,1,1,48,3,1,1
53,1,0,55,0,1,0
54,1,1,29,3,0,0
55,0,1,35,6,1,0
56,1,1,52,2,0,0
57,1,1,48,2,0,0
58,1,1,48,2,1,0
59,0,1,49,1,1,0
60,1,1,39,10,1,1
61,1,1,56,0,1,1
62,0,1,50,9,1,0
63,0,1,43,5,1,0
64,0,1,43,4,1,0
65,1,1,48,10,0,0
66,1,1,46,9,0,0
67,1,1,46,0,1,0
68,1,0,43,6,1,1
69,1,1,47,10,1,0
70,0,1,34,8,0,0
71,1,1,51,2,1,0
72,1,1,38,2,1,1
73,0,1,47,10,0,0
74,0,1,41,8,0,0
75,0,1,53,0,1,0
76,0,1,40,10,1,0
77,0,1,36,0,0,0
78,0,1,46,8,0,0
79,0,1,45,3,1,1
80,1,1,36,10,1,1
81,1,1,50,6,1,0
82,0,1,40,10,1,1
83,0,1,40,10,1,0
84,0,1,34,6,1,1
85,1,1,54,10,1,1
86,0,1,43,6,1,1
87,0,1,38,7,0,0
88,1,1,40,5,0,1
89,1,0,41,0,0,0
90,0,0,53,10,0,0
91,0,0,36,1,1,0
92,1,1,35,10,1,0
93,1,1,42,3,1,0
94,1,1,47,7,1,0
95,0,1,38,2,1,0
96,1,1,41,8,1,0
97,0,1,45,4,1,0
98,1,1,51,1,1,1
99,1,1,43,0,1,0
100,0,1,53,3,1,0
101,1,1,29,10,1,1
102,1,1,44,1,1,0
103,1,1,49,2,1,1
104,1,1,44,10,0,0
105,0,1,45,0,1,0
106,0,1,44,5,1,0
107,0,1,41,3,1,0
108,0,1,53,5,1,1
109,1,1,46,2,0,0
110,0,1,36,1,1,0
111,0,1,42,1,1,0
112,0,0,52,3,1,0
113,1,1,53,3,1,0
114,1,1,56,0,1,0
115,0,1,44,4,1,0
116,1,1,52,7,1,0
117,0,0,48,2,1,0
118,0,1,46,10,1,0
119,1,0,47,8,1,0
120,0,1,55,1,1,0
121,1,1,42,2,1,1
122,1,1,53,10,1,0
123,1,1,42,10,0,0
124,0,0,44,2,1,0
125,1,1,48,10,1,0
126,1,1,42,0,0,1
127,0,1,54,4,1,0
128,0,1,35,10,1,0
129,0,1,52,10,0,0
130,1,1,39,5,0,1
131,1,1,43,5,1,0
132,0,1,37,10,1,1
133,0,0,46,7,1,0
134,1,1,45,0,1,0
135,0,1,55,10,1,0
136,1,1,53,10,1,0
137,1,1,49,9,1,1
138,1,1,42,0,1,1
139,1,1,44,9,1,0
140,0,1,36,0,0,0
141,0,1,41,0,0,0
142,1,1,42,6,1,0
143,1,1,58,8,1,1
144,0,1,52,0,1,1
145,1,0,46,10,1,0
146,0,0,49,1,0,0
147,0,1,58,1,1,1
148,1,1,47,1,1,1
149,1,1,43,4,1,0
150,1,1,38,1,0,0
151,0,1,48,4,0,0
152,0,1,36,6,1,1
153,1,1,44,0,1,0
154,1,1,54,5,1,0
155,0,1,45,1,0,0
156,0,1,61,5,1,0
157,0,1,39,1,1,1
158,0,1,39,10,1,0
159,1,1,51,1,1,0
160,0,1,41,0,1,1
161,0,0,43,6,1,0
162,0,1,42,7,0,0
163,1,1,47,1,0,0
164,1,1,50,2,1,0
165,1,1,41,3,1,0
166,1,1,39,3,1,0
167,1,1,50,10,1,0
168,0,1,41,3,1,0
169,0,1,56,0,1,1
170,0,1,41,10,1,0
171,1,1,38,1,1,1
172,1,0,39,4,0,0
173,0,0,51,4,0,0
174,0,1,41,0,0,0
175,0,1,53,0,1,1
176,1,1,54,10,1,0
177,0,1,45,10,1,0
178,0,1,55,7,1,0
179,1,0,39,2,1,0
180,0,1,33,3,1,0
181,1,1,47,6,0,0
182,0,1,50,3,1,0
183,0,0,38,9,1,1
184,0,1,56,5,1,0
185,1,1,51,5,1,0
186,1,1,41,8,1,0
187,1,1,35,1,1,0
188,1,1,46,3,1,0
189,1,1,47,3,1,0
190,0,1,50,2,1,0
191,0,0,33,10,1,0
192,1,1,52,7,1,1
193,1,1,46,7,0,1
194,0,0,42,0,1,1
195,0,1,52,7,1,0
196,1,1,47,6,1,0
197,1,1,38,2,0,0
198,0,1,49,0,1,1
199,1,1,49,6,1,0
200,0,1,46,10,0,0
201,1,1,37,5,1,0
202,0,1,46,3,1,1
203,0,1,42,0,0,0
204,0,0,47,1,1,0
205,1,1,50,2,0,0
206,0,1,43,10,1,1
207,0,1,35,10,1,0
208,0,1,33,3,0,0
209,1,1,39,2,1,0
210,1,1,49,3,1,1
211,1,1,46,3,0,0
212,0,1,42,10,1,0
213,1,1,37,9,0,0
214,1,1,53,0,1,1
215,1,0,40,1,0,1
216,0,1,42,1,1,0
217,0,1,45,9,1,1
218,0,1,44,9,1,0
219,1,0,54,0,1,0
220,1,1,44,0,1,0
221,0,0,41,10,1,0
222,1,1,43,3,0,0
223,0,0,56,4,0,0
224,0,1,42,9,1,0
225,1,1,58,10,1,0
226,0,1,47,8,0,0
227,1,0,47,10,1,0
228,1,1,47,10,0,0
229,1,1,48,6,1,0
230,1,1,39,10,0,1
231,0,1,50,10,1,0
232,1,1,55,1,1,0
233,0,1,34,10,0,0
234,0,1,46,7,1,0
235,1,1,45,5,1,0
236,1,1,45,10,0,0
237,1,1,45,1,1,1
238,0,1,38,5,1,0
239,0,1,41,10,1,0
240,0,1,49,0,1,0
241,1,1,45,10,1,0
242,0,1,45,7,1,1
243,0,1,55,3,0,0
244,0,1,48,0,1,0
245,1,1,35,8,0,0
246,0,1,41,10,0,1
247,0,0,47,10,0,0
248,1,1,39,2,0,0
249,1,1,42,10,1,1
250,1,1,40,1,1,1
251,1,1,42,1,1,1
252,0,1,44,8,0,1
253,1,1,47,2,1,0
254,1,0,47,10,1,0
255,0,1,51,3,0,0
256,0,1,41,6,0,1
257,1,1,34,10,1,0
258,1,1,51,1,0,0
259,0,1,47,2,1,0
260,0,1,64,6,1,0
261,1,1,52,7,0,0
262,0,1,46,10,0,1
263,1,1,56,9,0,0
264,0,1,44,5,0,0
265,0,1,29,2,1,0
266,0,1,46,1,1,0
267,1,1,58,2,1,0
268,1,1,37,2,1,1
269,0,1,44,6,0,1
270,0,1,36,7,1,0
271,0,0,42,10,1,0
272,0,1,43,10,1,0
273,1,1,44,5,1,0
274,1,1,37,0,1,1
275,0,0,41,7,1,0
276,0,1,59,6,1,1
277,1,1,42,9,1,0
278,1,1,43,7,1,0
279,0,1,57,0,0,0
280,1,1,43,5,0,0
281,1,1,49,3,0,0
282,1,1,41,10,1,0
283,1,1,72,6,1,0
284,1,1,34,0,1,1
285,0,0,45,10,0,0
286,0,1,44,10,0,0
287,0,1,39,3,1,0
288,0,1,42,8,1,0
289,1,1,51,3,1,1
290,1,1,35,0,1,0
291,1,0,50,5,1,1
292,0,1,38,0,1,1
293,1,1,51,0,1,0
294,0,1,47,10,1,1
295,1,1,45,3,1,0
296,1,0,45,0,1,0
297,0,1,48,10,0,0
298,0,1,39,2,0,0
299,0,0,50,10,0,0
300,0,0,52,5,0,0
301,0,0,41,1,0,0
302,0,1,37,2,0,0
303,0,1,40,2,1,1
304,0,1,38,7,1,0
305,1,1,47,0,1,0
306,0,0,37,0,1,0
307,1,1,45,9,1,0
308,0,1,51,4,0,0
309,0,1,47,10,1,1
310,0,1,50,10,1,0
311,1,1,41,10,0,0
312,0,1,48,8,1,0
313,1,1,42,0,0,0
314,1,1,37,10,1,0
315,1,1,45,10,1,0
316,0,1,37,10,1,0
317,0,0,58,10,1,1
318,0,1,40,0,1,1
319,0,1,43,10,0,1
320,0,0,47,7,1,0
321,1,1,34,10,1,0
322,0,1,51,0,0,0
323,0,1,44,10,1,0
324,0,1,43,7,0,0
325,1,0,43,9,0,1
326,0,1,35,10,1,0
327,0,1,51,10,1,1
328,0,1,47,10,1,0
329,0,1,51,4,0,0
330,0,1,51,10,1,0
331,1,1,58,10,0,0
332,1,1,39,0,1,1
333,1,1,34,10,1,0
334,0,1,58,3,1,0
335,1,1,54,4,1,1
336,1,1,49,10,1,0
337,0,1,48,0,1,0
338,1,1,46,10,1,0
339,0,0,37,7,1,1
340,0,1,53,2,1,0
341,0,1,41,3,0,0
342,1,1,54,3,0,0
343,0,1,41,6,1,1
344,1,1,46,10,1,0
345,1,1,51,10,1,1
346,1,1,42,10,0,0
347,0,1,35,1,1,1
348,0,1,44,10,1,0
349,1,1,39,10,1,0
350,0,1,48,3,1,1
351,1,1,41,3,1,1
352,1,1,38,10,0,0
353,0,1,44,10,0,0
354,1,1,41,3,0,1
355,1,1,55,4,1,0
356,1,0,37,3,1,0
357,0,0,51,10,1,0
358,1,1,48,10,0,0
359,0,1,40,5,0,0
360,1,1,49,0,1,0
361,1,1,42,1,1,0
362,1,1,43,8,1,0
363,0,1,51,10,0,0
364,1,1,40,0,1,1
365,0,1,41,1,1,0
366,0,1,49,5,1,0
367,1,1,50,8,1,0
