"id","female","city","age","logins","mandalorian","unsubscribe"
1,1,1,52.8455573732173,7,0,0
2,1,1,48.0211120367276,10,1,0
3,0,1,45.4152413276983,6,1,1
4,1,1,50.6866404615458,10,1,1
5,1,1,44.7834738578383,8,0,0
6,1,0,40.1320146639131,0,1,1
7,0,1,55.0950718020082,5,0,0
8,1,1,43.3383831420177,1,0,0
9,0,1,62.6156332832278,3,1,0
10,1,1,53.239414694683,9,1,0
11,0,1,51.8046885296094,0,1,1
12,0,1,47.7614321760737,0,0,1
13,1,1,39.0701773846551,10,1,0
14,1,0,43.5837282384102,4,0,0
15,0,1,52.2756350049999,9,0,0
16,0,1,39.5301162735312,2,1,0
17,1,1,60.4368897101208,2,0,1
18,1,1,49.0045562605626,2,1,0
19,1,1,49.1666189145935,1,1,0
20,0,1,40.4194241319331,3,1,0
21,0,1,55.6322626615471,4,1,1
22,0,1,45.9711625533478,1,0,1
23,0,1,42.7628686645898,10,1,1
24,0,1,40.0573143259148,7,1,1
25,1,1,30.289637110139,9,1,0
26,1,1,53.6972734334431,3,1,0
27,0,1,39.771005944762,8,1,0
28,0,1,36.5530976768002,2,0,0
29,0,1,35.8065780197116,5,1,1
30,1,1,56.5743659173586,6,1,0
31,1,1,46.8057835222335,10,0,1
32,0,1,45.5475435916534,2,1,1
33,1,0,47.1513125205485,1,1,1
34,0,1,47.015504321386,10,1,1
35,0,0,51.9399411393153,4,1,1
36,0,1,47.3197086142244,10,1,0
37,1,1,40.854396693365,2,1,0
38,0,1,51.393443192507,0,0,0
39,0,1,51.1583900833579,8,1,0
40,1,1,39.4875253190728,10,1,0
41,1,1,43.8115828013219,10,1,0
42,0,1,44.826847546084,1,1,0
43,0,1,36.7573946659198,4,0,0
44,0,0,36.6481353464218,0,1,1
45,0,1,38.9320064707218,2,1,0
46,1,1,49.735339960756,2,1,0
47,0,1,38.4697460551587,0,1,0
48,0,1,46.3394772621897,10,1,0
49,1,1,53.2417144390698,6,1,1
