"freq","female","spend"
10,1,59
7,1,71
6,1,79
3,0,97
9,1,52
10,1,56
7,1,141
6,0,101
6,1,114
4,1,95
7,1,93
6,1,71
2,1,107
7,0,84
7,1,113
7,1,87
8,1,82
2,1,109
3,1,96
3,0,128
8,1,100
2,1,114
9,0,65
2,0,112
3,1,120
4,1,82
4,1,131
4,1,107
5,1,101
7,1,83
9,0,70
4,0,116
2,1,116
6,0,75
7,0,74
1,1,116
6,1,114
9,0,35
9,1,115
9,1,6
6,0,77
8,0,65
7,1,81
1,0,113
9,1,115
6,1,123
4,1,82
8,1,100
3,1,91
4,1,90
3,0,113
3,1,77
4,1,113
5,1,43
7,1,96
4,0,112
3,1,115
9,1,77
8,1,75
6,1,80
2,1,110
5,1,127
3,1,107
5,1,101
5,1,113
4,1,132
5,0,86
9,1,103
10,0,166
9,0,59
10,1,55
5,1,128
10,1,90
10,1,103
7,1,94
8,1,76
9,1,135
10,0,73
7,1,56
3,1,115
10,1,99
10,1,94
9,1,70
6,0,130
5,1,82
2,1,114
8,0,98
8,1,89
2,0,119
3,0,103
7,1,75
10,1,94
5,1,112
7,1,106
8,1,88
1,1,101
8,1,159
6,0,99
10,0,80
3,1,128
6,1,154
10,1,78
6,1,102
8,1,71
3,0,133
4,0,113
1,1,107
10,1,67
2,1,111
5,1,109
10,0,86
4,1,109
4,1,98
9,1,69
10,0,37
7,0,62
5,1,124
7,1,103
9,1,119
1,1,110
2,0,111
8,1,83
10,1,140
5,1,111
7,1,80
2,1,104
1,1,108
7,1,78
10,1,96
1,1,104
4,0,100
2,1,129
2,0,111
1,0,114
10,0,28
9,0,127
9,0,83
4,1,122
10,1,75
10,1,56
10,0,40
4,1,134
4,0,94
2,0,118
7,0,34
2,1,96
6,1,127
9,1,53
5,1,112
4,0,103
6,1,146
7,1,49
4,1,113
7,0,123
5,1,99
9,1,139
5,1,81
3,1,107
4,1,102
10,0,74
2,0,103
5,1,148
7,0,114
1,1,115
8,0,61
5,1,117
4,1,108
7,1,169
8,1,60
7,1,80
10,1,41
5,1,81
4,1,112
3,0,102
4,0,127
4,1,118
4,0,129
2,1,100
8,0,78
1,1,125
4,1,84
10,1,35
6,1,67
8,1,103
3,1,100
6,1,100
10,0,89
10,1,129
3,1,117
8,0,91
10,1,75
4,1,105
7,0,119
1,0,109
3,0,112
9,1,70
10,1,114
7,1,88
7,1,127
9,1,81
3,1,92
1,1,115
2,1,109
1,1,111
2,1,103
2,0,100
6,1,95
8,1,92
4,1,87
9,0,111
1,1,104
7,1,114
7,1,60
9,1,93
7,1,103
5,1,116
5,1,126
5,0,57
10,1,70
6,1,88
6,1,107
8,0,114
2,1,123
3,1,110
7,0,92
2,1,99
7,1,67
7,0,59
9,1,109
8,1,66
9,1,84
8,1,132
7,0,108
4,1,90
7,1,120
8,1,72
2,1,113
1,0,114
7,0,98
10,1,83
4,1,101
1,0,112
8,1,99
3,1,112
3,0,101
7,1,54
1,1,100
9,1,86
5,0,62
2,1,116
6,0,106
7,0,125
8,1,85
1,0,122
2,1,101
2,1,108
5,1,118
8,0,53
8,1,98
3,0,109
1,1,107
4,1,122
9,0,64
2,1,117
8,1,67
5,1,118
3,1,106
5,1,104
3,0,116
10,1,64
2,0,117
7,1,72
7,1,64
1,1,110
5,0,106
3,1,107
2,1,110
9,1,71
10,0,189
5,0,85
1,0,105
2,1,111
5,0,101
8,0,66
5,1,150
5,1,107
4,1,106
1,1,114
4,0,124
1,1,107
6,1,71
8,0,111
9,1,78
4,0,106
6,1,120
2,0,103
8,1,114
5,1,98
10,1,71
5,1,131
5,1,100
1,1,113
9,1,88
10,1,103
10,1,117
3,1,109
1,0,106
9,0,68
10,1,56
10,1,70
5,0,73
6,1,100
8,1,101
7,1,142
2,1,127
4,1,106
8,1,38
2,1,117
6,1,115
7,1,98
7,1,93
5,1,105
10,1,73
4,0,113
6,0,119
8,0,91
10,1,76
1,1,101
3,1,88
10,0,112
5,1,119
3,1,107
6,1,111
5,1,120
1,1,111
4,1,96
4,1,94
4,0,117
6,1,109
10,0,139
4,1,104
10,1,62
2,1,100
1,1,111
10,1,64
7,0,121
9,0,41
1,1,123
8,1,48
10,1,149
3,1,97
6,1,79
7,0,85
10,1,55
4,1,107
3,0,106
9,0,49
5,1,129
8,1,112
5,1,61
1,1,110
9,1,129
1,1,102
9,0,138
5,1,130
10,1,74
3,0,132
1,1,101
4,1,122
1,1,124
6,1,75
5,1,112
6,1,74
7,1,88
5,1,76
6,1,131
7,0,83
1,1,113
10,1,62
4,1,113
10,0,54
5,1,135
10,1,128
5,1,87
10,0,65
2,1,108
2,0,114
8,1,112
10,1,31
2,1,123
3,1,111
1,1,119
7,0,76
7,1,108
2,1,106
5,1,95
4,1,92
10,1,115
6,1,95
1,1,108
4,1,97
9,0,103
8,1,68
7,1,101
8,1,90
10,1,60
3,0,106
9,1,88
1,1,112
5,1,121
7,1,142
1,1,100
8,1,85
1,1,111
9,1,92
9,1,82
8,0,77
4,0,90
9,1,122
10,1,79
5,1,92
6,1,104
9,1,92
4,1,91
8,0,90
9,1,96
5,1,104
7,1,83
2,0,114
10,1,58
6,1,92
8,0,57
3,0,105
9,1,107
4,1,123
4,0,92
3,1,106
5,1,100
8,0,108
5,1,97
4,1,95
10,1,86
9,1,75
8,0,98
1,1,103
9,0,77
2,0,100
6,1,162
6,0,134
9,1,119
4,1,123
6,1,83
6,1,126
1,1,105
1,1,103
4,0,101
2,1,107
1,0,113
8,1,133
2,1,102
8,1,111
4,1,111
8,1,59
6,1,126
5,1,93
10,1,62
1,0,110
6,1,74
3,1,101
10,1,90
10,0,134
3,1,117
6,1,94
5,1,113
4,0,109
1,1,105
3,1,120
3,1,108
1,1,106
8,1,74
8,1,61
1,0,109
8,0,83
6,1,114
6,1,87
4,1,119
2,1,124
10,1,86
6,1,97
5,1,65
5,1,90
9,1,108
3,1,108
1,1,103
10,0,69
8,1,60
3,0,104
7,0,52
5,1,129
8,1,99
3,1,118
6,0,101
3,0,124
3,1,111
10,1,97
9,1,95
6,1,94
1,1,114
10,1,103
4,1,111
2,1,111
6,1,94
6,1,123
2,1,96
2,1,112
9,1,31
2,1,115
5,1,97
3,1,105
10,1,85
3,0,116
6,1,89
5,1,124
6,1,93
3,1,122
2,1,107
8,1,58
4,1,94
1,1,111
8,0,83
6,1,106
6,1,107
5,1,122
9,0,56
6,1,109
8,1,103
3,1,105
7,1,78
2,1,99
1,1,110
1,1,116
10,0,104
10,1,114
6,1,99
7,0,111
1,1,113
9,1,99
5,1,94
6,1,90
9,1,55
10,1,35
6,1,87
3,1,126
4,1,112
6,0,119
1,1,104
3,1,102
1,1,115
2,0,108
4,0,99
8,1,92
2,1,112
10,0,135
6,1,93
10,1,76
4,1,92
9,0,63
2,1,114
9,1,107
6,1,57
10,1,55
10,1,66
7,1,82
2,0,94
2,1,109
3,1,97
8,1,80
4,1,96
3,1,106
7,0,89
3,1,103
7,1,102
1,0,108
5,1,92
7,1,123
7,1,115
7,1,117
3,0,112
8,1,64
1,1,100
8,1,98
4,0,92
4,1,111
3,1,111
9,1,56
2,1,111
9,0,98
5,1,100
4,1,130
4,1,104
8,1,126
8,1,85
1,1,101
8,0,86
4,1,116
10,1,95
9,1,57
3,0,99
1,0,108
1,0,111
2,0,123
4,1,90
9,1,58
