"freq","female","spend","type"
10,1,59,1
7,1,71,1
6,1,79,1
3,0,97,2
9,1,52,1
10,1,56,1
7,1,141,2
6,0,101,1
6,1,114,1
4,1,95,2
7,1,93,1
6,1,71,1
2,1,107,2
7,0,84,1
7,1,113,1
7,1,87,2
8,1,82,1
2,1,109,2
3,1,96,2
3,0,128,1
8,1,100,2
2,1,114,2
9,0,65,1
2,0,112,2
3,1,120,2
4,1,82,2
4,1,131,1
4,1,107,2
5,1,101,2
7,1,83,1
9,0,70,1
4,0,116,2
2,1,116,2
6,0,75,1
7,0,74,2
1,1,116,2
6,1,114,1
9,0,35,1
9,1,115,1
9,1,6,1
6,0,77,1
8,0,65,2
7,1,81,1
1,0,113,2
9,1,115,1
6,1,123,1
4,1,82,1
8,1,100,1
3,1,91,2
4,1,90,1
3,0,113,1
3,1,77,2
4,1,113,2
5,1,43,1
7,1,96,1
4,0,112,2
3,1,115,2
9,1,77,1
8,1,75,1
6,1,80,2
2,1,110,2
5,1,127,1
3,1,107,1
5,1,101,2
5,1,113,2
4,1,132,1
5,0,86,1
9,1,103,2
10,0,166,1
9,0,59,1
10,1,55,1
5,1,128,1
10,1,90,1
10,1,103,1
7,1,94,1
8,1,76,1
9,1,135,1
10,0,73,1
7,1,56,2
3,1,115,2
10,1,99,1
10,1,94,1
9,1,70,1
6,0,130,2
5,1,82,2
2,1,114,2
8,0,98,1
8,1,89,1
2,0,119,2
3,0,103,2
7,1,75,1
10,1,94,1
5,1,112,2
7,1,106,2
8,1,88,1
1,1,101,2
8,1,159,1
6,0,99,1
10,0,80,1
3,1,128,2
6,1,154,1
10,1,78,1
6,1,102,1
8,1,71,1
3,0,133,2
4,0,113,2
1,1,107,2
10,1,67,1
2,1,111,2
5,1,109,1
10,0,86,1
4,1,109,2
4,1,98,2
9,1,69,1
10,0,37,1
7,0,62,2
5,1,124,1
7,1,103,1
9,1,119,1
1,1,110,2
2,0,111,2
8,1,83,2
10,1,140,1
5,1,111,2
7,1,80,2
2,1,104,2
1,1,108,2
7,1,78,2
10,1,96,1
1,1,104,2
4,0,100,2
2,1,129,2
2,0,111,2
1,0,114,2
10,0,28,1
9,0,127,1
9,0,83,1
