"date","m_holiday","m_workingday","m_temp","m_atemp","m_humidity","m_windspeed","m_season","m_weather","total_casual","total_registered","total_count"
2011-01-01,0,0,11.4040566230323,14.8771434276423,82.4344199842178,13.6049283890406,"1","1",817,1668,2485
2011-01-02,0,0,11.9958764192984,14.7333463425915,69.9358338990818,19.085598519061,"1","2",610,1612,2222
2011-01-03,0,1,5.15188229764557,7.16697620671785,42.7545484477902,20.8653462941059,"1","1",573,2177,2750
2011-01-04,0,1,4.98227207629321,8.56120088582689,58.2851220834978,14.2533862267534,"1","1",604,2434,3038
2011-01-05,0,1,5.84245279014101,9.00624171041414,44.4612859711201,15.7449156807105,"1","1",561,2521,3082
2011-01-06,0,1,5.48552128281589,8.89368009474946,52.4388998661068,7.63967847816717,"1","1",580,2533,3113
2011-01-07,0,1,4.9443355633312,8.0938493761773,50.3795082628879,12.9208935040125,"1","2",645,2351,2996
2011-01-08,0,0,3.93901110716079,6.12238553424859,53.4911389615109,20.5224150166096,"1","1",565,1893,2458
2011-01-09,0,0,2.50055821859473,3.98973870082242,42.8094646016613,26.3047850183901,"1","1",561,1793,2354
2011-01-10,0,1,3.03424815255561,5.63521186149919,48.9736567458789,17.9343240283801,"1","1",545,2290,2835
2011-01-11,0,1,4.02313492772678,7.34355777596162,69.185763059775,11.6258939515302,"1","2",482,2194,2676
2011-01-12,0,1,4.16161216448178,5.73511777466663,59.0317992622031,23.1287592526022,"1","1",490,2088,2578
2011-01-13,0,1,4.0076271979024,5.48786740387923,47.0777031525435,22.627880397786,"1","1",513,2400,2913
2011-01-14,0,1,3.23935166809556,7.1845956688145,53.5294673772845,11.0131817866493,"1","1",509,2340,2849
2011-01-15,0,0,6.62164972067947,9.78172575082134,50.5997898471523,14.1169854108054,"1","1",726,2009,2735
2011-01-16,0,0,6.90268225649303,9.22352998668486,48.2128723099079,14.7915346842419,"1","1",733,1969,2702
2011-01-17,1,0,3.97610693216665,6.93455599901591,54.0474298342031,15.9179198309187,"1","2",618,1860,2478
2011-01-18,0,1,4.36594047194094,9.11847139277177,86.8147676441461,12.4862371997423,"1","2",274,1194,1468
2011-01-19,0,1,9.15938512635778,12.0107330090624,73.9864886189608,17.4011052762204,"1","1",564,2563,3127
2011-02-01,0,1,4.63072784431085,9.11453749376652,82.6697999298707,6.82021136088493,"1","2",485,2303,2788
2011-02-02,0,1,7.31706837795678,10.4697376681056,77.7822561617417,20.2137964765256,"1","1",521,2473,2994
