"wage","education","experience","age","ethnicity","region","gender","occupation","sector","union","married","log_wage"
5.1,8,21,35,"hispanic","other","female","worker","manufacturing","no","yes",1.62924053973028
4.95,9,42,57,"cauc","other","female","worker","manufacturing","no","yes",1.5993875765806
6.67,12,1,19,"cauc","other","male","worker","manufacturing","no","no",1.89761985992753
4,12,4,22,"cauc","other","male","worker","other","no","no",1.38629436111989
7.5,12,17,35,"cauc","other","male","worker","other","no","yes",2.01490302054226
13.07,13,9,28,"cauc","other","male","worker","other","yes","no",2.57031952763613
4.45,10,27,43,"cauc","south","male","worker","other","no","no",1.49290409617815
19.47,12,9,27,"cauc","other","male","worker","other","no","no",2.96887481938411
13.28,16,11,33,"cauc","other","male","worker","manufacturing","no","yes",2.58625914404829
8.75,12,9,27,"cauc","other","male","worker","other","no","no",2.16905370036952
11.35,12,17,35,"cauc","other","male","worker","other","yes","yes",2.42921774392741
11.5,12,19,37,"cauc","other","male","worker","manufacturing","yes","no",2.4423470353692
6.5,8,27,41,"cauc","south","male","worker","other","no","yes",1.87180217690159
6.25,9,30,45,"cauc","south","male","worker","other","yes","no",1.83258146374831
19.98,9,29,44,"cauc","south","male","worker","other","no","yes",2.99473177322041
7.3,12,37,55,"cauc","other","male","worker","construction","no","yes",1.98787434815435
8,7,44,57,"cauc","south","male","worker","other","no","yes",2.07944154167984
22.2,12,26,44,"cauc","other","male","worker","manufacturing","yes","yes",3.10009228887823
3.65,11,16,33,"cauc","other","male","worker","other","no","no",1.2947271675944
20.55,12,33,51,"cauc","other","male","worker","other","no","yes",3.02286094094224
5.71,12,16,34,"cauc","other","female","worker","manufacturing","yes","yes",1.74221902366792
7,7,42,55,"other","other","male","worker","manufacturing","yes","yes",1.94591014905531
3.75,12,9,27,"cauc","other","male","worker","other","no","no",1.32175583998232
4.5,11,14,31,"other","south","male","worker","other","no","yes",1.50407739677627
9.56,12,23,41,"cauc","other","male","worker","other","no","yes",2.25758772706331
5.75,6,45,57,"cauc","south","male","worker","manufacturing","no","yes",1.74919985480926
9.36,12,8,26,"cauc","other","male","worker","manufacturing","no","yes",2.2364452904895
6.5,10,30,46,"cauc","other","male","worker","other","no","yes",1.87180217690159
3.35,12,8,26,"cauc","other","female","worker","manufacturing","no","yes",1.20896034583698
4.75,12,8,26,"cauc","other","male","worker","other","no","yes",1.55814461804655
8.9,14,13,33,"cauc","other","male","worker","other","no","no",2.18605127673809
4,12,46,64,"cauc","south","female","worker","other","no","no",1.38629436111989
4.7,8,19,33,"cauc","other","male","worker","other","no","yes",1.54756250871601
5,17,1,24,"cauc","south","female","worker","other","no","no",1.6094379124341
9.25,12,19,37,"cauc","other","male","worker","manufacturing","no","no",2.22462355152433
10.67,12,36,54,"other","other","male","worker","other","no","no",2.36743606531366
7.61,12,20,38,"other","south","male","worker","construction","no","yes",2.02946317187359
10,12,35,53,"other","other","male","worker","construction","yes","yes",2.30258509299405
7.5,12,3,21,"cauc","other","male","worker","other","no","no",2.01490302054226
12.2,14,10,30,"cauc","south","male","worker","manufacturing","no","yes",2.50143595173921
3.35,12,0,18,"cauc","other","male","worker","other","no","no",1.20896034583698
11,14,14,34,"cauc","south","male","worker","manufacturing","yes","yes",2.39789527279837
12,12,14,32,"cauc","other","male","worker","manufacturing","no","yes",2.484906649788
4.85,9,16,31,"cauc","other","female","worker","manufacturing","no","yes",1.57897870494939
4.3,13,8,27,"cauc","south","male","worker","construction","no","no",1.45861502269952
6,7,15,28,"cauc","south","female","worker","manufacturing","no","yes",1.79175946922805
15,16,12,34,"cauc","other","male","worker","manufacturing","no","yes",2.70805020110221
4.85,10,13,29,"cauc","south","male","worker","other","no","no",1.57897870494939
9,8,33,47,"cauc","other","male","worker","other","yes","yes",2.19722457733622
6.36,12,9,27,"cauc","other","male","worker","manufacturing","no","yes",1.85002837735203
9.15,12,7,25,"cauc","other","male","worker","other","no","yes",2.21375387928743
11,16,13,35,"cauc","other","male","worker","manufacturing","yes","yes",2.39789527279837
4.5,12,7,25,"cauc","other","female","worker","manufacturing","no","yes",1.50407739677627
4.8,12,16,34,"cauc","other","female","worker","manufacturing","no","yes",1.56861591791385
4,13,0,19,"cauc","other","male","worker","other","no","no",1.38629436111989
5.5,12,11,29,"cauc","other","female","worker","manufacturing","no","no",1.70474809223843
8.4,13,17,36,"cauc","other","male","worker","manufacturing","no","no",2.12823170584927
6.75,10,13,29,"cauc","other","male","worker","manufacturing","no","yes",1.90954250488444
10,12,22,40,"other","other","male","worker","manufacturing","yes","no",2.30258509299405
5,12,28,46,"cauc","other","female","worker","manufacturing","no","yes",1.6094379124341
6.5,11,17,34,"cauc","other","male","worker","other","no","no",1.87180217690159
10.75,12,24,42,"cauc","other","male","worker","construction","yes","yes",2.37490575457367
7,3,55,64,"hispanic","south","male","worker","manufacturing","no","yes",1.94591014905531
11.43,12,3,21,"cauc","south","male","worker","construction","no","no",2.43624147780672
4,12,6,24,"other","other","male","worker","manufacturing","yes","no",1.38629436111989
9,10,27,43,"cauc","other","male","worker","construction","no","yes",2.19722457733622
13,12,19,37,"other","south","male","worker","manufacturing","yes","yes",2.56494935746154
12.22,12,19,37,"cauc","other","male","worker","construction","yes","yes",2.50307395374345
6.28,12,38,56,"cauc","other","female","worker","manufacturing","no","yes",1.83736998048011
6.75,10,41,57,"other","south","male","worker","manufacturing","yes","yes",1.90954250488444
3.35,11,3,20,"other","south","male","worker","manufacturing","no","no",1.20896034583698
16,14,20,40,"cauc","other","male","worker","other","yes","yes",2.77258872223978
5.25,10,15,31,"cauc","other","male","worker","other","no","yes",1.65822807660353
3.5,8,8,22,"hispanic","south","male","worker","manufacturing","no","yes",1.25276296849537
4.22,8,39,53,"cauc","south","female","worker","manufacturing","no","yes",1.43983512804792
3,6,43,55,"hispanic","other","female","worker","manufacturing","yes","yes",1.09861228866811
4,11,25,42,"cauc","south","female","worker","manufacturing","yes","yes",1.38629436111989
10,12,11,29,"cauc","other","male","worker","other","yes","yes",2.30258509299405
5,12,12,30,"other","other","male","worker","other","no","yes",1.6094379124341
