,index,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released_x,Actors,Year,Genre_x,Awards,Runtime,Type,Poster,imdbVotes,Error,Month,Week,English,USA,rating,title,Released_y,Movie,Genre_y,Budget,Revenue,Trailer,Adj_Revenue,Adj_Budget
0,435528.0,Sinister things begin happening to kidnappers who are holding a young boy for ransom in a remote cabin.,R,True,English,Whisper,"USA, Canada",Christopher Borrelli,,5.8,Stewart Hendler,2007-05-16,"Jennifer Shirley, Blake Woodruff, Michael Rooker, Josh Holloway",2007,"Crime, Drama, Horror",N/A,94.0,movie,http://ia.media-imdb.com/images/M/MV5BMTM1NjgwNDExMF5BMl5BanBnXkFtZTcwNzQ4NDE5MQ@@._V1_SX300.jpg,6584.0,,5.0,20.0,1,0,2.0,Whisper,2007-12-31,Whisper,Thriller/Suspense,,0.0,,0.0,
1,1571222.0,A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.,R,True,English,A Dangerous Method,"UK, Germany, Canada, Switzerland","Christopher Hampton (screenplay), Christopher Hampton (play), John Kerr (book)",7.6,6.5,David Cronenberg,2011-11-10,"Keira Knightley, Viggo Mortensen, Michael Fassbender, Vincent Cassel",2011,"Biography, Drama, Thriller",Nominated for 1 Golden Globe. Another 17 wins & 16 nominations.,99.0,movie,http://ia.media-imdb.com/images/M/MV5BMTU5Mjk3NjgxMl5BMl5BanBnXkFtZTcwMDM5MjA5Ng@@._V1_SX300.jpg,61249.0,,11.0,45.0,1,0,3.0,A Dangerous Method,2011-11-23,A Dangerous Method,Drama,20000000.0,5702083.0,Play,6056626.451496892,21243557.66654709
2,379217.0,A series of vignettes that all have coffee and cigarettes in common.,R,True,"English, French",Coffee and Cigarettes,"USA, Japan, Italy",Jim Jarmusch,6.5,7.0,Jim Jarmusch,2004-03-12,"Roberto Benigni, Steven Wright, Joie Lee, Cinqué Lee",2004,"Comedy, Music, Drama",3 wins & 5 nominations.,95.0,movie,http://ia.media-imdb.com/images/M/MV5BMTQ5NTcxODA5MV5BMl5BanBnXkFtZTcwMTEwMTYyMQ@@._V1_SX300.jpg,35597.0,,3.0,11.0,0,0,3.0,Coffee and Cigarettes,2004-05-14,Coffee and Cigarettes,Comedy,,1971135.0,,2489632.9085313175,
3,2370248.0,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,R,True,English,Short Term 12,USA,Destin Cretton,8.2,8.1,Destin Cretton,2013-08-23,"Brie Larson, John Gallagher Jr., Stephanie Beatriz, Rami Malek",2013,Drama,21 wins & 29 nominations.,96.0,movie,http://ia.media-imdb.com/images/M/MV5BMTEwNjE2OTM4NDZeQTJeQWpwZ15BbWU3MDE2MTE4OTk@._V1_SX300.jpg,14205.0,,8.0,34.0,1,1,3.0,Short Term 12,2013-08-23,Short Term 12,Drama,,1013100.0,,1029096.3157894737,
4,115759.0,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,R,True,English,Broken Arrow,USA,Graham Yost,6.1,5.9,John Woo,1996-02-09,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo",1996,"Action, Adventure, Thriller",1 win & 3 nominations.,108.0,movie,http://ia.media-imdb.com/images/M/MV5BMTY1NTQzMDQwMF5BMl5BanBnXkFtZTYwOTQ1OTk4._V1_SX300.jpg,66094.0,,2.0,6.0,1,1,0.0,Broken Arrow,1996-02-09,Broken Arrow,Action,65000000.0,70645997.0,,107028685.455,98475000.0
5,1433540.0,"Animated plastic toys like Cowboy, Indian and Horse have problems, too. Cowboy and Indian's plan to surprise Horse with a homemade birthday gift backfires when they destroy his house ...",,True,French,A Town Called Panic,"Belgium, Luxembourg, France","Stéphane Aubier (screenplay), Vincent Patar (screenplay)",7.0,7.4,"Stéphane Aubier, Vincent Patar",2009-06-17,"Stéphane Aubier, Jeanne Balibar, Nicolas Buysse, Véronique Dumont",2009,"Animation, Adventure, Comedy",3 wins & 1 nomination.,75.0,movie,http://ia.media-imdb.com/images/M/MV5BMjEyODIyMzU1OF5BMl5BanBnXkFtZTcwNzg3OTQwMw@@._V1_SX300.jpg,4195.0,,6.0,25.0,0,0,1.0,A Town Called Panic,2009-12-16,A Town Called Panic,Comedy,,165509.0,,183360.1078131882,
6,1433811.0,A drama centered on a group of people searching for human connections in today's wired world.,R,True,English,Disconnect,USA,Andrew Stern,6.4,7.6,Henry Alex Rubin,2013-05-16,"Jason Bateman, Hope Davis, Frank Grillo, Michael Nyqvist",2013,"Drama, Thriller",N/A,115.0,movie,http://ia.media-imdb.com/images/M/MV5BMjA2MTEzMDkyOF5BMl5BanBnXkFtZTcwNzc4NTgxOQ@@._V1_SX300.jpg,33064.0,,5.0,20.0,1,1,2.0,Disconnect,2013-04-12,Disconnect,Drama,,1436862.0,,1459549.2947368422,
7,924129.0,"Crossing Over is a multi-character canvas about immigrants of different nationalities struggling to achieve legal status in Los Angeles. The film deals with the border, document fraud, the ...",R,True,"English, Korean, Persian, Spanish, Arabic",Crossing Over,USA,Wayne Kramer (screenplay),3.8,6.8,Wayne Kramer,2009-02-26,"Harrison Ford, Ray Liotta, Ashley Judd, Jim Sturgess",2009,Drama,N/A,113.0,movie,http://ia.media-imdb.com/images/M/MV5BMjAyMDQ3ODU4NV5BMl5BanBnXkFtZTcwNzU2MTAzMg@@._V1_SX300.jpg,17163.0,,2.0,9.0,0,1,3.0,Crossing Over,2009-02-27,Crossing Over,Drama,,4462332.0,,4943620.447336638,
8,253754.0,"After the Enterprise is diverted to the Romulan homeworld Romulus, supposedly because they want to negotiate a peace treaty, the Federation soon find out the Romulans are planning an attack on Earth.",PG-13,True,English,Star Trek: Nemesis,USA,"Gene Roddenberry (television series Star Trek), John Logan (story), Rick Berman (story), Brent Spiner (story), John Logan (screenplay)",5.1,6.4,Stuart Baird,2002-12-13,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",2002,"Action, Adventure, Sci-Fi",1 win & 4 nominations.,116.0,movie,http://ia.media-imdb.com/images/M/MV5BMjAxNjY2NDY3NF5BMl5BanBnXkFtZTcwMjA0MTEzMw@@._V1_SX300.jpg,46758.0,,12.0,50.0,1,1,1.0,Star Trek: Nemesis,2002-12-13,Star Trek: Nemesis,Adventure,60000000.0,43254409.0,,57130990.03751553,79248785.99661209
9,112573.0,"When his secret bride is executed for assaulting an English soldier who tried to rape her, a commoner begins a revolt and leads Scottish warriors against the cruel English tyrant who rules Scotland with an iron fist.",R,True,"English, French, Latin, Scottish Gaelic",Braveheart,USA,Randall Wallace,6.8,8.4,Mel Gibson,1995-05-24,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",1995,"Action, Biography, Drama",Won 5 Oscars. Another 19 wins & 20 nominations.,177.0,movie,http://ia.media-imdb.com/images/M/MV5BNjA4ODYxMDU3Nl5BMl5BanBnXkFtZTcwMzkzMTk3OA@@._V1_SX300.jpg,525145.0,,5.0,21.0,0,1,2.0,Braveheart,1995-05-24,Braveheart,Drama,72000000.0,75545647.0,,117573756.2451896,112055568.86227544
