StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q4,effect,null_effect,null_effect_cap,baseline,outcome
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is your baseline sickness level? (1: Completely healthy - 10: Very sick)



Read the green piece of paper - 1",Would you go to the hospital/urgent care?,effect,null_effect,null_effect_cap,baseline,outcome
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID4""}","{""ImportId"":""effect""}","{""ImportId"":""null_effect""}","{""ImportId"":""null_effect_cap""}","{""ImportId"":""baseline""}","{""ImportId"":""outcome""}"
2022-09-13 10:40:25,2022-09-13 10:40:39,IP Address,128.62.18.200,100,13,True,2022-09-13 10:40:39,R_1MX6DKuAOULuLv6,,,,,30.2887,-97.7398,qr,EN,6,No,4,0,-1,6,6
2022-09-13 10:40:26,2022-09-13 10:40:42,IP Address,198.214.81.240,100,16,True,2022-09-13 10:40:43,R_3KGtj9O9Z3l2j4G,,,,,30.2887,-97.7398,qr,EN,3,No,3,0,-1,3,3
2022-09-13 10:40:24,2022-09-13 10:40:43,IP Address,128.62.44.170,100,18,True,2022-09-13 10:40:43,R_1F5lbkTFTHow0pI,,,,,30.2887,-97.7398,qr,EN,6,No,3,1,-1,6,5
2022-09-13 10:40:23,2022-09-13 10:40:43,IP Address,128.62.43.5,100,20,True,2022-09-13 10:40:44,R_1dNdH74ehuqU4UT,,,,,30.3075,-97.7271,qr,EN,5,No,4,0,-1,5,5
2022-09-13 10:40:22,2022-09-13 10:40:44,IP Address,128.62.43.100,100,21,True,2022-09-13 10:40:44,R_1jUm7o8KZdpQAwC,,,,,30.3075,-97.7271,qr,EN,9,Yes,3,-1,0,9,6
2022-09-13 10:40:28,2022-09-13 10:40:45,IP Address,128.62.16.184,100,16,True,2022-09-13 10:40:45,R_2E5X8GwI3KlPgE3,,,,,30.2887,-97.7398,qr,EN,2,No,3,1,0,2,1
2022-09-13 10:40:32,2022-09-13 10:40:45,IP Address,128.62.51.92,100,12,True,2022-09-13 10:40:45,R_1OIZ8EcocUFb06E,,,,,30.2887,-97.7398,anonymous,EN,1,No,4,1,0,1,1
2022-09-13 10:40:25,2022-09-13 10:40:46,IP Address,128.62.78.124,100,20,True,2022-09-13 10:40:47,R_129kgYcqYZBNMX5,,,,,30.2881,-97.764,qr,EN,7,Yes,4,1,0,7,3
2022-09-13 10:40:28,2022-09-13 10:40:48,IP Address,128.62.39.224,100,19,True,2022-09-13 10:40:48,R_272tMioc9J9SDeP,,,,,30.2887,-97.7398,qr,EN,9,Yes,3,-1,-1,9,6
2022-09-13 10:40:23,2022-09-13 10:40:51,IP Address,128.62.45.128,100,27,True,2022-09-13 10:40:51,R_31Mbo1hyQ7X7du6,,,,,30.2887,-97.7398,qr,EN,8,Yes,4,0,0,8,4
2022-09-13 10:40:34,2022-09-13 10:40:51,IP Address,128.62.77.16,100,16,True,2022-09-13 10:40:51,R_1lo4ilzvHOHGeGo,,,,,30.2881,-97.764,qr,EN,9,Yes,2,-1,0,9,7
2022-09-13 10:40:38,2022-09-13 10:40:53,IP Address,128.62.50.138,100,15,True,2022-09-13 10:40:53,R_PS9MRZ02zIdEBO1,,,,,30.2887,-97.7398,qr,EN,1,No,2,0,-1,1,2
2022-09-13 10:40:30,2022-09-13 10:40:54,IP Address,128.62.16.149,100,23,True,2022-09-13 10:40:54,R_22RF7nEsH39jjxh,,,,,30.2887,-97.7398,qr,EN,8,Yes,3,0,-1,8,5
2022-09-13 10:40:35,2022-09-13 10:40:54,IP Address,128.62.19.137,100,19,True,2022-09-13 10:40:54,R_3DphksIEAyufKnV,,,,,30.2887,-97.7398,qr,EN,7,No,3,0,0,7,7
2022-09-13 10:40:39,2022-09-13 10:40:56,IP Address,128.62.17.25,100,17,True,2022-09-13 10:40:57,R_25yhUmd41xBTlzc,,,,,30.2887,-97.7398,qr,EN,1,No,3,0,-1,1,2
2022-09-13 10:40:36,2022-09-13 10:40:57,IP Address,128.62.18.37,100,21,True,2022-09-13 10:40:58,R_1opqXPVUpqGNW0m,,,,,30.2887,-97.7398,qr,EN,10,Yes,2,1,-1,10,8
