StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q4,effect,null_effect,null_effect_cap,baseline,outcome
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is your baseline sickness level? (1: Completely healthy - 10: Very sick)



Read the green piece of paper - 1","In the random assignment, were you assigned to go to the hospital/urgent care?",effect,null_effect,null_effect_cap,baseline,outcome
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID4""}","{""ImportId"":""effect""}","{""ImportId"":""null_effect""}","{""ImportId"":""null_effect_cap""}","{""ImportId"":""baseline""}","{""ImportId"":""outcome""}"
2022-09-15 12:40:32,2022-09-15 12:40:44,IP Address,128.62.36.62,100,11,True,2022-09-15 12:40:44,R_9QYiAm2CQL6xiQF,,,,,30.2887,-97.7398,qr,EN,2,Yes,3,-1,0,2,1
2022-09-15 12:40:40,2022-09-15 12:40:47,IP Address,128.62.35.208,100,7,True,2022-09-15 12:40:47,R_O3tRirrF8sekkNj,,,,,30.2887,-97.7398,qr,EN,2,Yes,2,1,0,2,1
2022-09-15 12:40:33,2022-09-15 12:40:57,Spam,198.214.81.252,100,23,True,2022-09-15 12:40:57,R_2OSF3CD2QwnASlH,,,,,30.2887,-97.7398,qr,EN,2,No,2,0,0,2,2
2022-09-15 12:40:46,2022-09-15 12:41:00,Spam,128.62.35.67,100,13,True,2022-09-15 12:41:00,R_xlmcMjGxb8qkTux,,,,,30.2887,-97.7398,qr,EN,4,No,3,0,0,4,4
2022-09-15 12:40:46,2022-09-15 12:41:00,Spam,128.62.17.133,100,13,True,2022-09-15 12:41:00,R_294El4XkQjw9w10,,,,,30.2887,-97.7398,qr,EN,6,No,3,0,0,6,6
2022-09-15 12:40:29,2022-09-15 12:41:00,IP Address,128.62.17.202,100,30,True,2022-09-15 12:41:00,R_2xRX3Dhyp2yMqOA,,,,,30.2887,-97.7398,qr,EN,6,Yes,3,-1,-1,6,3
2022-09-15 12:40:53,2022-09-15 12:41:02,Spam,107.77.222.71,100,8,True,2022-09-15 12:41:02,R_Dpztwp3mpDboF2h,,,,,32.7797,-96.8022,qr,EN,7,Yes,4,0,0,7,3
2022-09-15 12:40:59,2022-09-15 12:41:13,IP Address,128.62.44.243,100,13,True,2022-09-15 12:41:13,R_3dWe0N8NGqEAEiI,,,,,30.2887,-97.7398,qr,EN,4,No,4,-1,0,4,5
2022-09-15 12:41:11,2022-09-15 12:41:32,IP Address,128.62.18.173,100,20,True,2022-09-15 12:41:32,R_2tKXzPlaGBkkKJ0,,,,,30.2887,-97.7398,qr,EN,8,Yes,4,-1,0,8,4
2022-09-15 12:41:36,2022-09-15 12:41:44,Spam,128.62.40.87,100,7,True,2022-09-15 12:41:44,R_12wZXBYc7ntRuS6,,,,,30.2887,-97.7398,qr,EN,10,Yes,3,1,-1,10,7
2022-09-15 12:40:59,2022-09-15 12:41:46,Spam,128.62.17.70,100,46,True,2022-09-15 12:41:47,R_1ImYQZoYFpB068y,,,,,30.2887,-97.7398,qr,EN,4,No,4,-1,-1,4,5
