Category: All categories

Region,taylor swift: (2/26/20 - 2/26/21)
District of Columbia,100
Rhode Island,99
Massachusetts,93
Utah,86
New Hampshire,85
Vermont,82
Maine,81
Connecticut,79
Tennessee,73
Minnesota,72
Montana,71
Virginia,71
Colorado,71
Pennsylvania,70
Washington,70
Illinois,69
Nebraska,68
Oregon,68
Missouri,68
Wisconsin,67
New Jersey,65
California,65
South Dakota,65
Kentucky,63
North Dakota,63
Michigan,63
Idaho,63
Indiana,62
Iowa,62
North Carolina,61
Kansas,61
Maryland,60
West Virginia,60
Delaware,60
Ohio,60
Arizona,59
New York,58
Alabama,57
Texas,55
Oklahoma,54
Georgia,54
Alaska,54
Wyoming,53
Arkansas,52
South Carolina,52
New Mexico,52
Louisiana,49
Florida,48
Hawaii,47
Mississippi,44
Nevada,44
