"id","state","income","employed","subscribed","survey"
1,"CA",79539.1386002612,NA,0,"April2022"
2,"NY",88347.026737621,NA,1,"April2022"
3,"CA",91822.5513320813,NA,1,"April2022"
4,"CA",77899.9385508133,NA,1,"April2022"
5,"NY",75958.2907427133,NA,0,"April2022"
6,"NY",96731.0184763589,NA,1,"April2022"
7,"CA",52700.9713570683,NA,0,"April2022"
8,"CA",77848.2481926829,NA,1,"April2022"
9,"CA",107937.355723515,NA,1,"April2022"
10,"NY",72435.2482483181,NA,1,"April2022"
11,"CA",88466.2100406215,NA,0,"April2022"
12,"CA",113724.144006181,NA,1,"April2022"
13,"CA",96613.1803740164,NA,0,"April2022"
14,"CA",66551.745139345,NA,1,"April2022"
15,"NY",84176.8528151402,NA,0,"April2022"
16,"CA",91465.8512626913,NA,1,"April2022"
17,"CA",71751.2014637671,NA,0,"April2022"
18,"NY",71562.5102344367,NA,0,"April2022"
19,"NY",65375.5150419056,NA,0,"April2022"
20,"NY",75848.7370839301,NA,1,"April2022"
21,"NY",95451.4815850694,NA,1,"April2022"
22,"CA",97804.1968660069,NA,1,"April2022"
23,"CA",106671.966866315,NA,1,"April2022"
24,"NY",80147.4560002597,NA,0,"April2022"
25,"CA",67044.8899750002,NA,1,"April2022"
26,"NY",77710.0265172012,NA,1,"April2022"
27,"NY",96837.7983619539,NA,0,"April2022"
28,"CA",83656.0883415216,NA,1,"April2022"
29,"CA",58373.6237718099,NA,1,"April2022"
30,"NY",91042.1141620909,NA,1,"April2022"
31,"CA",85175.3858458046,NA,1,"April2022"
32,"NY",93047.1271356488,NA,0,"April2022"
33,"CA",91771.1197263979,NA,0,"April2022"
34,"CA",55839.8422907007,NA,0,"April2022"
35,"CA",75317.2989498514,NA,1,"April2022"
36,"CA",91528.6223154808,NA,1,"April2022"
37,"CA",78004.8147600187,NA,0,"April2022"
38,"CA",96455.4347113291,NA,1,"April2022"
39,"NY",90058.8934229429,NA,0,"April2022"
40,"NY",86028.1004754881,NA,0,"April2022"
41,"NY",77856.5943018545,NA,1,"April2022"
42,"NY",87118.6259367467,NA,1,"April2022"
43,"CA",94114.5031017775,NA,1,"April2022"
44,"NY",67287.0127594271,NA,0,"April2022"
45,"CA",79043.3780646288,NA,1,"April2022"
46,"CA",74301.8225732212,NA,1,"April2022"
47,"CA",105218.542979621,NA,0,"April2022"
48,"NY",81540.7392581275,NA,0,"April2022"
49,"NY",86888.1886796236,NA,1,"April2022"
50,"CA",85781.9873052012,NA,0,"April2022"
51,"CA",70884.9029647928,NA,0,"April2022"
52,"NY",87154.4454829912,NA,1,"April2022"
53,"NY",81563.6172326838,NA,1,"April2022"
54,"NY",64105.8239077013,NA,1,"April2022"
55,"NY",86025.6624490379,NA,1,"April2022"
56,"NY",92002.185132277,NA,1,"April2022"
57,"NY",98469.6892877265,NA,1,"April2022"
58,"CA",93287.2955762254,NA,0,"April2022"
59,"NY",66962.521524984,NA,1,"April2022"
60,"NY",82256.2921525555,NA,0,"April2022"
61,"CA",85739.4767816673,NA,1,"April2022"
62,"NY",85723.3347688649,NA,0,"April2022"
63,"NY",90681.1873589587,NA,0,"April2022"
64,"NY",81590.6401511624,NA,1,"April2022"
65,"CA",64814.5177575853,NA,0,"April2022"
66,"CA",53023.5202626035,NA,1,"April2022"
67,"NY",84020.8462349229,NA,1,"April2022"
68,"NY",87488.565612781,NA,0,"April2022"
69,"NY",84558.2927582241,NA,1,"April2022"
70,"NY",46044.8416600012,NA,1,"April2022"
71,"NY",81511.9294449388,NA,0,"April2022"
72,"CA",89450.9499863532,NA,0,"April2022"
73,"CA",64312.4080927729,NA,0,"April2022"
74,"CA",102820.199407164,NA,1,"April2022"
75,"NY",85352.6713926854,NA,0,"April2022"
76,"NY",93053.5772730522,NA,1,"April2022"
77,"CA",92766.1146411147,NA,1,"April2022"
78,"CA",94517.4557839854,NA,1,"April2022"
79,"NY",71981.293187469,NA,0,"April2022"
80,"CA",85812.751887568,NA,1,"April2022"
81,"CA",92024.9387292815,NA,0,"April2022"
82,"NY",95577.4269784855,NA,0,"April2022"
83,"NY",70614.7350122462,NA,0,"April2022"
84,"NY",98698.0113115561,NA,1,"April2022"
85,"CA",68068.7291253057,NA,1,"April2022"
86,"CA",90210.2044990813,NA,0,"April2022"
87,"NY",78458.2259973269,NA,1,"April2022"
88,"CA",81414.2920630381,NA,1,"April2022"
89,"CA",124646.820509334,NA,1,"April2022"
90,"NY",88072.7822335732,NA,1,"April2022"
91,"NY",116877.282857493,NA,1,"April2022"
92,"NY",82382.6086672367,NA,1,"April2022"
93,"NY",71737.1985811385,NA,1,"April2022"
94,"CA",70222.4776730084,NA,1,"April2022"
95,"CA",96560.8924130142,NA,0,"April2022"
96,"NY",91050.5382450569,NA,1,"April2022"
97,"NY",94471.5276561218,NA,0,"April2022"
98,"CA",86792.1402129657,NA,0,"April2022"
99,"CA",91882.730327363,NA,1,"April2022"
100,"CA",116318.468205217,NA,1,"April2022"
101,"CA",56231.7100525737,NA,0,"April2022"
102,"NY",110989.241389808,NA,0,"April2022"
103,"NY",99946.5216179383,NA,0,"April2022"
104,"NY",72835.7448492793,NA,0,"April2022"
105,"CA",113040.317919891,NA,0,"April2022"
106,"NY",85641.1828264965,NA,0,"April2022"
107,"CA",84203.9308210801,NA,1,"April2022"
108,"CA",94523.3199440687,NA,0,"April2022"
109,"NY",87205.118657631,NA,0,"April2022"
110,"NY",81750.1536900509,NA,0,"April2022"
111,"CA",68792.7387725812,NA,0,"April2022"
112,"NY",64099.042995646,NA,0,"April2022"
113,"NY",53739.2684205334,NA,1,"April2022"
114,"CA",89667.7094397446,NA,0,"April2022"
115,"CA",66295.4886508186,NA,1,"April2022"
116,"NY",89755.9271308065,NA,0,"April2022"
117,"CA",93985.9275255962,NA,1,"April2022"
118,"CA",98261.0130543941,NA,1,"April2022"
119,"NY",86963.3293020719,NA,0,"April2022"
120,"CA",94576.7738318308,NA,1,"April2022"
121,"CA",68665.2182806422,NA,1,"April2022"
122,"NY",92276.1589657191,NA,1,"April2022"
123,"CA",93857.6090595363,NA,1,"April2022"
124,"NY",63716.8591920882,NA,1,"April2022"
125,"NY",81932.7137771897,NA,1,"April2022"
126,"NY",66196.5050881916,NA,0,"April2022"
127,"NY",81896.4739432921,NA,0,"April2022"
128,"NY",81630.131426396,NA,1,"April2022"
129,"CA",102325.275620383,NA,1,"April2022"
130,"CA",93168.2772191712,NA,0,"April2022"
131,"NY",61793.9056465891,NA,0,"April2022"
132,"CA",83628.6530684656,NA,0,"April2022"
133,"NY",89964.6594589817,NA,0,"April2022"
134,"CA",60567.9656036609,NA,1,"April2022"
135,"CA",76425.6795123548,NA,1,"April2022"
136,"NY",62182.6779734417,NA,1,"April2022"
137,"CA",99458.3572840561,NA,0,"April2022"
138,"NY",88416.4520216936,NA,1,"April2022"
139,"CA",108360.220122524,NA,1,"April2022"
140,"CA",87614.3827535334,NA,1,"April2022"
141,"NY",84569.8637491457,NA,0,"April2022"
142,"CA",106571.459355206,NA,1,"April2022"
143,"CA",87392.2814415327,NA,1,"April2022"
144,"NY",90249.5538704564,NA,1,"April2022"
145,"NY",84199.0534207783,NA,1,"April2022"
146,"NY",64991.2581293274,NA,1,"April2022"
147,"CA",61331.2722661723,NA,1,"April2022"
148,"CA",81689.1948687456,NA,1,"April2022"
149,"NY",91056.8478322047,NA,0,"April2022"
150,"NY",92666.1840646498,NA,1,"April2022"
151,"CA",99702.6834569261,NA,0,"April2022"
152,"CA",78735.9287764958,NA,1,"April2022"
153,"NY",73672.873659903,NA,1,"April2022"
154,"NY",59680.2406485561,NA,1,"April2022"
155,"CA",89986.768756776,NA,1,"April2022"
156,"CA",99242.3911203245,NA,0,"April2022"
157,"CA",85673.2267578622,NA,0,"April2022"
158,"CA",99072.4291687597,NA,0,"April2022"
159,"NY",86155.736937472,NA,1,"April2022"
160,"CA",78441.7436870896,NA,0,"April2022"
161,"CA",105911.063381708,NA,1,"April2022"
162,"NY",111612.121476387,NA,1,"April2022"
163,"CA",69105.8548334529,NA,1,"April2022"
164,"CA",50078.2477328923,NA,0,"April2022"
165,"CA",98064.2317584889,NA,0,"April2022"
166,"CA",112394.383787841,NA,1,"April2022"
167,"CA",101185.107821202,NA,0,"April2022"
168,"NY",86004.3681963426,NA,1,"April2022"
169,"NY",70227.9096188664,NA,1,"April2022"
170,"CA",89254.8386826892,NA,1,"April2022"
171,"NY",52493.5664604052,NA,1,"April2022"
172,"CA",77814.5829680571,NA,1,"April2022"
173,"CA",94759.4879225967,NA,1,"April2022"
174,"CA",103671.114417461,NA,1,"April2022"
175,"CA",97999.1982075121,NA,0,"April2022"
176,"NY",54281.1265063044,NA,1,"April2022"
177,"CA",90421.4769952548,NA,1,"April2022"
178,"NY",95165.6202729985,NA,0,"April2022"
179,"CA",90465.229153687,NA,1,"April2022"
180,"NY",85685.8090134137,NA,1,"April2022"
181,"CA",85158.1250216077,NA,1,"April2022"
182,"CA",102209.97927489,NA,0,"April2022"
183,"CA",97961.2069525686,NA,0,"April2022"
184,"NY",67671.3790383614,NA,0,"April2022"
185,"CA",77052.5052991871,NA,1,"April2022"
186,"NY",96517.7819465681,NA,0,"April2022"
187,"NY",98899.4804555172,NA,0,"April2022"
188,"CA",100650.988372685,NA,0,"April2022"
189,"NY",93226.4178600611,NA,0,"April2022"
190,"NY",88292.5112111217,NA,0,"April2022"
191,"NY",72254.6943449585,NA,1,"April2022"
192,"NY",69804.4761245083,NA,1,"April2022"
193,"CA",79585.6753945758,NA,0,"April2022"
194,"NY",64220.1559719741,NA,1,"April2022"
195,"CA",81972.5898582708,NA,1,"April2022"
196,"CA",113039.130182412,NA,1,"April2022"
197,"CA",56281.6776941401,NA,1,"April2022"
198,"CA",86465.4172223268,NA,1,"April2022"
199,"NY",99547.0917915318,NA,1,"April2022"
200,"NY",99667.9560068993,NA,0,"April2022"
201,"CA",65158.4769010715,NA,1,"April2022"
202,"CA",96219.9406737827,NA,1,"April2022"
203,"NY",94192.8746691178,NA,1,"April2022"
204,"NY",66531.6420919055,NA,0,"April2022"
205,"CA",89965.3315452245,NA,0,"April2022"
206,"NY",75529.6013488792,NA,1,"April2022"
207,"CA",87987.3284076255,NA,0,"April2022"
208,"CA",80716.2115385065,NA,1,"April2022"
209,"NY",76151.4478192699,NA,0,"April2022"
210,"CA",60765.4384202771,NA,1,"April2022"
211,"NY",68092.7657925052,NA,1,"April2022"
212,"CA",79175.4766664002,NA,0,"April2022"
213,"NY",85778.3961347002,NA,1,"April2022"
214,"CA",93883.5353055954,NA,1,"April2022"
215,"CA",70996.5170486585,NA,1,"April2022"
216,"NY",85714.4453184085,NA,0,"April2022"
217,"NY",70842.9433420839,NA,1,"April2022"
218,"NY",69522.9983824449,NA,0,"April2022"
219,"NY",76742.6417194549,NA,1,"April2022"
220,"CA",75268.3740074214,NA,0,"April2022"
221,"NY",84255.3705410353,NA,0,"April2022"
222,"CA",104329.911320708,NA,1,"April2022"
223,"CA",80618.6830046062,NA,1,"April2022"
224,"CA",72183.9744575395,NA,1,"April2022"
225,"CA",91379.3890071661,NA,1,"April2022"
226,"CA",92530.3480099019,NA,0,"April2022"
227,"CA",100356.984683237,NA,0,"April2022"
228,"CA",108773.265237309,NA,0,"April2022"
229,"NY",58406.8360211192,NA,0,"April2022"
230,"NY",71073.5391172009,NA,0,"April2022"
231,"CA",81389.7795393611,NA,0,"April2022"
232,"CA",81161.3614212679,NA,1,"April2022"
233,"CA",75594.3274427606,NA,1,"April2022"
