What do you expect to learn in this course?,How comfortable are you with coding in R?,"Thinking forward to the end of the semester, what grade do you think you will get in this course?"
,6,A
How to apply statistics to real business problems/situations,3,A
"I am super passionate about data science as a prospective career so I hope to equip valuable skills and conceptual understandings that will make me an asset to any team. Namely, I hope to learn more about multiple regression models and machine learning. However, I am ecstatic to learn anything and everything in the realm of data science. ",4,A
Data Analytics ,6,A
Practical ways a business can build applications to apply statistics or machine learning to enhance performance. ,4,A
I would love to be better at coding and interpreting data! STA 301 was really overwhelming so I’m hoping to learn more this semester.,3,B+
I am not sure yet,3,A
Practice R,6,A
I am looking forward to deepening my knowledge from STA 301.,6,
"Time series, hopefully some machine learning (lasso/ridge regression), k nearest neighbor, stepwise regression, 3d models",5,A-
Unsure ,1,A
"I hope to expand on my skills that I learned in STA 301.. I really enjoyed that class and performed well even though it was fast-paced and hands on! Coding was challenging, but I aspire to become better at it! :)",7,
How to solve business problems using quantitative data,4,A
common data science methods & practices with business-relevant datasets,10,A
unsure,6,A
Further my knowledge in R,3,A-
,7,A
Not sure yet- hopefully to better develop data analytics skillset and understand thorough application,6,A
I hope to learn about regression models and trends.,5,A
,1,A-
,3,A
I want to apply data science and ML concepts in the world of business and management ,6,A
Not too sure,3,A-
