days_to_21,all,felony,misdemeanor,murder,manslaughter,rape,robbery,assault,alcohol,drunk_at_risk,dui
-1095,4844,1621,3223,35,3,15,133,457,1211,8,369
-1094,4402,1572,2830,27,1,9,129,384,980,3,279
-1093,4133,1472,2661,9,2,10,116,361,882,4,257
-1092,4248,1482,2766,27,1,12,130,357,950,5,282
-1091,4123,1431,2692,16,0,14,128,330,907,3,226
-1090,4236,1512,2724,21,1,11,149,383,915,6,243
-1089,4148,1443,2705,13,0,11,107,343,905,6,238
-1088,4189,1454,2735,20,0,6,126,360,938,4,251
-1087,4212,1450,2762,12,1,12,108,362,965,3,256
-1086,4168,1467,2701,21,0,8,103,351,946,3,262
-1085,4344,1529,2815,14,1,10,130,404,958,6,243
-1084,4176,1508,2668,8,1,17,121,366,892,1,253
-1083,4136,1413,2723,10,0,9,117,367,962,3,278
-1082,4236,1520,2716,17,1,18,127,347,938,1,237
-1081,4204,1463,2741,12,2,12,113,378,984,2,249
-1080,4338,1494,2844,15,1,7,117,375,1020,0,297
-1079,4228,1492,2736,16,0,15,115,382,916,1,251
-1078,4252,1509,2743,13,0,5,124,365,978,3,290
-1077,4190,1494,2696,13,1,14,118,331,911,3,254
-1076,4179,1477,2702,13,0,11,118,368,915,4,263
-1075,4383,1588,2795,21,0,10,137,394,884,5,263
-1074,4364,1566,2798,11,0,15,124,401,980,2,263
-1073,4331,1528,2803,18,1,10,127,360,957,3,286
-1072,4316,1525,2791,9,0,13,122,343,948,3,274
-1071,4235,1451,2784,10,0,9,118,365,922,2,281
-1070,4306,1579,2727,18,0,15,130,338,943,3,278
-1069,4370,1553,2817,12,0,11,107,387,962,1,269
-1068,4349,1559,2790,16,0,8,123,349,904,2,247
-1067,4397,1516,2881,16,2,12,103,390,1021,4,288
-1066,4389,1616,2773,11,1,10,130,398,991,2,259
-1065,4396,1625,2771,15,0,13,131,401,888,1,272
-1064,4279,1561,2718,10,1,10,132,339,965,3,296
-1063,4238,1525,2713,9,0,13,140,348,922,3,287
-1062,4505,1646,2859,16,1,13,108,366,997,1,300
-1061,4382,1527,2855,16,2,11,114,373,975,3,281
-1060,4460,1575,2885,16,1,13,118,360,1028,2,303
-1059,4435,1596,2839,16,2,10,126,366,1027,4,308
-1058,4496,1602,2894,19,1,8,124,355,1012,6,278
-1057,4242,1491,2751,17,0,7,120,301,938,2,273
-1056,4472,1620,2852,13,0,11,116,376,989,4,280
-1055,4539,1672,2867,12,0,17,131,355,1030,6,350
-1054,4513,1583,2930,7,0,10,130,361,1041,2,319
-1053,4487,1597,2890,18,0,7,131,365,1034,2,303
-1052,4425,1505,2920,16,1,12,118,374,992,4,305
-1051,4380,1584,2796,17,2,9,115,366,1010,4,314
-1050,4471,1554,2917,11,0,14,119,339,1017,3,292
-1049,4466,1584,2882,10,3,6,113,368,969,1,285
-1048,4534,1588,2946,18,1,15,127,372,996,0,292
-1047,4511,1551,2960,11,3,11,107,359,1064,6,318
-1046,4591,1538,3053,17,1,12,99,366,1035,2,323
-1045,4474,1618,2856,12,1,17,130,354,955,4,276
-1044,4536,1591,2945,12,1,12,116,355,1023,3,328
-1043,4439,1523,2916,14,3,10,110,361,963,3,297
-1042,4514,1605,2909,13,0,9,107,379,1044,3,328
-1041,4433,1558,2875,9,0,14,126,377,1032,2,309
-1040,4545,1612,2933,12,1,12,123,393,1018,8,308
-1039,4475,1603,2872,9,1,7,132,374,1045,5,345
-1038,4490,1540,2950,11,2,10,129,351,1043,4,292
-1037,4576,1650,2926,10,2,6,136,354,1012,4,331
-1036,4578,1602,2976,18,5,13,101,397,1074,3,299
-1035,4591,1662,2929,14,2,13,124,404,1011,3,302
-1034,4560,1597,2963,15,1,20,117,375,981,1,293
-1033,4646,1576,3070,14,2,14,129,416,1033,4,328
-1032,4529,1615,2914,17,1,9,116,398,1024,5,310
-1031,4700,1696,3004,19,1,21,128,393,1046,5,308
-1030,4795,1670,3125,13,0,11,130,381,1089,4,344
-1029,4704,1644,3060,17,0,11,139,407,1084,3,331
-1028,4642,1658,2984,11,2,11,120,398,975,3,284
-1027,4698,1682,3016,13,1,14,133,362,1039,2,325
-1026,4568,1676,2892,14,2,11,132,359,991,5,313
-1025,4602,1526,3076,12,2,13,114,399,1034,6,305
-1024,4599,1657,2942,8,2,11,124,385,1010,2,309
-1023,4493,1591,2902,13,0,12,109,351,1072,4,326
-1022,4662,1635,3027,12,1,15,131,373,1043,4,335
-1021,4609,1564,3045,15,2,10,129,396,1036,4,304
-1020,4588,1601,2987,8,1,12,124,377,1056,2,358
-1019,4675,1656,3019,9,2,10,119,393,1084,4,305
-1018,4662,1687,2975,11,3,13,131,387,1061,1,314
-1017,4724,1665,3059,15,0,12,134,409,1078,3,321
-1016,4789,1717,3072,11,1,10,133,373,1029,3,317
-1015,4649,1634,3015,17,2,10,140,348,1034,5,311
-1014,4566,1605,2961,10,1,11,144,403,1023,6,309
-1013,4715,1722,2993,10,0,13,110,407,1024,3,314
-1012,4742,1658,3084,10,2,11,117,408,1069,1,312
-1011,4714,1631,3083,13,1,10,117,367,1081,1,342
-1010,4727,1612,3115,19,1,7,116,409,1097,2,355
-1009,4803,1639,3164,7,2,13,114,384,1139,2,371
-1008,4589,1596,2993,12,1,15,105,396,1070,6,340
-1007,4743,1688,3055,16,1,14,124,367,1069,5,341
-1006,4753,1610,3143,14,1,9,117,357,1115,5,367
-1005,4832,1726,3106,19,3,12,143,421,1056,2,325
-1004,4837,1698,3139,13,2,13,116,373,1087,4,326
-1003,4763,1648,3115,10,2,14,101,369,1076,3,373
-1002,4761,1607,3154,11,0,10,110,421,1086,0,356
-1001,4813,1673,3140,9,0,18,132,387,1126,1,367
-1000,4756,1669,3087,19,0,13,128,384,1059,4,343
-999,4668,1649,3019,13,1,9,133,379,1037,4,341
-998,4771,1675,3096,15,1,9,139,391,1119,3,355
-997,4757,1607,3150,10,0,16,134,376,1055,0,337
-996,4661,1552,3109,12,2,18,97,362,1094,3,339
-995,4796,1760,3036,15,1,13,155,380,1094,4,379
-994,4854,1739,3115,11,4,15,128,372,1104,2,356
-993,4758,1587,3171,17,3,12,119,399,1087,2,362
-992,4794,1739,3055,8,1,15,146,421,1023,2,326
-991,4750,1628,3122,13,0,17,116,394,1058,3,332
-990,4749,1724,3025,15,1,13,132,383,1042,6,317
-989,4905,1661,3244,20,1,14,136,389,1113,1,366
-988,4764,1623,3141,13,1,7,117,387,1061,5,326
-987,4737,1603,3134,14,1,11,129,363,1120,8,386
-986,4849,1665,3184,11,2,14,145,381,1108,4,389
-985,4947,1763,3184,23,2,7,128,381,1075,4,371
-984,4836,1680,3156,8,0,6,148,390,1098,3,349
-983,4765,1648,3117,7,0,9,126,399,1039,3,325
-982,4931,1698,3233,11,2,10,128,377,1117,3,354
-981,4802,1612,3190,10,1,8,128,401,1116,4,328
-980,4862,1705,3157,15,2,7,138,389,1060,4,345
-979,4921,1712,3209,12,1,3,133,417,1064,2,357
-978,4829,1694,3135,14,3,10,149,397,1063,4,354
-977,4978,1657,3321,15,3,16,116,389,1112,5,372
-976,4906,1619,3287,8,0,12,119,397,1191,3,382
-975,4874,1734,3140,15,1,10,150,382,1099,6,341
-974,4842,1685,3157,12,0,11,125,397,1145,3,382
-973,4844,1681,3163,16,0,9,111,377,1092,1,346
-972,4779,1667,3112,13,1,15,135,373,1073,5,327
-971,4784,1692,3092,17,2,12,127,384,1088,5,328
-970,4903,1731,3172,17,5,17,126,390,1099,3,343
-969,4861,1666,3195,17,1,10,114,354,1056,3,349
-968,4935,1677,3258,9,3,13,120,379,1120,4,355
-967,4743,1674,3069,21,2,11,128,368,1097,4,357
-966,4892,1652,3240,13,0,14,126,396,1125,7,394
-965,5010,1700,3310,15,0,11,144,408,1109,3,349
