"id","water_bill","barrel","barrel_num","yard_size","home_garden","attitude_env","temperature","county","year","post","treat"
2,258.76,"No barrel",0,39479,"Home garden",7,61.7815625,"Comal",2018,0,0
4,254.84,"No barrel",0,28259,"No home garden",2,72.970625,"Guadalupe",2018,0,0
7,210.42,"No barrel",0,7041,"No home garden",3,64.2228125,"Comal",2018,0,0
8,255.56,"No barrel",0,29434,"No home garden",4,74.3946875,"Travis",2018,0,0
10,252.21,"No barrel",0,29741,"Home garden",9,68.495,"Guadalupe",2018,0,0
17,181.79,"No barrel",0,14641,"No home garden",8,48.7615625,"Hays",2018,0,0
19,174.12,"No barrel",0,6782,"No home garden",9,56.695625,"Comal",2018,0,0
20,231.34,"No barrel",0,19185,"No home garden",5,63.8159375,"Comal",2018,0,0
21,219.84,"No barrel",0,26319,"Home garden",7,71.5465625,"Travis",2018,0,0
24,183.51,"No barrel",0,8066,"No home garden",8,73.5809375,"Guadalupe",2018,0,0
25,179.93,"No barrel",0,9509,"No home garden",6,72.3603125,"Travis",2018,0,0
27,265.28,"No barrel",0,20160,"No home garden",2,77.039375,"Comal",2018,0,0
28,266.37,"No barrel",0,28510,"Home garden",7,74.8015625,"Comal",2018,0,0
30,223.17,"No barrel",0,11933,"No home garden",4,74.598125,"Travis",2018,0,0
31,265.78,"No barrel",0,36989,"Home garden",5,57.509375,"Guadalupe",2018,0,0
32,203.82,"No barrel",0,13489,"No home garden",5,78.26,"Comal",2018,0,0
33,250.57,"No barrel",0,17570,"No home garden",2,68.901875,"Comal",2018,0,0
34,225.84,"No barrel",0,17197,"No home garden",3,77.2428125,"Guadalupe",2018,0,0
35,261.62,"No barrel",0,37644,"Home garden",6,64.42625,"Guadalupe",2018,0,0
36,257.22,"No barrel",0,33476,"Home garden",7,73.5809375,"Guadalupe",2018,0,0
37,233.64,"No barrel",0,24009,"No home garden",1,59.54375,"Guadalupe",2018,0,0
39,271.29,"No barrel",0,31316,"Home garden",6,75.005,"Travis",2018,0,0
40,260.6,"No barrel",0,34542,"Home garden",5,76.8359375,"Comal",2018,0,0
41,233.32,"No barrel",0,14983,"No home garden",4,72.7671875,"Hays",2018,0,0
44,189.38,"No barrel",0,15527,"No home garden",2,69.1053125,"Travis",2018,0,0
46,268.69,"No barrel",0,28308,"No home garden",2,76.0221875,"Guadalupe",2018,0,0
47,222.04,"No barrel",0,26454,"No home garden",5,59.54375,"Guadalupe",2018,0,0
48,256.28,"No barrel",0,29906,"No home garden",4,75.81875,"Travis",2018,0,0
49,213.61,"No barrel",0,18501,"Home garden",9,70.1225,"Comal",2018,0,0
50,248.19,"No barrel",0,26720,"No home garden",5,78.8703125,"Hays",2018,0,0
51,270.18,"No barrel",0,35343,"Home garden",6,69.9190625,"Comal",2018,0,0
52,216.79,"No barrel",0,12211,"No home garden",6,71.9534375,"Guadalupe",2018,0,0
55,210.69,"No barrel",0,12990,"No home garden",4,75.005,"Travis",2018,0,0
57,239.13,"No barrel",0,27521,"Home garden",7,65.8503125,"Travis",2018,0,0
59,250.85,"No barrel",0,26410,"No home garden",4,70.93625,"Comal",2018,0,0
64,186,"No barrel",0,13646,"No home garden",6,63.8159375,"Travis",2018,0,0
65,223.82,"No barrel",0,20140,"No home garden",3,55.881875,"Travis",2018,0,0
67,219.04,"No barrel",0,11316,"No home garden",8,73.9878125,"Travis",2018,0,0
68,287.82,"No barrel",0,23572,"No home garden",4,79.480625,"Hays",2018,0,0
69,253.42,"No barrel",0,29730,"No home garden",5,70.529375,"Guadalupe",2018,0,0
70,206.44,"No barrel",0,12860,"No home garden",6,67.0709375,"Guadalupe",2018,0,0
71,213.55,"No barrel",0,13761,"No home garden",5,58.1196875,"Hays",2018,0,0
73,227.28,"No barrel",0,31993,"Home garden",5,68.495,"Travis",2018,0,0
75,254.44,"No barrel",0,36695,"Home garden",5,61.7815625,"Guadalupe",2018,0,0
76,223,"No barrel",0,16829,"No home garden",1,55.2715625,"Travis",2018,0,0
77,212.64,"No barrel",0,26067,"Home garden",7,63.0021875,"Comal",2018,0,0
78,224.06,"No barrel",0,23897,"No home garden",7,70.1225,"Comal",2018,0,0
79,234.41,"No barrel",0,34248,"Home garden",7,70.1225,"Hays",2018,0,0
80,257.09,"No barrel",0,28608,"Home garden",7,75.81875,"Hays",2018,0,0
82,244.96,"No barrel",0,24637,"Home garden",6,67.8846875,"Comal",2018,0,0
83,252.02,"No barrel",0,29531,"Home garden",6,64.6296875,"Comal",2018,0,0
84,214.61,"No barrel",0,18565,"No home garden",5,66.05375,"Hays",2018,0,0
85,219.13,"No barrel",0,19108,"No home garden",1,75.411875,"Guadalupe",2018,0,0
86,245.27,"No barrel",0,30574,"Home garden",6,75.6153125,"Guadalupe",2018,0,0
87,229.19,"No barrel",0,20286,"No home garden",4,63.0021875,"Hays",2018,0,0
88,263.65,"No barrel",0,16218,"No home garden",4,71.1396875,"Guadalupe",2018,0,0
89,182.68,"No barrel",0,18107,"No home garden",7,66.6640625,"Hays",2018,0,0
90,218.32,"No barrel",0,23129,"Home garden",8,73.9878125,"Travis",2018,0,0
93,247.13,"No barrel",0,12219,"No home garden",2,85.990625,"Guadalupe",2018,0,0
94,217.41,"No barrel",0,27721,"Home garden",6,53.03375,"Guadalupe",2018,0,0
95,244.46,"No barrel",0,18977,"No home garden",4,81.515,"Comal",2018,0,0
98,193.69,"No barrel",0,16333,"No home garden",6,63.6125,"Hays",2018,0,0
99,267.4,"No barrel",0,26412,"No home garden",6,72.3603125,"Hays",2018,0,0
101,218.11,"No barrel",0,22827,"No home garden",3,57.1025,"Hays",2018,0,0
102,270.05,"No barrel",0,28279,"No home garden",4,67.274375,"Comal",2018,0,0
104,178.38,"No barrel",0,11176,"No home garden",6,55.881875,"Travis",2018,0,0
105,175.22,"No barrel",0,10682,"No home garden",6,56.4921875,"Guadalupe",2018,0,0
106,250.71,"No barrel",0,25144,"No home garden",4,70.3259375,"Guadalupe",2018,0,0
107,239.01,"No barrel",0,22087,"No home garden",5,70.3259375,"Guadalupe",2018,0,0
109,221.65,"No barrel",0,26079,"No home garden",5,69.715625,"Hays",2018,0,0
110,212.91,"No barrel",0,21691,"No home garden",5,63.8159375,"Hays",2018,0,0
113,230.27,"No barrel",0,26331,"Home garden",8,75.6153125,"Comal",2018,0,0
114,257.66,"No barrel",0,32150,"No home garden",4,67.8846875,"Travis",2018,0,0
119,218.62,"No barrel",0,21556,"No home garden",4,73.1740625,"Comal",2018,0,0
124,234.73,"No barrel",0,19757,"No home garden",5,88.2284375,"Guadalupe",2018,0,0
125,251.71,"No barrel",0,24519,"No home garden",5,71.75,"Hays",2018,0,0
126,194.99,"No barrel",0,27526,"No home garden",6,47.1340625,"Comal",2018,0,0
127,225.89,"No barrel",0,22271,"No home garden",6,68.495,"Travis",2018,0,0
128,235.78,"No barrel",0,17550,"No home garden",3,74.598125,"Guadalupe",2018,0,0
129,216.38,"No barrel",0,22228,"No home garden",3,55.475,"Comal",2018,0,0
132,216.38,"No barrel",0,19544,"No home garden",7,56.8990625,"Travis",2018,0,0
134,223.57,"No barrel",0,14885,"No home garden",7,69.9190625,"Guadalupe",2018,0,0
135,281.43,"No barrel",0,27255,"No home garden",5,96.569375,"Guadalupe",2018,0,0
136,233.91,"No barrel",0,22252,"No home garden",5,66.460625,"Guadalupe",2018,0,0
138,227,"No barrel",0,28339,"No home garden",4,58.323125,"Comal",2018,0,0
142,243.03,"No barrel",0,26763,"No home garden",5,84.363125,"Travis",2018,0,0
143,241.5,"No barrel",0,20645,"No home garden",6,68.2915625,"Guadalupe",2018,0,0
144,212.11,"No barrel",0,11961,"No home garden",4,73.1740625,"Comal",2018,0,0
145,187.78,"No barrel",0,17118,"No home garden",7,71.343125,"Comal",2018,0,0
146,228.93,"No barrel",0,28364,"Home garden",6,68.088125,"Hays",2018,0,0
150,213.13,"No barrel",0,22450,"No home garden",7,65.24,"Guadalupe",2018,0,0
152,264.03,"No barrel",0,27979,"No home garden",2,75.411875,"Guadalupe",2018,0,0
153,170.94,"No barrel",0,6885,"No home garden",7,64.42625,"Guadalupe",2018,0,0
155,223.55,"No barrel",0,18034,"No home garden",5,75.005,"Travis",2018,0,0
157,245.53,"No barrel",0,13369,"No home garden",2,80.70125,"Travis",2018,0,0
160,174.87,"No barrel",0,6049,"No home garden",6,66.05375,"Guadalupe",2018,0,0
161,217.44,"No barrel",0,28028,"No home garden",6,70.7328125,"Hays",2018,0,0
162,168.98,"No barrel",0,24006,"Home garden",8,55.6784375,"Travis",2018,0,0
163,193.86,"No barrel",0,22052,"No home garden",4,54.8646875,"Travis",2018,0,0
164,219.74,"No barrel",0,27177,"No home garden",6,70.93625,"Comal",2018,0,0
167,242,"No barrel",0,34602,"No home garden",4,71.5465625,"Comal",2018,0,0
168,235.19,"No barrel",0,24962,"No home garden",5,68.088125,"Hays",2018,0,0
169,168.35,"No barrel",0,7522,"No home garden",9,77.6496875,"Guadalupe",2018,0,0
170,256.56,"No barrel",0,30832,"No home garden",3,66.6640625,"Hays",2018,0,0
171,278.48,"No barrel",0,33357,"Home garden",7,79.6840625,"Travis",2018,0,0
172,261.39,"No barrel",0,28891,"No home garden",4,71.9534375,"Hays",2018,0,0
174,254.93,"No barrel",0,22879,"No home garden",1,75.005,"Travis",2018,0,0
177,240.35,"No barrel",0,38750,"No home garden",4,57.91625,"Travis",2018,0,0
178,215.35,"No barrel",0,10549,"No home garden",6,73.3775,"Hays",2018,0,0
179,244.16,"No barrel",0,16835,"No home garden",2,75.6153125,"Hays",2018,0,0
180,261.26,"No barrel",0,29641,"No home garden",5,59.7471875,"Comal",2018,0,0
181,170.42,"No barrel",0,1950,"No home garden",7,67.68125,"Guadalupe",2018,0,0
184,217.84,"No barrel",0,23409,"No home garden",5,68.2915625,"Hays",2018,0,0
185,292.06,"No barrel",0,36306,"No home garden",3,84.1596875,"Comal",2018,0,0
186,195.83,"No barrel",0,14235,"No home garden",8,75.2084375,"Travis",2018,0,0
