Category: All categories

Week,taylor swift: (United States)
2020-03-01,25
2020-03-08,18
2020-03-15,22
2020-03-22,34
2020-03-29,18
2020-04-05,18
2020-04-12,18
2020-04-19,27
2020-04-26,19
2020-05-03,18
2020-05-10,20
2020-05-17,32
2020-05-24,24
2020-05-31,17
2020-06-07,16
2020-06-14,15
2020-06-21,15
2020-06-28,15
2020-07-05,16
2020-07-12,15
2020-07-19,100
2020-07-26,79
2020-08-02,41
2020-08-09,30
2020-08-16,29
2020-08-23,26
2020-08-30,25
2020-09-06,21
2020-09-13,32
2020-09-20,20
2020-09-27,23
2020-10-04,20
2020-10-11,19
2020-10-18,19
2020-10-25,19
2020-11-01,15
2020-11-08,19
2020-11-15,24
2020-11-22,34
2020-11-29,26
2020-12-06,71
2020-12-13,59
2020-12-20,35
2020-12-27,33
2021-01-03,25
2021-01-10,24
2021-01-17,22
2021-01-24,21
2021-01-31,21
2021-02-07,43
2021-02-14,27
2021-02-21,24
