chain,location,wage,full,part,date
wendys,PA,5,20,20,feb1992
wendys,PA,5.5,6,26,feb1992
burgerking,PA,5,50,35,feb1992
burgerking,PA,5,10,17,feb1992
kfc,PA,5.25,2,8,feb1992
kfc,PA,5,2,10,feb1992
roys,PA,5,2.5,20,feb1992
burgerking,PA,5,40,30,feb1992
burgerking,PA,5,8,27,feb1992
burgerking,PA,5.5,10.5,30,feb1992
burgerking,PA,5,6,9,feb1992
kfc,PA,5.25,5,17.5,feb1992
kfc,PA,5,1,15,feb1992
roys,PA,5,10,6,feb1992
roys,PA,5,20,13,feb1992
roys,PA,5,5,23,feb1992
roys,PA,5,10,12.5,feb1992
roys,PA,5,27,12,feb1992
roys,PA,5,4,28,feb1992
roys,PA,5,10,15,feb1992
wendys,PA,5,0,28,feb1992
roys,PA,5,3,16,feb1992
roys,PA,5,7,16,feb1992
burgerking,PA,4.25,21,9,feb1992
burgerking,PA,4.25,10,20,feb1992
burgerking,PA,4.25,0,27,feb1992
burgerking,PA,4.5,17,4,feb1992
burgerking,PA,4.25,0,24,feb1992
burgerking,PA,4.5,25,15,feb1992
burgerking,PA,4.25,6,20,feb1992
kfc,PA,4.5,6,10,feb1992
kfc,PA,4.25,0,15,feb1992
wendys,PA,4.67,30,10,feb1992
wendys,PA,4.75,8,25,feb1992
wendys,PA,4.25,0,15,feb1992
wendys,PA,4.25,10,20,feb1992
kfc,PA,4.75,2,12,feb1992
burgerking,PA,4.25,20,25,feb1992
burgerking,PA,4.5,20,55,feb1992
burgerking,PA,4.25,15,50,feb1992
burgerking,PA,4.25,1,37.5,feb1992
kfc,PA,4.25,0,9,feb1992
wendys,PA,4.25,30,10,feb1992
wendys,PA,4.25,4,19,feb1992
wendys,PA,4.25,12,20,feb1992
burgerking,PA,4.75,8,18,feb1992
burgerking,PA,4.87,0,25,feb1992
burgerking,PA,4.75,2,21,feb1992
kfc,PA,4.5,1,9,feb1992
roys,PA,4.25,5,20,feb1992
burgerking,PA,4.25,25,20,feb1992
burgerking,PA,4.25,37.5,2,feb1992
burgerking,PA,4.75,5,27,feb1992
burgerking,PA,4.5,25,8,feb1992
burgerking,PA,4.25,6,30,feb1992
burgerking,PA,4.25,8,28,feb1992
burgerking,PA,4.5,32,25,feb1992
kfc,PA,4.5,1,9,feb1992
roys,PA,4.5,2,16,feb1992
wendys,PA,4.75,20,10,feb1992
burgerking,PA,4.25,14,15,feb1992
burgerking,PA,4.75,7.5,14,feb1992
roys,PA,4.75,4,16,feb1992
roys,PA,4.5,5,20,feb1992
roys,PA,4.75,6,22.5,feb1992
burgerking,PA,4.25,2.5,20,feb1992
burgerking,PA,4.35,2,30,feb1992
roys,centralNJ,5,2,2,feb1992
kfc,centralNJ,5.12,10,8,feb1992
burgerking,northNJ,5.56,30,15,feb1992
kfc,centralNJ,5,4,10,feb1992
kfc,northNJ,5,6,4,feb1992
kfc,centralNJ,5.25,4,16,feb1992
roys,northNJ,5,12,20,feb1992
wendys,centralNJ,5.5,8,12,feb1992
roys,northNJ,5,6,50,feb1992
roys,northNJ,5,13,10,feb1992
wendys,northNJ,5,25,13,feb1992
wendys,northNJ,5,8,14.5,feb1992
burgerking,shoreNJ,5.5,7,20,feb1992
burgerking,centralNJ,5,10,6,feb1992
kfc,centralNJ,5,0,25,feb1992
wendys,northNJ,5,4,26,feb1992
kfc,centralNJ,5,6.5,7.5,feb1992
roys,centralNJ,5.25,20,20,feb1992
roys,centralNJ,5.5,15,25,feb1992
wendys,centralNJ,5.05,10,30,feb1992
burgerking,northNJ,5,5,17,feb1992
burgerking,northNJ,5.12,8.5,6.5,feb1992
burgerking,northNJ,5.25,4.5,30,feb1992
burgerking,northNJ,5.12,35,15,feb1992
kfc,northNJ,5,10,5,feb1992
roys,northNJ,5,8,25,feb1992
roys,northNJ,5,12,18,feb1992
roys,northNJ,5,4,30,feb1992
wendys,northNJ,5,20,10,feb1992
burgerking,northNJ,5,12,33,feb1992
burgerking,northNJ,5,10,20,feb1992
roys,shoreNJ,5.62,4,20,feb1992
roys,northNJ,5,5,42,feb1992
wendys,northNJ,5,8,19,feb1992
burgerking,northNJ,5,23,10,feb1992
burgerking,northNJ,5,0,10,feb1992
roys,northNJ,5.1,15,35,feb1992
roys,northNJ,5.25,25,10,feb1992
roys,northNJ,5.5,15,8,feb1992
burgerking,southNJ,5,13,12,feb1992
burgerking,southNJ,5,10,18,feb1992
kfc,southNJ,5,0,13,feb1992
kfc,southNJ,5.05,4,11,feb1992
kfc,southNJ,5.5,0,15,feb1992
kfc,southNJ,5,5,10,feb1992
burgerking,northNJ,5.3,5,16,feb1992
kfc,northNJ,5,3,8,feb1992
kfc,northNJ,5,8,12,feb1992
kfc,shoreNJ,5,5,9,feb1992
kfc,shoreNJ,5,3,14,feb1992
roys,southNJ,5.25,20,46,feb1992
roys,shoreNJ,5.15,18,45,feb1992
wendys,shoreNJ,5.42,4,16,feb1992
burgerking,southNJ,5,10,10,feb1992
roys,southNJ,5,2.5,27,feb1992
wendys,southNJ,5.06,14,7,feb1992
wendys,southNJ,5.05,11.5,10,feb1992
wendys,northNJ,5,4.5,20,feb1992
burgerking,northNJ,5,12,23,feb1992
burgerking,northNJ,5,14,12,feb1992
burgerking,northNJ,5.25,25,10,feb1992
burgerking,northNJ,5,10,8,feb1992
burgerking,northNJ,5,10,20,feb1992
roys,northNJ,5.05,13,31,feb1992
wendys,northNJ,5,12,35,feb1992
wendys,northNJ,5.75,5,10,feb1992
burgerking,northNJ,5,3,60,feb1992
burgerking,centralNJ,4.5,16,30,feb1992
burgerking,centralNJ,4.75,10,6,feb1992
kfc,centralNJ,4.25,6,13,feb1992
roys,centralNJ,4.75,10,12,feb1992
roys,centralNJ,4.5,5,30,feb1992
burgerking,centralNJ,4.37,12,40,feb1992
burgerking,centralNJ,4.25,15,20,feb1992
burgerking,centralNJ,4.25,10,30,feb1992
burgerking,centralNJ,4.37,6.5,23.5,feb1992
kfc,centralNJ,4.5,0,25,feb1992
roys,centralNJ,4.6,3,25,feb1992
roys,centralNJ,4.5,6,22,feb1992
roys,centralNJ,4.37,0,20,feb1992
roys,centralNJ,4.25,15,25,feb1992
burgerking,southNJ,4.25,4,31,feb1992
kfc,southNJ,4.45,5,12,feb1992
roys,southNJ,4.35,3,15,feb1992
burgerking,northNJ,4.5,0,25,feb1992
burgerking,centralNJ,4.75,15,15,feb1992
kfc,northNJ,4.5,0,7,feb1992
roys,northNJ,4.5,10,20.5,feb1992
roys,northNJ,4.95,5,15,feb1992
wendys,northNJ,4.5,25,6.5,feb1992
burgerking,centralNJ,4.25,15,20,feb1992
burgerking,northNJ,4.25,26,6,feb1992
burgerking,northNJ,4.5,20,15,feb1992
burgerking,northNJ,4.25,15,18,feb1992
burgerking,northNJ,4.5,5,15,feb1992
burgerking,northNJ,4.25,30,10,feb1992
burgerking,northNJ,4.25,0,27,feb1992
burgerking,northNJ,4.5,35,20,feb1992
burgerking,northNJ,4.75,0,35,feb1992
kfc,northNJ,4.25,0,7,feb1992
kfc,northNJ,4.25,3,15,feb1992
roys,northNJ,4.25,8,32,feb1992
roys,northNJ,4.5,6,25,feb1992
wendys,northNJ,4.25,4.5,20,feb1992
burgerking,centralNJ,4.5,4,30,feb1992
burgerking,centralNJ,4.25,11,11,feb1992
burgerking,shoreNJ,4.5,0,15,feb1992
burgerking,southNJ,4.25,3,35,feb1992
burgerking,shoreNJ,4.25,8,22,feb1992
burgerking,shoreNJ,4.25,4,18,feb1992
burgerking,northNJ,4.25,2.5,30,feb1992
kfc,centralNJ,4.25,18,3,feb1992
kfc,northNJ,4.25,0,15,feb1992
kfc,centralNJ,4.25,0,12,feb1992
kfc,shoreNJ,4.25,0,20,feb1992
roys,shoreNJ,4.75,60,40,feb1992
roys,shoreNJ,4.75,4.5,15,feb1992
roys,southNJ,4.4,12,13,feb1992
wendys,shoreNJ,4.62,40,20,feb1992
burgerking,northNJ,4.25,0,40,feb1992
burgerking,northNJ,4.25,0,35,feb1992
burgerking,northNJ,4.25,6,11,feb1992
burgerking,northNJ,4.25,13.5,15,feb1992
roys,northNJ,4.25,17,14,feb1992
burgerking,centralNJ,4.75,0,35,feb1992
burgerking,centralNJ,4.75,20,25,feb1992
burgerking,centralNJ,4.25,4,22.5,feb1992
burgerking,northNJ,4.25,10,15,feb1992
burgerking,northNJ,4.75,12,19,feb1992
burgerking,centralNJ,4.5,0,32,feb1992
burgerking,northNJ,4.25,1,38,feb1992
burgerking,centralNJ,4.25,8,10,feb1992
kfc,centralNJ,4.5,15,0,feb1992
roys,centralNJ,4.5,7,25.5,feb1992
roys,centralNJ,4.5,20,20,feb1992
roys,centralNJ,4.75,6,16,feb1992
roys,centralNJ,4.62,5.5,25,feb1992
roys,northNJ,4.25,15,25,feb1992
wendys,centralNJ,4.5,0,40,feb1992
wendys,centralNJ,4.75,10,15,feb1992
wendys,northNJ,4.25,15,35,feb1992
burgerking,northNJ,4.8,8,20,feb1992
burgerking,northNJ,4.5,0,20,feb1992
burgerking,northNJ,4.67,0,27.5,feb1992
burgerking,northNJ,4.87,8,15,feb1992
kfc,northNJ,4.5,2,7,feb1992
kfc,northNJ,4.5,6,12,feb1992
roys,northNJ,4.75,0,40,feb1992
wendys,northNJ,4.75,8,32,feb1992
burgerking,northNJ,4.25,5,20,feb1992
burgerking,shoreNJ,4.25,2,32,feb1992
burgerking,northNJ,4.75,0,24,feb1992
burgerking,northNJ,4.85,6,40,feb1992
burgerking,shoreNJ,4.75,11,20,feb1992
burgerking,northNJ,4.62,15,21,feb1992
kfc,shoreNJ,4.25,13,12,feb1992
kfc,northNJ,4.25,2,12,feb1992
kfc,shoreNJ,4.5,8,3,feb1992
kfc,shoreNJ,4.5,3,15,feb1992
kfc,northNJ,4.62,12,4,feb1992
kfc,shoreNJ,4.5,2,9,feb1992
roys,northNJ,4.75,10,20,feb1992
roys,northNJ,4.75,4,15,feb1992
wendys,northNJ,4.87,20,10,feb1992
wendys,shoreNJ,4.5,1,13,feb1992
wendys,shoreNJ,4.25,0,30,feb1992
kfc,northNJ,4.35,0,12,feb1992
burgerking,northNJ,4.25,0,60,feb1992
burgerking,northNJ,4.5,0,33,feb1992
burgerking,northNJ,4.25,30,14,feb1992
burgerking,northNJ,4.25,9,12,feb1992
burgerking,northNJ,4.25,10,8.5,feb1992
kfc,northNJ,4.75,8,10,feb1992
roys,northNJ,4.62,12,32,feb1992
roys,northNJ,4.25,4,36,feb1992
wendys,northNJ,4.5,0,19,feb1992
burgerking,southNJ,4.5,3,28,feb1992
burgerking,southNJ,4.5,11,17.5,feb1992
burgerking,southNJ,4.55,4.5,20,feb1992
burgerking,southNJ,4.62,2,30,feb1992
burgerking,southNJ,4.5,10,10,feb1992
kfc,southNJ,4.25,2,11,feb1992
kfc,southNJ,4.25,2,13,feb1992
kfc,southNJ,4.35,7,4,feb1992
kfc,southNJ,4.25,3,9,feb1992
kfc,southNJ,4.25,3,15,feb1992
kfc,southNJ,4.6,1,28,feb1992
roys,southNJ,4.25,2,24,feb1992
roys,southNJ,4.75,3,18,feb1992
roys,southNJ,4.75,3,27,feb1992
wendys,southNJ,4.25,0,22,feb1992
wendys,southNJ,4.5,3,28.5,feb1992
burgerking,northNJ,4.5,3,40,feb1992
burgerking,northNJ,4.25,0,25,feb1992
burgerking,northNJ,4.75,18,6,feb1992
burgerking,northNJ,4.65,19,7,feb1992
burgerking,northNJ,4.25,12,11,feb1992
kfc,northNJ,4.75,0,22,feb1992
kfc,northNJ,4.25,15,4,feb1992
roys,northNJ,4.5,7,25,feb1992
roys,northNJ,4.25,12,30,feb1992
wendys,northNJ,4.5,0,40,feb1992
wendys,northNJ,4.75,8,16,feb1992
burgerking,shoreNJ,4.37,6,6,feb1992
kfc,shoreNJ,4.5,1,4,feb1992
roys,southNJ,4.87,7,7,feb1992
burgerking,southNJ,4.25,4,22,feb1992
burgerking,southNJ,4.25,10,20,feb1992
burgerking,southNJ,4.25,7,13,feb1992
burgerking,southNJ,4.25,0,10,feb1992
burgerking,southNJ,4.25,6.5,20,feb1992
kfc,southNJ,4.45,2,10,feb1992
kfc,southNJ,4.62,2,14,feb1992
kfc,southNJ,4.25,4,4,feb1992
