state,year,miles,fatalities,seatbelt,speed65,speed70,drinkage,alcohol,income,age,enforce
AK,1983,3358,0.044669446,NA,no,no,yes,no,17973,28.23496628,no
AK,1984,3589,0.037336305,NA,no,no,yes,no,18093,28.3435421,no
AK,1985,3840,0.033072915,NA,no,no,yes,no,18925,28.37281609,no
AK,1986,4008,0.025199601,NA,no,no,yes,no,18466,28.39665222,no
AK,1987,3900,0.01948718,NA,no,no,yes,no,18021,28.45325089,no
AK,1988,3841,0.02525384,NA,no,no,yes,no,18447,28.85141945,no
AK,1989,3887,0.021610497,NA,no,no,yes,no,19970,29.14895439,no
AK,1990,3979,0.024629304,0.449999988,no,no,yes,no,21073,29.58628464,no
AK,1991,4021,0.025118129,0.660000026,no,no,yes,no,21496,29.82771111,secondary
AK,1992,3841,0.028117677,0.660000026,yes,no,yes,no,22073,30.21069717,secondary
AK,1993,3918,0.030117407,0.689999998,yes,no,yes,no,22711,30.46438599,secondary
AK,1994,4150,0.020481927,0.689999998,yes,no,yes,no,23417,30.75657082,secondary
AK,1995,4123,0.021101139,0.689999998,yes,no,yes,no,23971,31.1785965,secondary
AK,1996,4115,0.019684082,0.689999998,yes,no,yes,no,24310,31.44535446,secondary
AK,1997,4387,0.017551858,0.689999998,yes,no,yes,no,24969,31.60147476,secondary
AL,1983,31032,0.029969065,NA,no,no,no,no,9505,34.20064545,no
AL,1984,32961,0.028275842,0.129999995,no,no,no,no,10417,34.42163086,no
AL,1985,35091,0.025134649,0.170000002,no,no,yes,no,11133,34.60256958,no
AL,1986,34003,0.031791311,0.289999992,no,no,yes,no,11736,34.76067352,no
AL,1987,37426,0.029685246,0.209999993,yes,no,yes,no,12394,34.95565796,no
AL,1988,39684,0.025803851,0.289999992,yes,no,yes,no,13288,35.13695526,no
AL,1989,40765,0.025242243,0.379999995,yes,no,yes,no,14266,35.32785797,no
AL,1990,42347,0.026471769,0.439999998,yes,no,yes,no,15213,35.6229248,no
AL,1991,42924,0.025999442,0.469999999,yes,no,yes,no,15895,35.68873596,no
AL,1992,45762,0.02252961,0.579999983,yes,no,yes,no,16817,35.83261871,secondary
AL,1993,47337,0.022054629,0.550000012,yes,no,yes,no,17398,35.94825363,secondary
AL,1994,48956,0.022121906,0.550000012,yes,no,yes,no,18163,36.0920105,secondary
AL,1995,50628,0.022003634,0.519999981,yes,yes,yes,yes,19041,36.2057457,secondary
AL,1996,51433,0.022281414,0.540000021,yes,yes,yes,yes,19838,36.38513184,secondary
AL,1997,53458,0.022297878,0.519999981,yes,yes,yes,yes,20672,36.50072098,secondary
AR,1983,16684,0.033385281,NA,no,no,yes,no,9267,35.42213821,no
AR,1984,16621,0.031586546,NA,no,no,yes,no,10263,35.56396484,no
AR,1985,17112,0.031206172,NA,no,no,yes,no,10919,35.6919136,no
AR,1986,17555,0.034349188,0.197999999,no,no,yes,no,11409,35.86726761,no
AR,1987,18306,0.034906588,NA,yes,no,yes,no,11842,36.00813293,no
AR,1988,19219,0.031739425,0.300999999,yes,no,yes,no,12637,36.14386749,no
AR,1989,20414,0.031693935,NA,yes,no,yes,no,13353,36.29208374,no
AR,1990,21011,0.028746847,0.340000004,yes,no,yes,no,14025,36.42568207,no
AR,1991,21934,0.027719522,0.519999981,yes,no,yes,no,14766,36.46631622,secondary
AR,1992,23081,0.0254755,0.550000012,yes,no,yes,no,15807,36.50569916,secondary
AR,1993,23995,0.024296729,0.550000012,yes,no,yes,no,16380,36.59257507,secondary
AR,1994,24948,0.024410775,0.50999999,yes,no,yes,no,17090,36.62239075,secondary
AR,1995,26653,0.023674633,0.50999999,yes,no,yes,no,17934,36.62849045,secondary
AR,1996,27840,0.022090517,0.479999989,yes,no,yes,no,18808,36.66523743,secondary
AR,1997,28144,0.023450824,0.479999989,yes,no,yes,no,19595,36.81757736,secondary
AZ,1983,19611,0.034419458,NA,no,no,no,no,11277,34.11421967,no
AZ,1984,20613,0.042157862,NA,no,no,yes,no,12375,34.24707031,no
AZ,1985,21580,0.041380908,NA,no,no,yes,no,13280,34.33135986,no
AZ,1986,22665,0.044429738,NA,no,no,yes,no,13980,34.4753418,no
AZ,1987,31729,0.029594377,NA,yes,no,yes,no,14631,34.54302597,no
AZ,1988,34247,0.027564459,NA,yes,no,yes,no,15246,34.65613174,no
AZ,1989,34816,0.025247013,NA,yes,no,yes,no,15919,34.70410919,no
AZ,1990,35456,0.024509251,0.550000012,yes,no,yes,no,16608,34.88562393,no
AZ,1991,34929,0.023361677,0.649999976,yes,no,yes,no,16971,35.0049057,secondary
AZ,1992,35047,0.023083288,0.730000019,yes,no,yes,no,17583,35.19246674,secondary
AZ,1993,39150,0.020459769,0.730000019,yes,no,yes,no,18270,35.28326035,secondary
AZ,1994,38774,0.023314591,0.600000024,yes,no,yes,no,19127,35.49593353,secondary
AZ,1995,39653,0.026101429,0.600000024,yes,yes,yes,no,20078,35.4948616,secondary
AZ,1996,42123,0.023597559,0.560000002,yes,yes,yes,no,21071,35.55243301,secondary
AZ,1997,43491,0.021866594,0.629999995,yes,yes,yes,no,21998,35.70043564,secondary
CA,1983,182652,0.025036681,NA,no,no,yes,no,14258,33.73745728,no
CA,1984,196537,0.025542265,NA,no,no,yes,no,15593,33.78442764,no
CA,1985,207600,0.023892101,0.257999986,no,no,yes,no,16523,33.80182648,no
CA,1986,214913,0.024442449,0.454300016,no,no,yes,no,17255,33.81114197,secondary
CA,1987,226301,0.02432159,0.480999976,yes,no,yes,no,18175,33.82216263,secondary
CA,1988,241575,0.02232019,0.50849998,yes,no,yes,no,19263,33.8038063,secondary
CA,1989,251482,0.021520426,0.532999992,yes,no,yes,no,20226,33.75920868,secondary
CA,1990,258926,0.02005206,0.57099998,yes,no,yes,yes,21363,33.83672333,secondary
CA,1991,257976,0.018172232,0.593499959,yes,no,yes,yes,21491,33.79849243,secondary
CA,1992,262548,0.015966604,0.666000009,yes,no,yes,yes,22191,33.89958191,secondary
CA,1993,266408,0.015630161,0.813000023,yes,no,yes,yes,22430,33.98205948,secondary
CA,1994,271943,0.015562085,0.826999962,yes,no,yes,yes,22953,34.05400467,secondary
CA,1995,276371,0.015168017,0.816999972,yes,yes,yes,yes,23983,34.17737198,secondary
CA,1996,278043,0.014346702,0.845000029,yes,yes,yes,yes,25142,34.2943306,secondary
CA,1997,285612,0.012912623,0.851999998,yes,yes,yes,yes,26314,34.48209,secondary
CO,1983,24109,0.026794974,NA,no,no,no,no,13460,32.60922623,no
CO,1984,24588,0.024727508,NA,no,no,no,no,14597,32.79043961,no
CO,1985,26146,0.022144878,NA,no,no,no,no,15224,32.94545746,no
CO,1986,26382,0.022856493,NA,no,no,no,no,15571,33.11536407,no
CO,1987,26968,0.021914862,NA,yes,no,yes,no,16147,33.29123688,secondary
CO,1988,27665,0.017964937,NA,yes,no,yes,no,16985,33.52191925,secondary
CO,1989,27577,0.019110128,NA,yes,no,yes,no,18110,33.77364349,secondary
CO,1990,27178,0.02001619,0.5,yes,no,yes,no,19290,34.01882935,secondary
CO,1991,27744,0.0195718,0.50999999,yes,no,yes,no,20099,34.17677307,secondary
CO,1992,28927,0.018045425,0.5,yes,no,yes,no,21005,34.34635162,secondary
CO,1993,32718,0.017085396,0.529999971,yes,no,yes,no,22117,34.55241013,secondary
CO,1994,33705,0.017386144,0.540000021,yes,no,yes,no,23019,34.7841568,secondary
CO,1995,35058,0.018398084,0.560000002,yes,no,yes,no,24304,34.98941803,secondary
CO,1996,36141,0.017072024,0.560000002,yes,no,yes,no,25627,35.19138718,secondary
CO,1997,37746,0.016240131,0.589999974,yes,no,yes,no,27015,35.31958771,secondary
CT,1983,20630,0.021231217,NA,no,no,no,no,15620,36.03425217,no
CT,1984,21076,0.0222528,NA,no,no,no,no,17360,36.1912384,no
CT,1985,22152,0.020223908,NA,no,no,yes,no,18531,36.30097961,no
CT,1986,24053,0.018916558,NA,no,no,yes,no,19815,36.35538483,primary
CT,1987,26775,0.016769374,NA,no,no,yes,no,21588,36.45134735,primary
CT,1988,26062,0.018571099,NA,no,no,yes,no,23699,36.50170517,primary
CT,1989,26183,0.015506244,NA,no,no,yes,no,25407,36.57437897,primary
CT,1990,26303,0.014637114,0.589999974,no,no,yes,no,26453,36.77009583,primary
CT,1991,26628,0.01164188,0.610000014,yes,no,yes,no,26721,36.82064056,primary
CT,1992,26459,0.011187119,0.709999979,no,no,yes,no,28345,36.97710037,primary
CT,1993,27001,0.012666197,0.709999979,no,no,yes,no,29232,37.06562042,primary
CT,1994,27138,0.011423097,0.720000029,no,no,yes,no,30310,37.16059113,primary
CT,1995,28045,0.011303263,0.720000029,no,no,yes,no,32073,37.27995682,primary
CT,1996,28135,0.011018304,0.620000005,no,no,yes,no,33979,37.42756653,primary
CT,1997,28552,0.011873074,0.639999986,no,no,yes,no,35863,37.54727936,primary
DC,1983,3099,0.021297192,NA,no,no,no,no,15267,35.72385406,no
DC,1984,3214,0.019912882,NA,no,no,no,no,16620,35.83572769,no
DC,1985,3223,0.018616196,NA,no,no,no,no,17531,35.88742828,no
DC,1986,3287,0.013386066,NA,no,no,yes,no,18335,35.89140701,secondary
DC,1987,3368,0.015736341,NA,yes,no,yes,no,19566,35.97663879,secondary
DC,1988,3405,0.017914832,NA,yes,no,yes,no,21782,36.04153824,secondary
DC,1989,3414,0.02108963,NA,yes,no,yes,no,23438,36.11649704,secondary
DC,1990,3407,0.014088641,0.49000001,yes,no,yes,no,25646,36.91365433,secondary
DC,1991,3430,0.018367346,0.49000001,yes,no,yes,no,27028,36.86104965,secondary
DC,1992,3562,0.014037058,0.589999974,yes,no,yes,no,28597,37.04135132,secondary
DC,1993,3485,0.016355811,0.620000005,yes,no,yes,no,29912,37.23085785,secondary
DC,1994,3448,0.0200116,0.620000005,yes,no,yes,no,31212,37.42154312,secondary
DC,1995,3465,0.016738817,0.629999995,yes,no,yes,no,32398,37.65044785,secondary
DC,1996,3316,0.018697226,0.579999983,yes,no,yes,no,34213,38.06774902,secondary
DC,1997,3326,0.018039687,0.660000026,yes,no,yes,no,35704,38.37567139,secondary
