"id","water_bill","barrel","barrel_num","yard_size","home_garden","home_garden_num","attitude_env","temperature"
1,212.73,"Barrel",1,25811,"No home garden",0,3,94.3315625
2,258.76,"No barrel",0,39479,"Home garden",1,7,61.7815625
3,156.49,"Barrel",1,13297,"No home garden",0,7,83.7528125
4,254.84,"No barrel",0,28259,"No home garden",0,2,72.970625
5,194.78,"Barrel",1,21479,"No home garden",0,5,65.0365625
6,201.81,"Barrel",1,28906,"Home garden",1,8,82.5321875
7,210.42,"No barrel",0,7041,"No home garden",0,3,64.2228125
8,255.56,"No barrel",0,29434,"No home garden",0,4,74.3946875
9,187.88,"Barrel",1,24779,"Home garden",1,8,71.75
10,252.21,"No barrel",0,29741,"Home garden",1,9,68.495
11,174.36,"Barrel",1,16931,"No home garden",0,7,72.7671875
12,183.78,"Barrel",1,10357,"No home garden",0,8,80.70125
13,202.02,"Barrel",1,16071,"No home garden",0,6,94.128125
14,185.85,"Barrel",1,14977,"No home garden",0,6,77.853125
15,211.61,"Barrel",1,13053,"No home garden",0,3,95.5521875
16,208,"Barrel",1,24206,"No home garden",0,4,72.3603125
17,181.79,"No barrel",0,14641,"No home garden",0,8,48.7615625
18,213.09,"Barrel",1,15519,"No home garden",0,3,89.245625
19,174.12,"No barrel",0,6782,"No home garden",0,9,56.695625
20,231.34,"No barrel",0,19185,"No home garden",0,5,63.8159375
21,219.84,"No barrel",0,26319,"Home garden",1,7,71.5465625
22,192.17,"Barrel",1,35468,"Home garden",1,7,82.32875
23,236.49,"Barrel",1,35299,"No home garden",0,3,94.535
24,183.51,"No barrel",0,8066,"No home garden",0,8,73.5809375
25,179.93,"No barrel",0,9509,"No home garden",0,6,72.3603125
26,188.89,"Barrel",1,21281,"No home garden",0,2,69.715625
27,265.28,"No barrel",0,20160,"No home garden",0,2,77.039375
28,266.37,"No barrel",0,28510,"Home garden",1,7,74.8015625
29,142.15,"Barrel",1,3815,"No home garden",0,6,61.578125
30,223.17,"No barrel",0,11933,"No home garden",0,4,74.598125
31,265.78,"No barrel",0,36989,"Home garden",1,5,57.509375
32,203.82,"No barrel",0,13489,"No home garden",0,5,78.26
33,250.57,"No barrel",0,17570,"No home garden",0,2,68.901875
34,225.84,"No barrel",0,17197,"No home garden",0,3,77.2428125
35,261.62,"No barrel",0,37644,"Home garden",1,6,64.42625
36,257.22,"No barrel",0,33476,"Home garden",1,7,73.5809375
37,233.64,"No barrel",0,24009,"No home garden",0,1,59.54375
38,204.67,"Barrel",1,10880,"No home garden",0,4,94.3315625
39,271.29,"No barrel",0,31316,"Home garden",1,6,75.005
