"id","water_bill","barrel","barrel_num","yard_size","home_garden","home_garden_num","attitude_env","temperature"
1,209.12,"Barrel",1,25811,"No home garden",0,3,73.1705084745763
2,238.39,"Barrel",1,39479,"Home garden",1,7,90.6386440677966
3,163.66,"Barrel",1,13297,"No home garden",0,7,66.4972881355932
4,226,"Barrel",1,28259,"No home garden",0,2,67.6749152542373
5,232.44,"No barrel",0,21479,"No home garden",0,5,67.6749152542373
6,278.74,"No barrel",0,28906,"Home garden",1,8,89.6572881355932
7,224.34,"No barrel",0,7041,"No home garden",0,3,77.8810169491526
8,185.67,"Barrel",1,29434,"No home garden",0,4,48.8328813559322
9,198.91,"Barrel",1,24779,"Home garden",1,8,76.3108474576271
10,172.29,"Barrel",1,29741,"Home garden",1,9,60.8054237288136
11,224.8,"No barrel",0,16931,"No home garden",0,8,82.5915254237288
12,227.06,"No barrel",0,10357,"No home garden",0,9,99.2745762711864
13,158.02,"Barrel",1,16071,"No home garden",0,6,70.6189830508475
14,226.37,"No barrel",0,14977,"No home garden",0,6,77.0959322033898
15,209.08,"No barrel",0,13053,"No home garden",0,3,78.0772881355932
16,244.47,"No barrel",0,24206,"No home garden",0,5,78.6661016949153
17,186.44,"No barrel",0,14641,"No home garden",0,9,71.4040677966102
18,229.73,"No barrel",0,15519,"No home garden",0,3,77.4884745762712
19,189.76,"No barrel",0,6782,"No home garden",0,9,71.0115254237288
20,186.18,"Barrel",1,19185,"No home garden",0,5,80.4325423728814
21,251.2,"No barrel",0,26319,"Home garden",1,7,82.7877966101695
22,257.97,"No barrel",0,35468,"Home garden",1,8,68.6562711864407
23,253.07,"Barrel",1,35299,"No home garden",0,3,76.8996610169492
24,159.37,"Barrel",1,8066,"No home garden",0,9,89.8535593220339
25,138.33,"Barrel",1,9509,"No home garden",0,6,64.9271186440678
26,224.06,"No barrel",0,21281,"No home garden",0,2,60.0203389830508
27,163.04,"Barrel",1,20160,"No home garden",0,2,45.4962711864407
28,220.33,"Barrel",1,28510,"Home garden",1,7,87.6945762711865
29,193.11,"No barrel",0,3815,"No home garden",0,6,72.5816949152542
30,227.04,"No barrel",0,11933,"No home garden",0,4,88.0871186440678
31,233.86,"Barrel",1,36989,"Home garden",1,6,69.2450847457627
32,220.97,"No barrel",0,13489,"No home garden",0,5,89.4610169491525
33,220.47,"No barrel",0,17570,"No home garden",0,3,84.946779661017
34,172.41,"Barrel",1,17197,"No home garden",0,3,66.8898305084746
35,236.16,"No barrel",0,37644,"Home garden",1,6,69.8338983050847
36,261.62,"No barrel",0,33476,"Home garden",1,8,80.8250847457627
37,213.66,"Barrel",1,24009,"No home garden",0,1,83.5728813559322
38,177.04,"Barrel",1,10880,"No home garden",0,4,80.2362711864407
39,200.26,"Barrel",1,31316,"Home garden",1,7,79.6474576271186
40,269.7,"No barrel",0,34542,"Home garden",1,6,81.0213559322034
41,174.04,"Barrel",1,14983,"No home garden",0,5,82.5915254237288
42,215.76,"No barrel",0,27877,"Home garden",1,9,64.3383050847458
