personid,perform1,phonecallraw,logphonecall,experiment_treatment,treatment_post_experiment,balanced
3906,.011243915,,,.2857143,.42857143,1
4122,.28256682,502.65036,6.157372,.2638889,.39583334,1
4448,.52958512,,,0,.29078013,1
4942,-.27417585,,,.29268292,.30894309,1
5018,-1.118003,,,.33043477,.052173913,1
5614,.40032569,,,.26086956,.014492754,1
6278,.19760709,486.21429,5.9012103,0,0,0
6362,-.67993331,,,0,0,1
6364,-.36128163,,,0,.2027972,1
7068,-.91002136,,,0,0,1
7076,.46110228,,,0,.22499999,1
7488,1.0228941,,,.23021583,.41007194,0
7720,.011455754,413.80356,5.9444418,0,.35433072,0
8522,.093801804,,,0,.27737227,1
8834,.66985452,564.54688,6.2942662,0,0,0
8854,1.0256357,661.52344,6.4641223,.24285714,.38571429,1
8980,-.17666243,,,.064102568,0,1
9710,-1.0289685,,,0,0,1
10098,.023957172,435.60785,5.9910665,0,0,1
10226,-.031892624,,,.270073,.01459854,1
10356,.22834124,505.625,6.1490455,.25694445,.0069444445,0
10794,1.109285,,,.25694445,.40277779,0
10822,.65052557,,,.15909091,.31818181,0
11348,-1.3031971,,,0,0,1
11390,.58439869,,,0,.25714287,1
11868,-.95911336,,,.26573426,.23776224,1
12306,-.68769979,,,0,.063380279,0
12426,,,,0,0,0
12896,.22374608,,,0,0,1
12974,.34210131,511.23077,6.0811114,.25694445,.36805555,1
13530,.019412646,,,.26618704,.39568347,1
13574,1.5507771,,,.11904762,0,0
13710,.074587665,,,0,.16083916,1
13980,.83348292,570.09088,6.2831178,0,0,1
14048,.51570845,476.4357,6.1240487,.0070921984,.15602838,1
14220,.81290221,576.29688,6.2965569,0,0,1
14374,-.086562224,,,0,.21774194,1
14382,.82760429,,,0,.30000001,1
14384,.25565684,,,0,.31468531,1
14522,-.88931578,321.69135,5.7496982,.34444445,.055555556,0
14528,.78322333,501.41525,6.1205387,.25,.37903225,0
14532,.32380879,,,.25174826,.40559441,1
14556,1.1896071,,,0,0,1
14678,-.23580582,,,.30833334,.33333334,1
15294,.86599165,,,.26428571,.014285714,1
15444,.3753534,478.85858,6.1293249,0,.32539684,1
16334,.87582082,585.74512,6.2567043,0,0,0
16422,-.56486571,369.08572,5.6958318,0,0,1
16424,-.21462765,395.06061,5.8712707,0,.22556391,1
16514,.023283716,411.54309,5.9780707,.30252102,.30252102,0
16594,.57825351,473.90909,6.0962157,0,0,0
16596,1.0331043,541.63892,6.2717037,.2638889,.39583334,1
17058,.16587408,508.84375,6.1756887,0,0,1
17160,.4039149,488.36734,6.159863,0,.0078125,0
17172,-.24894251,,,0,.15789473,1
17722,-1.1933013,,,.24137931,.017241379,1
17752,.28843936,,,.21830986,.37323943,1
17812,.059596512,,,0,0,1
17906,-.23880634,374.79486,5.796268,.2631579,0,0
18112,.31656697,,,.26428571,.36428571,1
18494,-.70965457,,,0,0,1
18502,-1.2302912,,,0,0,0
19470,.19065048,480.46225,5.9914489,0,0,0
19482,-.8583712,,,.29457363,.015503876,1
19684,-.39956033,,,0,0,0
21604,-.3635405,,,0,0,0
21648,-1.2550918,,,0,.12142857,1
21654,.81508577,587.37592,6.3322372,.27338129,.41007194,1
21710,-1.2221144,,,.25874126,.25174826,1
22022,-.67141664,,,0,.053435113,1
22284,.52623546,546.11194,6.2416015,.23703703,0,1
23126,.84557593,,,0,0,1
23136,-.23532738,420.08398,5.7322664,.18181819,0,1
23228,1.0803661,518.53003,6.1504955,.32380953,.30476192,1
23622,.99378222,,,.05839416,0,1
23742,-1.0764502,,,0,.022900764,1
23772,-.31769273,418.72223,5.9308438,.34545454,.018181818,0
24142,1.2140204,,,.2638889,.25,1
24146,-1.34023,,,0,.15827338,1
