"","loan","village","religion","roof","rooms","beds","electricity","ownership","leader","degree_z"
"1001",0,"1","hindu","tile",3,4,0,"OWNED",0,-0.565210535033936
"1002",0,"1","hindu","tile",1,1,1,"OWNED",1,-0.303341853282003
"1003",0,"1","hindu","rcc",3,4,1,"OWNED",1,-0.958013557661836
"1004",0,"1","hindu","tile",2,6,1,"OWNED",0,-0.696144875909903
"1005",0,"1","hindu","tile",3,4,1,"OWNED",0,-0.172407512406037
"1006",0,"1","hindu","stone",2,1,1,"OWNED",0,-0.04147317153007
"1007",1,"1","hindu","stone",3,5,1,"OWNED",0,1.00600155547766
"1008",1,"1","hindu","sheet",2,1,1,"OWNED",0,0.482264191973796
"1009",0,"1","hindu","tile",2,7,1,"GOVERNMENT",0,-0.696144875909903
"1010",0,"1","hindu","stone",2,1,1,"OWNED",0,-0.958013557661836
"1011",0,"1","hindu","tile",2,0,1,"OWNED",0,-1.21988223941377
"1012",0,"1","hindu","tile",2,2,1,"OWNED",0,-0.43427619415797
"1013",0,"1","hindu","sheet",1,4,1,"GOVERNMENT",0,0.744132873725729
"1014",0,"1","hindu","tile",2,0,1,"OWNED",0,-0.958013557661836
"1015",0,"1","hindu","sheet",2,0,1,"OWNED",1,-0.303341853282003
"1016",1,"1","hindu","sheet",1,0,1,"OWNED",0,1.00600155547766
"1017",0,"1","hindu","tile",2,3,1,"OWNED",0,-1.0889478985378
"1018",1,"1","hindu","sheet",3,0,1,"OWNED",1,-0.565210535033936
"1019",1,"1","hindu","stone",3,2,1,"OWNED",0,-0.04147317153007
"1020",0,"1","hindu","stone",3,2,1,"OWNED",0,1.13693589635363
"1021",0,"1","hindu","stone",2,0,1,"OWNED",0,1.13693589635363
"1022",0,"1","hindu","stone",2,4,1,"GOVERNMENT",0,-0.696144875909903
"1023",0,"1","hindu","stone",2,2,1,"OWNED",0,-0.565210535033936
"1024",0,"1","hindu","sheet",1,1,1,"OWNED",1,0.0894611693458965
"1025",0,"1","hindu","sheet",2,0,1,"OWNED",0,-0.696144875909903
"1026",0,"1","hindu","sheet",2,3,1,"GOVERNMENT",0,-0.565210535033936
"1027",0,"1","hindu","sheet",1,1,1,"GOVERNMENT",0,-1.0889478985378
"1028",0,"1","hindu","sheet",2,2,1,"GOVERNMENT",1,-0.827079216785869
"1029",0,"1","hindu","sheet",3,2,0,"OWNED",0,1.52973891898153
"1030",0,"1","hindu","sheet",4,2,1,"GOVERNMENT",0,-1.21988223941377
"1031",0,"1","hindu","sheet",2,0,1,"OWNED",0,1.00600155547766
"1032",0,"1","hindu","sheet",2,2,1,"GOVERNMENT",0,0.613198532849763
"1033",0,"1","hindu","sheet",2,0,1,"OWNED",0,0.220395510221863
"1034",1,"1","hindu","sheet",2,2,1,"GOVERNMENT",0,-0.303341853282003
"1035",1,"1","hindu","tile",2,2,1,"GOVERNMENT",0,0.220395510221863
"1036",0,"1","hindu","sheet",2,0,1,"GOVERNMENT",1,-0.958013557661836
"1037",0,"1","hindu","sheet",2,2,0,"OWNED",0,1.92254194160943
"1038",0,"1","hindu","sheet",1,1,1,"OWNED",0,-1.0889478985378
"1039",0,"1","hindu","sheet",2,2,1,"OWNED",0,-0.958013557661836
"1040",0,"1","hindu","sheet",3,2,1,"GOVERNMENT",0,0.482264191973796
"1041",0,"1","islam","sheet",2,0,1,"GOVERNMENT",1,-0.04147317153007
"1042",1,"1","hindu","sheet",2,0,1,"OWNED",1,-0.303341853282003
"1043",1,"1","hindu","sheet",2,2,1,"OWNED",0,0.220395510221863
"1044",0,"1","hindu","sheet",3,2,0,"GOVERNMENT",1,-0.303341853282003
"1045",1,"1","hindu","sheet",2,2,1,"OWNED",0,-0.565210535033936
"1046",0,"1","hindu","sheet",2,2,1,"OWNED",0,-0.827079216785869
"1047",0,"1","hindu","tile",2,2,1,"GOVERNMENT",0,-1.21988223941377
