"all","felony","misdemeanor","murder","manslaughter","rape","robbery","assault","alcohol","drunk_at_risk","dui","age_days","female"
4844,1621,3223,35,3,15,133,457,1211,8,369,6575,0.235452276
4402,1572,2830,27,1,9,129,384,980,3,279,6576,0.202549575
4133,1472,2661,9,2,10,116,361,882,4,257,6577,0.224633189
4248,1482,2766,27,1,12,130,357,950,5,282,6578,0.236938776
4123,1431,2692,16,0,14,128,330,907,3,226,6579,0.217773238
4236,1512,2724,21,1,11,149,383,915,6,243,6580,0.229073091
4148,1443,2705,13,0,11,107,343,905,6,238,6581,0.239628483
4189,1454,2735,20,0,6,126,360,938,4,251,6582,0.208109226
4212,1450,2762,12,1,12,108,362,965,3,256,6583,0.207023275
4168,1467,2701,21,0,8,103,351,946,3,262,6584,0.213141684
4344,1529,2815,14,1,10,130,404,958,6,243,6585,0.232655628
4176,1508,2668,8,1,17,121,366,892,1,253,6586,0.219482121
4136,1413,2723,10,0,9,117,367,962,3,278,6587,0.218475073
4236,1520,2716,17,1,18,127,347,938,1,237,6588,0.215365239
4204,1463,2741,12,2,12,113,378,984,2,249,6589,0.208316264
4338,1494,2844,15,1,7,117,375,1020,0,297,6590,0.236596978
4228,1492,2736,16,0,15,115,382,916,1,251,6591,0.236885928
4252,1509,2743,13,0,5,124,365,978,3,290,6592,0.208160729
4190,1494,2696,13,1,14,118,331,911,3,254,6593,0.248155738
4179,1477,2702,13,0,11,118,368,915,4,263,6594,0.244885434
4383,1588,2795,21,0,10,137,394,884,5,263,6595,0.219625227
4364,1566,2798,11,0,15,124,401,980,2,263,6596,0.246519247
4331,1528,2803,18,1,10,127,360,957,3,286,6597,0.211859296
4316,1525,2791,9,0,13,122,343,948,3,274,6598,0.221105528
4235,1451,2784,10,0,9,118,365,922,2,281,6599,0.245220966
4306,1579,2727,18,0,15,130,338,943,3,278,6600,0.20928322
4370,1553,2817,12,0,11,107,387,962,1,269,6601,0.242140867
4349,1559,2790,16,0,8,123,349,904,2,247,6602,0.229288703
4397,1516,2881,16,2,12,103,390,1021,4,288,6603,0.208173174
4389,1616,2773,11,1,10,130,398,991,2,259,6604,0.211990111
4396,1625,2771,15,0,13,131,401,888,1,272,6605,0.207706573
4279,1561,2718,10,1,10,132,339,965,3,296,6606,0.211638103
4238,1525,2713,9,0,13,140,348,922,3,287,6607,0.226202661
4505,1646,2859,16,1,13,108,366,997,1,300,6608,0.235976381
4382,1527,2855,16,2,11,114,373,975,3,281,6609,0.233151184
4460,1575,2885,16,1,13,118,360,1028,2,303,6610,0.209793075
4435,1596,2839,16,2,10,126,366,1027,4,308,6611,0.222982784
4496,1602,2894,19,1,8,124,355,1012,6,278,6612,0.223276929
4242,1491,2751,17,0,7,120,301,938,2,273,6613,0.201117318
4472,1620,2852,13,0,11,116,376,989,4,280,6614,0.241691843
4539,1672,2867,12,0,17,131,355,1030,6,350,6615,0.200683907
4513,1583,2930,7,0,10,130,361,1041,2,319,6616,0.232696652
4487,1597,2890,18,0,7,131,365,1034,2,303,6617,0.247188755
4425,1505,2920,16,1,12,118,374,992,4,305,6618,0.226829774
4380,1584,2796,17,2,9,115,366,1010,4,314,6619,0.243937824
4471,1554,2917,11,0,14,119,339,1017,3,292,6620,0.2326842
4466,1584,2882,10,3,6,113,368,969,1,285,6621,0.246600742
4534,1588,2946,18,1,15,127,372,996,0,292,6622,0.223338802
4511,1551,2960,11,3,11,107,359,1064,6,318,6623,0.234223301
4591,1538,3053,17,1,12,99,366,1035,2,323,6624,0.211336032
4474,1618,2856,12,1,17,130,354,955,4,276,6625,0.227368421
4536,1591,2945,12,1,12,116,355,1023,3,328,6626,0.237312513
4439,1523,2916,14,3,10,110,361,963,3,297,6627,0.228169014
4514,1605,2909,13,0,9,107,379,1044,3,328,6628,0.212404066
4433,1558,2875,9,0,14,126,377,1032,2,309,6629,0.246510673
4545,1612,2933,12,1,12,123,393,1018,8,308,6630,0.237842256
4475,1603,2872,9,1,7,132,374,1045,5,345,6631,0.203478964
4490,1540,2950,11,2,10,129,351,1043,4,292,6632,0.203457727
4576,1650,2926,10,2,6,136,354,1012,4,331,6633,0.214329455
4578,1602,2976,18,5,13,101,397,1074,3,299,6634,0.216797267
4591,1662,2929,14,2,13,124,404,1011,3,302,6635,0.22253352
4560,1597,2963,15,1,20,117,375,981,1,293,6636,0.206296603
4646,1576,3070,14,2,14,129,416,1033,4,328,6637,0.202455222
4529,1615,2914,17,1,9,116,398,1024,5,310,6638,0.245142621
4700,1696,3004,19,1,21,128,393,1046,5,308,6639,0.244565217
4795,1670,3125,13,0,11,130,381,1089,4,344,6640,0.230516817
4704,1644,3060,17,0,11,139,407,1084,3,331,6641,0.213659531
4642,1658,2984,11,2,11,120,398,975,3,284,6642,0.207035989
4698,1682,3016,13,1,14,133,362,1039,2,325,6643,0.205092221
4568,1676,2892,14,2,11,132,359,991,5,313,6644,0.245786517
4602,1526,3076,12,2,13,114,399,1034,6,305,6645,0.237354892
4599,1657,2942,8,2,11,124,385,1010,2,309,6646,0.221957041
4493,1591,2902,13,0,12,109,351,1072,4,326,6647,0.214628297
4662,1635,3027,12,1,15,131,373,1043,4,335,6648,0.201336844
4609,1564,3045,15,2,10,129,396,1036,4,304,6649,0.230595018
4588,1601,2987,8,1,12,124,377,1056,2,358,6650,0.226458333
4675,1656,3019,9,2,10,119,393,1084,4,305,6651,0.230186361
4662,1687,2975,11,3,13,131,387,1061,1,314,6652,0.228583029
4724,1665,3059,15,0,12,134,409,1078,3,321,6653,0.234823626
4789,1717,3072,11,1,10,133,373,1029,3,317,6654,0.24127907
4649,1634,3015,17,2,10,140,348,1034,5,311,6655,0.228743719
4566,1605,2961,10,1,11,144,403,1023,6,309,6656,0.232842629
4715,1722,2993,10,0,13,110,407,1024,3,314,6657,0.240617181
