"class","state","reform_math","reformyr_math","incearn_ln"
1975,"Alabama",0,1985,10.1417446136475
1976,"Alabama",0,1985,10.1340713500977
1977,"Alabama",0,1985,10.1052122116089
1978,"Alabama",0,1985,10.1054830551147
1979,"Alabama",0,1985,10.0653190612793
1980,"Alabama",0,1985,10.1030654907227
1981,"Alabama",0,1985,10.0878992080688
1982,"Alabama",0,1985,10.0358829498291
1983,"Alabama",0,1985,10.0440549850464
1984,"Alabama",0,1985,10.0088624954224
1985,"Alabama",1,1985,9.9995698928833
1986,"Alabama",1,1985,9.98272895812988
1987,"Alabama",1,1985,9.9467601776123
1988,"Alabama",1,1985,9.94636631011963
1989,"Alabama",1,1985,9.89402961730957
1990,"Alabama",1,1985,9.86461544036865
1991,"Alabama",1,1985,9.81842803955078
1992,"Alabama",1,1985,9.74227523803711
1993,"Alabama",1,1985,9.6933069229126
1994,"Alabama",1,1985,9.5016918182373
1975,"Alaska",0,1985,10.3639049530029
1976,"Alaska",0,1985,10.0543060302734
1977,"Alaska",0,1985,9.99870681762695
1978,"Alaska",0,1985,10.174843788147
1979,"Alaska",0,1985,10.0885324478149
1980,"Alaska",0,1985,10.1887626647949
1981,"Alaska",0,1985,10.114278793335
1982,"Alaska",0,1985,10.1260089874268
1983,"Alaska",0,1985,10.1801424026489
1984,"Alaska",0,1985,10.1386938095093
1985,"Alaska",1,1985,10.2323007583618
1986,"Alaska",1,1985,9.96022319793701
1987,"Alaska",1,1985,10.1058340072632
1988,"Alaska",1,1985,9.86088085174561
1989,"Alaska",1,1985,9.99649047851562
1990,"Alaska",1,1985,9.95733451843262
1991,"Alaska",1,1985,9.93027687072754
1992,"Alaska",1,1985,9.78812026977539
1993,"Alaska",1,1985,9.72723579406738
1994,"Alaska",1,1985,9.54496669769287
1975,"Arizona",0,1987,10.2337160110474
1976,"Arizona",0,1987,10.2346200942993
1977,"Arizona",0,1987,10.211067199707
1978,"Arizona",0,1987,10.2431993484497
1979,"Arizona",0,1987,10.2033433914185
1980,"Arizona",0,1987,10.237645149231
1981,"Arizona",0,1987,10.1571559906006
1982,"Arizona",0,1987,10.1669387817383
1983,"Arizona",0,1987,10.1531667709351
1984,"Arizona",0,1987,10.1384534835815
1985,"Arizona",0,1987,10.0710744857788
1986,"Arizona",0,1987,10.0568695068359
1987,"Arizona",1,1987,10.0202722549438
1988,"Arizona",1,1987,10.0128870010376
1989,"Arizona",1,1987,10.0116748809814
1990,"Arizona",1,1987,9.91314888000488
1991,"Arizona",1,1987,9.86545372009277
1992,"Arizona",1,1987,9.89893817901611
1993,"Arizona",1,1987,9.83035087585449
1994,"Arizona",1,1987,9.56447792053223
1975,"California",0,1987,10.3075847625732
1976,"California",0,1987,10.2708806991577
1977,"California",0,1987,10.2779226303101
1978,"California",0,1987,10.2754058837891
1979,"California",0,1987,10.2644538879395
1980,"California",0,1987,10.264048576355
1981,"California",0,1987,10.2647218704224
1982,"California",0,1987,10.2167835235596
1983,"California",0,1987,10.2227735519409
1984,"California",0,1987,10.1546325683594
1985,"California",0,1987,10.1552410125732
1986,"California",0,1987,10.1402797698975
1987,"California",1,1987,10.1093921661377
1988,"California",1,1987,10.0957126617432
1989,"California",1,1987,10.0383338928223
1990,"California",1,1987,10.0202941894531
1991,"California",1,1987,9.9292631149292
1992,"California",1,1987,9.87254810333252
1993,"California",1,1987,9.78208160400391
1994,"California",1,1987,9.5606861114502
1975,"Colorado",0,NA,10.205641746521
1976,"Colorado",0,NA,10.2126121520996
1977,"Colorado",0,NA,10.2160663604736
1978,"Colorado",0,NA,10.227689743042
1979,"Colorado",0,NA,10.1753816604614
1980,"Colorado",0,NA,10.1833372116089
1981,"Colorado",0,NA,10.1718149185181
1982,"Colorado",0,NA,10.1693420410156
1983,"Colorado",0,NA,10.1941089630127
1984,"Colorado",0,NA,10.1185503005981
1985,"Colorado",0,NA,10.1304788589478
1986,"Colorado",0,NA,10.0674018859863
1987,"Colorado",0,NA,10.0396881103516
1988,"Colorado",0,NA,10.0596923828125
1989,"Colorado",0,NA,10.0525960922241
1990,"Colorado",0,NA,10.0056495666504
1991,"Colorado",0,NA,9.92896938323975
1992,"Colorado",0,NA,9.86379623413086
1993,"Colorado",0,NA,9.82953262329102
1994,"Colorado",0,NA,9.62183570861816
1975,"Delaware",0,1987,10.3614673614502
1976,"Delaware",0,1987,10.2790307998657
1977,"Delaware",0,1987,10.2839422225952
1978,"Delaware",0,1987,10.2607822418213
1979,"Delaware",0,1987,10.1953468322754
1980,"Delaware",0,1987,10.3061971664429
1981,"Delaware",0,1987,10.182596206665
1982,"Delaware",0,1987,10.2634143829346
1983,"Delaware",0,1987,10.2419958114624
1984,"Delaware",0,1987,10.1800184249878
1985,"Delaware",0,1987,10.1907796859741
1986,"Delaware",0,1987,10.1903047561646
1987,"Delaware",1,1987,10.2371578216553
1988,"Delaware",1,1987,10.1425924301147
1989,"Delaware",1,1987,10.0877676010132
1990,"Delaware",1,1987,10.1532154083252
1991,"Delaware",1,1987,9.9884147644043
1992,"Delaware",1,1987,9.96586990356445
1993,"Delaware",1,1987,9.93395042419434
1994,"Delaware",1,1987,9.77347373962402
1975,"District of Columbia",0,1985,10.4465036392212
1976,"District of Columbia",0,1985,10.416090965271
1977,"District of Columbia",0,1985,10.409873008728
1978,"District of Columbia",0,1985,10.3992757797241
1979,"District of Columbia",0,1985,10.3864412307739
1980,"District of Columbia",0,1985,10.335597038269
1981,"District of Columbia",0,1985,10.4182405471802
1982,"District of Columbia",0,1985,10.3431386947632
1983,"District of Columbia",0,1985,10.3205556869507
1984,"District of Columbia",0,1985,10.300820350647
1985,"District of Columbia",1,1985,10.3060283660889
1986,"District of Columbia",1,1985,10.3065891265869
1987,"District of Columbia",1,1985,10.2211198806763
1988,"District of Columbia",1,1985,10.1457042694092
1989,"District of Columbia",1,1985,10.1356430053711
1990,"District of Columbia",1,1985,10.1322441101074
1991,"District of Columbia",1,1985,10.0683145523071
1992,"District of Columbia",1,1985,9.94973278045654
1993,"District of Columbia",1,1985,9.86193656921387
1994,"District of Columbia",1,1985,9.67909145355225
1975,"Florida",0,1987,10.1865673065186
1976,"Florida",0,1987,10.1799230575562
1977,"Florida",0,1987,10.1624355316162
1978,"Florida",0,1987,10.1772832870483
1979,"Florida",0,1987,10.1523962020874
1980,"Florida",0,1987,10.1331691741943
1981,"Florida",0,1987,10.1464195251465
1982,"Florida",0,1987,10.0636520385742
1983,"Florida",0,1987,10.1143531799316
1984,"Florida",0,1987,10.0629987716675
1985,"Florida",0,1987,10.0322103500366
1986,"Florida",0,1987,10.0415077209473
1987,"Florida",1,1987,10.0034675598145
1988,"Florida",1,1987,9.99819183349609
1989,"Florida",1,1987,9.95396041870117
1990,"Florida",1,1987,9.883225440979
1991,"Florida",1,1987,9.88324928283691
1992,"Florida",1,1987,9.81655311584473
1993,"Florida",1,1987,9.75234031677246
1994,"Florida",1,1987,9.50175857543945
1975,"Hawaii",0,NA,10.3999996185303
1976,"Hawaii",0,NA,10.3015689849854
1977,"Hawaii",0,NA,10.0337333679199
1978,"Hawaii",0,NA,10.3199434280396
1979,"Hawaii",0,NA,10.3037261962891
1980,"Hawaii",0,NA,10.3315496444702
1981,"Hawaii",0,NA,10.2463102340698
1982,"Hawaii",0,NA,10.2233753204346
1983,"Hawaii",0,NA,10.2555408477783
1984,"Hawaii",0,NA,10.1833333969116
1985,"Hawaii",0,NA,10.1946668624878
1986,"Hawaii",0,NA,10.0185270309448
1987,"Hawaii",0,NA,10.0639982223511
1988,"Hawaii",0,NA,10.0057592391968
1989,"Hawaii",0,NA,10.0916137695312
1990,"Hawaii",0,NA,9.99879360198975
1991,"Hawaii",0,NA,10.0788917541504
1992,"Hawaii",0,NA,9.87072563171387
1993,"Hawaii",0,NA,9.66024398803711
1994,"Hawaii",0,NA,9.58807468414307
1975,"Iowa",0,NA,10.1802997589111
1976,"Iowa",0,NA,10.1859941482544
1977,"Iowa",0,NA,10.1370306015015
1978,"Iowa",0,NA,10.1498012542725
1979,"Iowa",0,NA,10.1396627426147
1980,"Iowa",0,NA,10.1176252365112
1981,"Iowa",0,NA,10.1416931152344
1982,"Iowa",0,NA,10.1339683532715
1983,"Iowa",0,NA,10.1414575576782
1984,"Iowa",0,NA,10.1034545898438
1985,"Iowa",0,NA,10.0795707702637
1986,"Iowa",0,NA,10.0362281799316
1987,"Iowa",0,NA,10.0042762756348
1988,"Iowa",0,NA,10.0417013168335
1989,"Iowa",0,NA,9.9982271194458
1990,"Iowa",0,NA,9.96518039703369
1991,"Iowa",0,NA,9.93054103851318
1992,"Iowa",0,NA,9.88286304473877
1993,"Iowa",0,NA,9.84409427642822
1994,"Iowa",0,NA,9.64587116241455
1975,"Kentucky",0,1987,10.1347808837891
1976,"Kentucky",0,1987,10.1744050979614
1977,"Kentucky",0,1987,10.1439170837402
1978,"Kentucky",0,1987,10.1469478607178
1979,"Kentucky",0,1987,10.1148290634155
1980,"Kentucky",0,1987,10.135350227356
1981,"Kentucky",0,1987,10.0947027206421
1982,"Kentucky",0,1987,10.0472593307495
1983,"Kentucky",0,1987,10.0629062652588
1984,"Kentucky",0,1987,10.014573097229
1985,"Kentucky",0,1987,10.0149812698364
1986,"Kentucky",0,1987,9.98495769500732
1987,"Kentucky",1,1987,9.95804023742676
1988,"Kentucky",1,1987,9.97060871124268
1989,"Kentucky",1,1987,9.89527416229248
1990,"Kentucky",1,1987,9.85686492919922
1991,"Kentucky",1,1987,9.82865333557129
1992,"Kentucky",1,1987,9.76007843017578
1993,"Kentucky",1,1987,9.71769905090332
1994,"Kentucky",1,1987,9.48890018463135
1975,"Massachusetts",0,NA,10.3497219085693
1976,"Massachusetts",0,NA,10.3697576522827
1977,"Massachusetts",0,NA,10.3554439544678
1978,"Massachusetts",0,NA,10.3231821060181
1979,"Massachusetts",0,NA,10.3398809432983
1980,"Massachusetts",0,NA,10.306999206543
1981,"Massachusetts",0,NA,10.340033531189
1982,"Massachusetts",0,NA,10.3128223419189
1983,"Massachusetts",0,NA,10.3042516708374
1984,"Massachusetts",0,NA,10.2802848815918
1985,"Massachusetts",0,NA,10.2673301696777
1986,"Massachusetts",0,NA,10.2371616363525
1987,"Massachusetts",0,NA,10.2250928878784
1988,"Massachusetts",0,NA,10.2182779312134
1989,"Massachusetts",0,NA,10.1466188430786
1990,"Massachusetts",0,NA,10.1366844177246
1991,"Massachusetts",0,NA,10.0760049819946
1992,"Massachusetts",0,NA,10.0288457870483
1993,"Massachusetts",0,NA,9.94874954223633
1994,"Massachusetts",0,NA,9.75181198120117
1975,"Michigan",0,NA,10.2307586669922
1976,"Michigan",0,NA,10.2438430786133
1977,"Michigan",0,NA,10.2156972885132
1978,"Michigan",0,NA,10.2036800384521
1979,"Michigan",0,NA,10.1996831893921
1980,"Michigan",0,NA,10.1970329284668
1981,"Michigan",0,NA,10.1756000518799
1982,"Michigan",0,NA,10.1808338165283
1983,"Michigan",0,NA,10.1704406738281
1984,"Michigan",0,NA,10.1201400756836
1985,"Michigan",0,NA,10.1018152236938
1986,"Michigan",0,NA,10.08753490448
1987,"Michigan",0,NA,10.0714845657349
1988,"Michigan",0,NA,10.0627689361572
1989,"Michigan",0,NA,10.0253162384033
1990,"Michigan",0,NA,9.97882080078125
1991,"Michigan",0,NA,9.92211627960205
1992,"Michigan",0,NA,9.8792667388916
1993,"Michigan",0,NA,9.81915473937988
1994,"Michigan",0,NA,9.63362407684326
1975,"Minnesota",0,NA,10.1934976577759
1976,"Minnesota",0,NA,10.2283897399902
1977,"Minnesota",0,NA,10.1948375701904
1978,"Minnesota",0,NA,10.1984090805054
1979,"Minnesota",0,NA,10.2009906768799
1980,"Minnesota",0,NA,10.1846323013306
1981,"Minnesota",0,NA,10.1491279602051
1982,"Minnesota",0,NA,10.1755361557007
1983,"Minnesota",0,NA,10.1818704605103
1984,"Minnesota",0,NA,10.1533327102661
1985,"Minnesota",0,NA,10.1182641983032
1986,"Minnesota",0,NA,10.1147565841675
1987,"Minnesota",0,NA,10.1076564788818
1988,"Minnesota",0,NA,10.0816402435303
1989,"Minnesota",0,NA,9.9958667755127
1990,"Minnesota",0,NA,10.0317754745483
1991,"Minnesota",0,NA,10.0245542526245
1992,"Minnesota",0,NA,9.94647121429443
1993,"Minnesota",0,NA,9.84488964080811
1994,"Minnesota",0,NA,9.70277976989746
1975,"Montana",0,NA,10.0113878250122
1976,"Montana",0,NA,10.0778722763062
1977,"Montana",0,NA,10.018123626709
1978,"Montana",0,NA,10.1003179550171
1979,"Montana",0,NA,10.0223264694214
1980,"Montana",0,NA,10.0214986801147
1981,"Montana",0,NA,9.97028255462646
1982,"Montana",0,NA,10.0437364578247
1983,"Montana",0,NA,10.0267238616943
1984,"Montana",0,NA,10.002911567688
1985,"Montana",0,NA,10.0419435501099
1986,"Montana",0,NA,9.99419021606445
1987,"Montana",0,NA,9.85341453552246
1988,"Montana",0,NA,9.95294857025146
1989,"Montana",0,NA,9.92709636688232
1990,"Montana",0,NA,9.8599853515625
1991,"Montana",0,NA,9.73928642272949
1992,"Montana",0,NA,9.69627380371094
1993,"Montana",0,NA,9.70551776885986
1994,"Montana",0,NA,9.50444316864014
1975,"Nebraska",0,NA,10.1774110794067
1976,"Nebraska",0,NA,10.0922908782959
1977,"Nebraska",0,NA,10.1838216781616
1978,"Nebraska",0,NA,10.1368551254272
