"id","water_bill","barrel","barrel_num","yard_size","home_garden","attitude_env","temperature","county","year"
2,258.76,"No barrel",0,39479,"Home garden",7,61.7815625,"Comal",2018
4,254.84,"No barrel",0,28259,"No home garden",2,72.970625,"Guadalupe",2018
7,210.42,"No barrel",0,7041,"No home garden",3,64.2228125,"Comal",2018
8,255.56,"No barrel",0,29434,"No home garden",4,74.3946875,"Travis",2018
10,252.21,"No barrel",0,29741,"Home garden",9,68.495,"Guadalupe",2018
17,181.79,"No barrel",0,14641,"No home garden",8,48.7615625,"Hays",2018
19,174.12,"No barrel",0,6782,"No home garden",9,56.695625,"Comal",2018
20,231.34,"No barrel",0,19185,"No home garden",5,63.8159375,"Comal",2018
21,219.84,"No barrel",0,26319,"Home garden",7,71.5465625,"Travis",2018
24,183.51,"No barrel",0,8066,"No home garden",8,73.5809375,"Guadalupe",2018
25,179.93,"No barrel",0,9509,"No home garden",6,72.3603125,"Travis",2018
27,265.28,"No barrel",0,20160,"No home garden",2,77.039375,"Comal",2018
28,266.37,"No barrel",0,28510,"Home garden",7,74.8015625,"Comal",2018
30,223.17,"No barrel",0,11933,"No home garden",4,74.598125,"Travis",2018
31,265.78,"No barrel",0,36989,"Home garden",5,57.509375,"Guadalupe",2018
32,203.82,"No barrel",0,13489,"No home garden",5,78.26,"Comal",2018
33,250.57,"No barrel",0,17570,"No home garden",2,68.901875,"Comal",2018
34,225.84,"No barrel",0,17197,"No home garden",3,77.2428125,"Guadalupe",2018
35,261.62,"No barrel",0,37644,"Home garden",6,64.42625,"Guadalupe",2018
36,257.22,"No barrel",0,33476,"Home garden",7,73.5809375,"Guadalupe",2018
37,233.64,"No barrel",0,24009,"No home garden",1,59.54375,"Guadalupe",2018
39,271.29,"No barrel",0,31316,"Home garden",6,75.005,"Travis",2018
40,260.6,"No barrel",0,34542,"Home garden",5,76.8359375,"Comal",2018
41,233.32,"No barrel",0,14983,"No home garden",4,72.7671875,"Hays",2018
44,189.38,"No barrel",0,15527,"No home garden",2,69.1053125,"Travis",2018
46,268.69,"No barrel",0,28308,"No home garden",2,76.0221875,"Guadalupe",2018
47,222.04,"No barrel",0,26454,"No home garden",5,59.54375,"Guadalupe",2018
48,256.28,"No barrel",0,29906,"No home garden",4,75.81875,"Travis",2018
49,213.61,"No barrel",0,18501,"Home garden",9,70.1225,"Comal",2018
50,248.19,"No barrel",0,26720,"No home garden",5,78.8703125,"Hays",2018
