id,water_bill,barrel,barrel_num,yard_size,home_garden,attitude_env,temperature
1,209.12,Barrel,1,25811,No home garden,3,73.17050847
2,238.39,Barrel,1,39479,Home garden,7,90.63864407
3,163.66,Barrel,1,13297,No home garden,7,66.49728814
4,226,Barrel,1,28259,No home garden,2,67.67491525
5,232.44,No barrel,0,21479,No home garden,5,67.67491525
6,278.74,No barrel,0,28906,Home garden,8,89.65728814
7,224.34,No barrel,0,7041,No home garden,3,77.88101695
8,185.67,Barrel,1,29434,No home garden,4,48.83288136
9,198.91,Barrel,1,24779,Home garden,8,76.31084746
10,172.29,Barrel,1,29741,Home garden,9,60.80542373
11,224.8,No barrel,0,16931,No home garden,8,82.59152542
12,227.06,No barrel,0,10357,No home garden,9,99.27457627
13,158.02,Barrel,1,16071,No home garden,6,70.61898305
14,226.37,No barrel,0,14977,No home garden,6,77.0959322
15,209.08,No barrel,0,13053,No home garden,3,78.07728814
16,244.47,No barrel,0,24206,No home garden,5,78.66610169
17,186.44,No barrel,0,14641,No home garden,9,71.4040678
18,229.73,No barrel,0,15519,No home garden,3,77.48847458
19,189.76,No barrel,0,6782,No home garden,9,71.01152542
20,186.18,Barrel,1,19185,No home garden,5,80.43254237
21,251.2,No barrel,0,26319,Home garden,7,82.78779661
22,257.97,No barrel,0,35468,Home garden,8,68.65627119
23,253.07,Barrel,1,35299,No home garden,3,76.89966102
24,159.37,Barrel,1,8066,No home garden,9,89.85355932
25,138.33,Barrel,1,9509,No home garden,6,64.92711864
26,224.06,No barrel,0,21281,No home garden,2,60.02033898
27,163.04,Barrel,1,20160,No home garden,2,45.49627119
28,220.33,Barrel,1,28510,Home garden,7,87.69457627
29,193.11,No barrel,0,3815,No home garden,6,72.58169492
30,227.04,No barrel,0,11933,No home garden,4,88.08711864
31,233.86,Barrel,1,36989,Home garden,6,69.24508475
32,220.97,No barrel,0,13489,No home garden,5,89.46101695
33,220.47,No barrel,0,17570,No home garden,3,84.94677966
34,172.41,Barrel,1,17197,No home garden,3,66.88983051
35,236.16,No barrel,0,37644,Home garden,6,69.83389831
36,261.62,No barrel,0,33476,Home garden,8,80.82508475
37,213.66,Barrel,1,24009,No home garden,1,83.57288136
38,177.04,Barrel,1,10880,No home garden,4,80.23627119
39,200.26,Barrel,1,31316,Home garden,7,79.64745763
40,269.7,No barrel,0,34542,Home garden,6,81.02135593
41,174.04,Barrel,1,14983,No home garden,5,82.59152542
42,215.76,No barrel,0,27877,Home garden,9,64.33830508
43,196.76,Barrel,1,27994,No home garden,5,75.91830508
44,184.51,Barrel,1,15527,No home garden,2,71.79661017
45,226.97,No barrel,0,13715,No home garden,8,86.32067797
46,254.77,No barrel,0,28308,No home garden,2,77.88101695
47,239.8,No barrel,0,26454,No home garden,5,66.49728814
48,287.15,No barrel,0,29906,No home garden,4,93.97525424
49,170.2,No barrel,0,18501,Home garden,9,63.94576271
50,174.67,Barrel,1,26720,No home garden,5,66.69355932
51,221.79,Barrel,1,35343,Home garden,6,67.87118644
52,207.99,Barrel,1,12211,No home garden,6,103.2
53,274.21,No barrel,0,28904,Home garden,7,78.66610169
54,214,No barrel,0,13592,No home garden,6,69.83389831
55,139.61,Barrel,1,12990,No home garden,4,74.93694915
56,203.03,No barrel,0,9363,No home garden,7,74.54440678
57,208.71,Barrel,1,27521,Home garden,7,73.17050847
58,254,No barrel,0,24539,No home garden,4,72.97423729
59,235.48,No barrel,0,26410,No home garden,4,67.67491525
60,185.66,No barrel,0,12062,No home garden,6,71.99288136
61,196.37,Barrel,1,32672,No home garden,4,65.5159322
62,247.88,No barrel,0,34827,Home garden,6,87.3020339
63,211.09,Barrel,1,24811,No home garden,3,76.31084746
64,147.5,Barrel,1,13646,No home garden,6,68.06745763
65,223.8,Barrel,1,20140,No home garden,3,84.75050847
66,227.88,No barrel,0,24714,No home garden,4,72.58169492
67,201.84,Barrel,1,11316,No home garden,8,88.47966102
68,243.97,No barrel,0,23572,No home garden,4,77.29220339
69,202.1,Barrel,1,29730,No home garden,5,72.97423729
70,145.9,Barrel,1,12860,No home garden,6,61.1979661
71,167.67,Barrel,1,13761,No home garden,6,92.40508475
72,182.36,Barrel,1,25221,No home garden,4,60.21661017
73,234.83,No barrel,0,31993,Home garden,6,76.50711864
74,241.64,No barrel,0,31952,No home garden,5,73.17050847
75,247.06,No barrel,0,36695,Home garden,5,60.02033898
76,179.13,Barrel,1,16829,No home garden,1,68.06745763
77,188.45,Barrel,1,26067,Home garden,8,73.75932203
