"id","water_bill","barrel","yard_size","home_garden","attitude_env","temperature","county","year","post","treat"
2,258.76,0,39479,"Home garden",7,61.7815625,"Comal",2018,0,0
4,254.84,0,28259,"No home garden",2,72.970625,"Guadalupe",2018,0,0
7,210.42,0,7041,"No home garden",3,64.2228125,"Comal",2018,0,0
8,255.56,0,29434,"No home garden",4,74.3946875,"Travis",2018,0,0
10,252.21,0,29741,"Home garden",9,68.495,"Guadalupe",2018,0,0
17,181.79,0,14641,"No home garden",8,48.7615625,"Hays",2018,0,0
19,174.12,0,6782,"No home garden",9,56.695625,"Comal",2018,0,0
20,231.34,0,19185,"No home garden",5,63.8159375,"Comal",2018,0,0
21,219.84,0,26319,"Home garden",7,71.5465625,"Travis",2018,0,0
24,183.51,0,8066,"No home garden",8,73.5809375,"Guadalupe",2018,0,0
25,179.93,0,9509,"No home garden",6,72.3603125,"Travis",2018,0,0
27,265.28,0,20160,"No home garden",2,77.039375,"Comal",2018,0,0
28,266.37,0,28510,"Home garden",7,74.8015625,"Comal",2018,0,0
30,223.17,0,11933,"No home garden",4,74.598125,"Travis",2018,0,0
31,265.78,0,36989,"Home garden",5,57.509375,"Guadalupe",2018,0,0
32,203.82,0,13489,"No home garden",5,78.26,"Comal",2018,0,0
33,250.57,0,17570,"No home garden",2,68.901875,"Comal",2018,0,0
34,225.84,0,17197,"No home garden",3,77.2428125,"Guadalupe",2018,0,0
35,261.62,0,37644,"Home garden",6,64.42625,"Guadalupe",2018,0,0
36,257.22,0,33476,"Home garden",7,73.5809375,"Guadalupe",2018,0,0
37,233.64,0,24009,"No home garden",1,59.54375,"Guadalupe",2018,0,0
39,271.29,0,31316,"Home garden",6,75.005,"Travis",2018,0,0
40,260.6,0,34542,"Home garden",5,76.8359375,"Comal",2018,0,0
41,233.32,0,14983,"No home garden",4,72.7671875,"Hays",2018,0,0
44,189.38,0,15527,"No home garden",2,69.1053125,"Travis",2018,0,0
46,268.69,0,28308,"No home garden",2,76.0221875,"Guadalupe",2018,0,0
47,222.04,0,26454,"No home garden",5,59.54375,"Guadalupe",2018,0,0
48,256.28,0,29906,"No home garden",4,75.81875,"Travis",2018,0,0
49,213.61,0,18501,"Home garden",9,70.1225,"Comal",2018,0,0
50,248.19,0,26720,"No home garden",5,78.8703125,"Hays",2018,0,0
51,270.18,0,35343,"Home garden",6,69.9190625,"Comal",2018,0,0
52,216.79,0,12211,"No home garden",6,71.9534375,"Guadalupe",2018,0,0
55,210.69,0,12990,"No home garden",4,75.005,"Travis",2018,0,0
57,239.13,0,27521,"Home garden",7,65.8503125,"Travis",2018,0,0
59,250.85,0,26410,"No home garden",4,70.93625,"Comal",2018,0,0
64,186,0,13646,"No home garden",6,63.8159375,"Travis",2018,0,0
65,223.82,0,20140,"No home garden",3,55.881875,"Travis",2018,0,0
