"order_number","sales_channel","warehouse_code","procured_date","order_date","ship_date","delivery_date","currency_code","sales_team_id","customer_id","store_id","product_id","order_quantity","discount_applied","unit_cost","unit_price"
"SO - 000101","In-Store","WARE-UHY1004","31/12/17","31/5/18","14/6/18","19/6/18","USD",6,15,259,12,5,0.075,"1001.18","1963.10"
"SO - 000102","Online","WARE-NMK1003","31/12/17","31/5/18","22/6/18","2/7/18","USD",14,20,196,27,3,0.075,"3348.66","3939.60"
"SO - 000103","Distributor","WARE-UHY1004","31/12/17","31/5/18","21/6/18","1/7/18","USD",21,16,213,16,1,0.05,"781.22","1775.50"
"SO - 000104","Wholesale","WARE-NMK1003","31/12/17","31/5/18","2/6/18","7/6/18","USD",28,48,107,23,8,0.075,"1464.69","2324.90"
"SO - 000105","Distributor","WARE-NMK1003","10/4/18","31/5/18","16/6/18","26/6/18","USD",22,49,111,26,8,0.1,"1476.14","1822.40"
"SO - 000106","Online","WARE-PUJ1005","31/12/17","31/5/18","8/6/18","13/6/18","USD",12,21,285,1,5,0.05,"446.56","1038.50"
"SO - 000107","In-Store","WARE-XYS1001","31/12/17","31/5/18","8/6/18","14/6/18","USD",10,14,6,5,4,0.15,"536.67","1192.60"
"SO - 000108","In-Store","WARE-PUJ1005","10/4/18","31/5/18","26/6/18","1/7/18","USD",6,9,280,46,5,0.05,"1525.19","1815.70"
"SO - 000109","In-Store","WARE-PUJ1005","31/12/17","1/6/18","16/6/18","21/6/18","USD",4,9,299,47,4,0.3,"2211.20","3879.30"
"SO - 000110","In-Store","WARE-UHY1004","31/12/17","1/6/18","29/6/18","1/7/18","USD",10,33,261,13,8,0.05,"1212.97","1956.40"
"SO - 000111","Distributor","WARE-XYS1001","31/12/17","1/6/18","15/6/18","20/6/18","USD",23,21,17,38,6,0.1,"124.62","201"
"SO - 000112","In-Store","WARE-NMK1003","10/4/18","1/6/18","7/6/18","17/6/18","USD",10,21,152,40,5,0.15,"2762.28","6277.90"
"SO - 000113","In-Store","WARE-PUJ1005","10/4/18","1/6/18","22/6/18","2/7/18","USD",4,36,317,39,5,0.05,"641.66","1051.90"
"SO - 000114","In-Store","WARE-PUJ1005","10/4/18","1/6/18","7/6/18","15/6/18","USD",8,17,291,32,6,0.15,"216.41","254.6"
"SO - 000115","In-Store","WARE-NMK1003","31/12/17","1/6/18","15/6/18","20/6/18","USD",9,32,138,6,6,0.15,"3146.32","3932.90"
"SO - 000116","In-Store","WARE-MKL1006","31/12/17","1/6/18","24/6/18","2/7/18","USD",5,11,354,25,3,0.05,"700.69","1112.20"
"SO - 000117","In-Store","WARE-PUJ1005","10/4/18","1/6/18","19/6/18","27/6/18","USD",9,10,320,6,3,0.075,"904.84","1239.50"
"SO - 000118","In-Store","WARE-XYS1001","10/4/18","1/6/18","6/6/18","14/6/18","USD",8,30,21,3,4,0.1,"393.96","984.9"
"SO - 000119","In-Store","WARE-MKL1006","10/4/18","1/6/18","7/6/18","15/6/18","USD",5,5,349,20,4,0.1,"4130.01","5581.10"
"SO - 000120","Online","WARE-NMK1003","31/12/17","1/6/18","11/6/18","17/6/18","USD",14,23,134,24,4,0.05,"1795.33","3095.40"
"SO - 000121","Wholesale","WARE-NMK1003","10/4/18","1/6/18","18/6/18","20/6/18","USD",25,46,193,33,4,0.4,"1754.06","2278.00"
"SO - 000122","In-Store","WARE-PUJ1005","10/4/18","2/6/18","10/6/18","16/6/18","USD",2,14,282,1,7,0.075,"654.46","991.6"
"SO - 000123","In-Store","WARE-XYS1001","10/4/18","2/6/18","26/6/18","28/6/18","USD",7,40,20,35,2,0.2,"3064.45","3979.80"
"SO - 000124","Distributor","WARE-UHY1004","31/12/17","2/6/18","22/6/18","2/7/18","USD",24,19,218,15,3,0.4,"866.71","1969.80"
"SO - 000125","In-Store","WARE-NMK1003","10/4/18","2/6/18","16/6/18","24/6/18","USD",4,15,173,13,1,0.15,"131.32","268"
"SO - 000126","Online","WARE-NMK1003","31/12/17","2/6/18","21/6/18","1/7/18","USD",18,46,110,24,7,0.1,"95.81","174.2"
"SO - 000127","In-Store","WARE-UHY1004","31/12/17","2/6/18","26/6/18","6/7/18","USD",7,32,229,46,3,0.075,"2510.09","2988.20"
"SO - 000128","In-Store","WARE-UHY1004","31/12/17","2/6/18","20/6/18","29/6/18","USD",9,32,238,36,4,0.05,"2679.93","3999.90"
"SO - 000129","Distributor","WARE-NMK1003","10/4/18","2/6/18","21/6/18","22/6/18","USD",20,22,97,37,3,0.05,"2450.32","5976.40"
"SO - 000130","In-Store","WARE-NMK1003","10/4/18","2/6/18","27/6/18","29/6/18","USD",8,5,103,32,5,0.1,"2378.90","2901.10"
"SO - 000131","In-Store","WARE-PUJ1005","10/4/18","3/6/18","26/6/18","5/7/18","USD",8,29,305,23,7,0.075,"2734.61","6076.90"
"SO - 000132","Online","WARE-PUJ1005","31/12/17","3/6/18","5/6/18","10/6/18","USD",13,35,303,14,7,0.2,"4186.70","5735.20"
"SO - 000133","Online","WARE-UHY1004","31/12/17","3/6/18","30/6/18","10/7/18","USD",19,46,217,7,3,0.1,"2077.34","3919.50"
"SO - 000134","Online","WARE-MKL1006","31/12/17","3/6/18","30/6/18","5/7/18","USD",17,42,362,46,1,0.05,"3832.67","6083.60"
"SO - 000135","Wholesale","WARE-MKL1006","10/4/18","3/6/18","14/6/18","15/6/18","USD",26,2,335,40,5,0.075,"1642.30","2566.10"
"SO - 000136","Distributor","WARE-NBV1002","31/12/17","3/6/18","7/6/18","13/6/18","USD",22,28,84,38,2,0.075,"1093.44","2278.00"
"SO - 000137","In-Store","WARE-UHY1004","31/12/17","3/6/18","14/6/18","21/6/18","USD",7,46,256,1,1,0.075,"120.2","261.3"
"SO - 000138","Online","WARE-MKL1006","31/12/17","3/6/18","28/6/18","8/7/18","USD",12,22,360,17,8,0.05,"698.81","998.3"
"SO - 000139","In-Store","WARE-NMK1003","31/12/17","3/6/18","13/6/18","21/6/18","USD",4,34,90,40,6,0.2,"1958.54","3497.40"
"SO - 000140","In-Store","WARE-NMK1003","31/12/17","3/6/18","18/6/18","28/6/18","USD",9,26,196,25,4,0.05,"486.89","1132.30"
"SO - 000141","In-Store","WARE-XYS1001","31/12/17","3/6/18","15/6/18","17/6/18","USD",7,26,40,2,7,0.05,"1587.50","2405.30"
"SO - 000142","Distributor","WARE-MKL1006","31/12/17","3/6/18","24/6/18","3/7/18","USD",24,24,367,3,8,0.05,"3249.97","5701.70"
"SO - 000143","Distributor","WARE-UHY1004","31/12/17","4/6/18","9/6/18","16/6/18","USD",25,18,249,34,1,0.2,"1446.80","2452.20"
"SO - 000144","In-Store","WARE-XYS1001","31/12/17","4/6/18","30/6/18","4/7/18","USD",11,21,6,11,3,0.05,"2012.01","3095.40"
"SO - 000145","Online","WARE-UHY1004","31/12/17","4/6/18","12/6/18","14/6/18","USD",15,14,212,8,4,0.4,"2164.90","3865.90"
